file_name,sample_file_name,sample_type,x_min,y_min,x_max,y_max
210623-pm-0_7 Analyte 1_1,flat_1,replica,15,1,98,13
210623-pm-0_7 Analyte 1_1,nNs_1,replica,101,1,184,13
210623-pm-0_7 Analyte 1_1,flat_2,replica,195,1,270,13
210623-pm-0_7 Analyte 1_1,nNs_2,replica,277,1,360,13
210623-pm-0_7 Analyte 1_1,flat_3,replica,370,1,450,13
210623-pm-0_7 Analyte 1_1,nNs_3,replica,455,1,533,13
