file_name,sample_file_name,sample_type,x_min,y_min,x_max,y_max
20240524_TriANB_Day0_Rep1_Slide_A_Analyte 1_1,20240524_TriANB_Day0_Rep1_Slide_A_Analyte 1_1,replica,1,1,70,74
20240524_TriANB_Day0_Rep2_Slide_A_Analyte 1_1,20240524_TriANB_Day0_Rep2_Slide_A_Analyte 1_1,replica,1,1,71,75
20240524_TriANB_Day0_Rep3_Slide_A_Analyte 1_1,20240524_TriANB_Day0_Rep3_Slide_A_Analyte 1_1,replica,1,1,75,75
