PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,325.1875,0.32486728,0.32486728
PC1,255.225,0.06824118,0.39310846
PC2,255.2375,0.024075327,0.4171838
PC3,146.975,0.008966976,0.42615077
PC4,201.0375,0.0044429544,0.43059373
PC5,255.2375,0.0034287004,0.43402243
PC6,283.275,0.003296838,0.43731928
PC7,325.1875,0.0030038285,0.4403231
PC8,174.0,0.0027578159,0.44308093
PC9,339.2125,0.002601016,0.44568196
PC10,339.2,0.002337621,0.4480196
PC11,255.25,0.0022563178,0.4502759
PC12,311.1625,0.0021866078,0.4524625
PC13,311.175,0.0021075942,0.45457008
PC14,311.1875,0.0020001,0.45657018
PC15,283.2625,0.0018874991,0.45845768
PC16,325.2,0.0018191139,0.46027678
PC17,147.0375,0.0017509238,0.4620277
PC18,325.175,0.0016564248,0.4636841
PC19,283.2875,0.0015934482,0.46527755
PC20,283.2875,0.001510315,0.46678787
PC21,339.225,0.0014474125,0.46823528
PC22,339.1875,0.0014026088,0.4696379
PC23,265.15,0.0013210494,0.47095895
PC24,265.1625,0.0012430903,0.47220203
PC25,174.0125,0.0012021115,0.47340414
PC26,325.2125,0.0011724794,0.47457662
PC27,201.05,0.0011173245,0.47569394
PC28,255.2625,0.0010742623,0.4767682
PC29,146.9625,0.0010435702,0.47781175
PC30,265.1625,0.0009708735,0.47878262
PC31,283.25,0.0009386439,0.47972128
PC32,265.15,0.00092984276,0.4806511
PC33,89.025,0.0009082795,0.4815594
PC34,297.15,0.0008745109,0.48243392
PC35,311.2,0.00086848455,0.4833024
PC36,311.2,0.0008358249,0.48413825
PC37,339.2375,0.0007918692,0.48493013
PC38,297.1625,0.00077960023,0.48570973
PC39,297.1625,0.00075646,0.4864662
PC40,325.225,0.00074163737,0.48720783
PC41,325.225,0.0007342707,0.4879421
PC42,248.0875,0.00070838816,0.4886505
PC43,312.175,0.0006863991,0.4893369
PC44,265.1375,0.0006778756,0.4900148
PC45,284.275,0.00066549145,0.49068028
PC46,284.275,0.0006481858,0.49132848
PC47,326.2,0.0006327465,0.4919612
PC48,147.0,0.00061961333,0.49258083
PC49,340.2,0.00061562395,0.49319646
PC50,256.25,0.0006058142,0.49380228
PC51,297.175,0.0006030954,0.4944054
PC52,265.175,0.0005874346,0.49499282
PC53,309.175,0.000582062,0.4955749
PC54,174.025,0.00056546857,0.49614036
PC55,89.0375,0.00055709225,0.49669746
PC56,293.1875,0.0005504826,0.49724793
PC57,326.1875,0.0005498301,0.49779776
PC58,147.0,0.0005352565,0.498333
PC59,174.025,0.00053076126,0.49886376
PC60,283.3,0.00052516395,0.49938893
PC61,201.0625,0.0005184076,0.49990734
PC62,283.3,0.0005106635,0.500418
PC63,256.2375,0.0005035428,0.50092155
PC64,119.95,0.0004934551,0.501415
PC65,311.2125,0.00047702447,0.50189203
PC66,256.2375,0.00047283777,0.5023649
PC67,313.2,0.00046840732,0.5028333
PC68,311.2125,0.00046573783,0.50329906
PC69,119.95,0.00045885274,0.5037579
PC70,313.2,0.00044565482,0.50420356
PC71,367.25,0.00043434335,0.5046379
PC72,148.9875,0.0004267484,0.50506467
PC73,312.1875,0.00042574594,0.5054904
PC74,284.2625,0.0004138284,0.50590426
PC75,341.225,0.00040868993,0.50631297
PC76,377.0875,0.000405698,0.50671864
PC77,284.2625,0.0004023467,0.50712097
PC78,341.2375,0.00039738085,0.50751835
PC79,326.175,0.00039450152,0.5079129
PC80,309.1875,0.0003924638,0.5083053
PC81,241.2125,0.0003872648,0.50869256
PC82,341.2125,0.00038510916,0.50907767
PC83,313.1875,0.0003811251,0.5094588
PC84,326.175,0.00037605295,0.5098348
PC85,353.2125,0.00037286605,0.5102077
PC86,293.175,0.00036975736,0.51057744
PC87,147.025,0.00036704927,0.5109445
PC88,377.1,0.00036445822,0.51130897
PC89,325.1625,0.0003584959,0.5116675
PC90,337.2125,0.00035692198,0.5120244
PC91,128.05,0.00035513839,0.5123795
PC92,337.2125,0.00035126111,0.5127308
PC93,337.2125,0.000349533,0.5130803
PC94,284.2875,0.00034594725,0.51342624
PC95,313.175,0.00034179524,0.513768
PC96,284.2875,0.00034099657,0.514109
PC97,256.225,0.00033550477,0.51444453
PC98,326.2125,0.00033467743,0.5147792
PC99,256.225,0.0003331585,0.51511234
PC100,256.2625,0.00033076893,0.5154431
PC101,312.2,0.00032936648,0.51577246
PC102,353.2,0.0003236858,0.5160962
PC103,377.075,0.00032336017,0.51641953
PC104,215.0375,0.00032073664,0.51674026
PC105,241.225,0.000319785,0.51706004
PC106,377.075,0.000314868,0.51737493
PC107,340.2375,0.00031336216,0.5176883
PC108,377.1125,0.00031268102,0.51800096
PC109,187.1,0.00030763302,0.5183086
PC110,256.2625,0.00030648426,0.51861507
PC111,327.2,0.00030356325,0.51891863
PC112,269.25,0.00030276462,0.5192214
PC113,327.2,0.00030049763,0.51952195
PC114,255.275,0.0002989352,0.51982087
PC115,341.2,0.00029676643,0.52011764
PC116,340.1875,0.00029413347,0.5204118
PC117,309.1625,0.00029207667,0.52070385
PC118,248.1,0.00029003943,0.5209939
PC119,367.2375,0.00028911344,0.52128303
PC120,255.275,0.00028752987,0.52157056
PC121,293.2,0.00028580922,0.52185637
PC122,269.25,0.0002855412,0.52214193
PC123,129.025,0.0002834861,0.5224254
PC124,309.1625,0.0002822038,0.52270764
PC125,279.1625,0.00028141096,0.52298903
PC126,297.1875,0.00028019774,0.52326924
PC127,367.2375,0.00027940248,0.52354866
PC128,309.1625,0.0002770405,0.5238257
PC129,367.2625,0.00027620164,0.5241019
PC130,183.0125,0.0002731051,0.524375
PC131,129.025,0.00027191982,0.52464694
PC132,794.525,0.00027002828,0.52491695
PC133,145.0625,0.00026971128,0.52518666
PC134,281.2625,0.0002690865,0.5254558
PC135,148.975,0.00026716484,0.5257229
PC136,327.1875,0.00026638262,0.5259893
PC137,367.2375,0.0002648982,0.5262542
PC138,217.025,0.00026305174,0.5265172
PC139,341.1875,0.0002625995,0.52677983
PC140,183.025,0.00026195426,0.5270418
PC141,367.2625,0.00026125633,0.52730304
PC142,252.9875,0.00025976248,0.5275628
PC143,252.975,0.0002592626,0.5278221
PC144,119.9625,0.00025783986,0.5280799
PC145,339.175,0.0002573584,0.5283373
PC146,137.0375,0.00025656863,0.5285939
PC147,337.2,0.00025632398,0.5288502
PC148,284.3,0.00025564063,0.52910584
PC149,137.0375,0.00025381625,0.52935964
PC150,313.2125,0.00025301866,0.52961266
PC151,281.2375,0.00025226714,0.5298649
PC152,119.9625,0.00025151728,0.53011644
PC153,225.95,0.00025071166,0.53036714
PC154,187.1125,0.0002501308,0.53061724
PC155,215.05,0.0002490547,0.53086627
PC156,266.1625,0.00024864895,0.53111494
PC157,189.975,0.00024785576,0.5313628
PC158,119.9625,0.00024736262,0.53161013
PC159,217.025,0.0002458096,0.53185594
