PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,421.225,0.120615266,0.120615266
PC1,218.1625,0.1192844,0.23989967
PC2,133.925,0.05830544,0.2982051
PC3,339.1875,0.05460843,0.35281354
PC4,796.0,0.03710648,0.38992003
PC5,311.1625,0.0339167,0.42383674
PC6,61.2875,0.025394022,0.44923076
PC7,660.1125,0.025045188,0.47427595
PC8,99.2625,0.024092443,0.49836838
PC9,1193.3125,0.019953372,0.51832175
PC10,804.9375,0.016531553,0.5348533
PC11,146.9625,0.013578521,0.5484318
PC12,1094.9125,0.012056094,0.5604879
PC13,1190.3,0.010906625,0.57139456
PC14,265.1375,0.010376599,0.58177114
PC15,255.85,0.009481747,0.59125286
PC16,126.9125,0.0078027914,0.59905565
PC17,375.025,0.0070592538,0.6061149
PC18,311.1625,0.0066175517,0.61273247
PC19,952.45,0.0064287214,0.6191612
PC20,96.9625,0.0052344017,0.6243956
PC21,1189.2125,0.0050349548,0.6294306
PC22,97.625,0.0048817415,0.63431233
PC23,311.175,0.004607983,0.6389203
PC24,248.575,0.004370177,0.64329046
PC25,311.175,0.0043362943,0.64762676
PC26,832.75,0.004227361,0.6518541
PC27,311.1875,0.0039470745,0.6558012
PC28,146.975,0.003840145,0.6596413
PC29,209.95,0.003631549,0.66327286
PC30,209.95,0.003520667,0.6667935
PC31,325.1875,0.00341609,0.6702096
PC32,325.175,0.0033286146,0.6735382
PC33,255.25,0.0031873963,0.6767256
PC34,54.275,0.0031478992,0.6798735
PC35,96.9625,0.0030131128,0.68288666
PC36,185.0875,0.0029512437,0.6858379
PC37,125.8,0.0028775565,0.68871546
PC38,1113.2125,0.0028175456,0.691533
PC39,311.15,0.0027743783,0.6943074
PC40,325.175,0.0027307975,0.6970382
PC41,325.175,0.0026938135,0.699732
PC42,1193.125,0.0026135617,0.70234555
PC43,662.175,0.0025878218,0.70493335
PC44,316.8625,0.002449875,0.7073832
PC45,316.8625,0.0024216003,0.70980483
PC46,928.2875,0.0023981964,0.712203
PC47,395.3875,0.0023253225,0.7145283
PC48,179.6875,0.002292708,0.716821
PC49,179.6875,0.002261828,0.71908283
PC50,210.95,0.0022436872,0.72132653
PC51,96.9625,0.002226836,0.72355336
PC52,297.15,0.0022201673,0.7257735
PC53,283.1125,0.002154605,0.7279281
PC54,102.75,0.0021448412,0.7300729
PC55,121.7625,0.002121797,0.7321947
PC56,455.8625,0.0020908883,0.7342856
PC57,340.2125,0.002070679,0.73635626
PC58,311.275,0.002043695,0.7384
PC59,1011.25,0.0020210622,0.74042106
PC60,901.6875,0.0020151578,0.74243623
PC61,1011.25,0.0019886247,0.7444249
PC62,340.2125,0.001959687,0.74638456
PC63,901.6875,0.0019362015,0.74832076
PC64,325.1625,0.0019241902,0.750245
PC65,1011.175,0.00190023,0.75214523
PC66,268.775,0.0018951447,0.75404036
PC67,974.3125,0.0018758215,0.7559162
PC68,564.0875,0.0018697827,0.757786
PC69,974.3125,0.0018387091,0.75962466
PC70,265.15,0.0018252454,0.76144993
PC71,159.075,0.0018170469,0.763267
PC72,346.1875,0.0017978817,0.76506484
PC73,900.2625,0.0017892397,0.76685405
PC74,1022.75,0.0017806194,0.7686347
PC75,1011.175,0.001770182,0.7704049
PC76,440.1125,0.0017441453,0.772149
PC77,248.075,0.0017376598,0.7738867
PC78,434.2875,0.0017299204,0.7756166
PC79,93.0375,0.0017205017,0.7773371
PC80,478.975,0.001710759,0.77904785
PC81,161.575,0.0016992368,0.78074706
PC82,210.975,0.0016774449,0.7824245
PC83,183.025,0.0016673917,0.7840919
PC84,853.4,0.0016581501,0.78575003
PC85,667.05,0.0016478478,0.78739786
PC86,182.025,0.0016419416,0.7890398
PC87,853.4,0.0016342028,0.790674
PC88,396.1625,0.0016163995,0.7922904
PC89,458.95,0.0016096059,0.7939
PC90,161.575,0.0016017599,0.79550177
PC91,667.05,0.0015896221,0.79709136
PC92,815.35,0.001586019,0.7986774
PC93,339.175,0.0015779414,0.8002553
PC94,1059.5125,0.0015716442,0.80182695
PC95,182.025,0.0015590067,0.803386
PC96,520.3125,0.0015503016,0.8049363
PC97,520.3125,0.0015368669,0.80647314
PC98,785.9875,0.0015304695,0.8080036
PC99,63.725,0.0015263376,0.80952996
PC100,1059.5125,0.001515676,0.81104565
PC101,63.725,0.0015056622,0.8125513
PC102,182.025,0.0015014819,0.8140528
PC103,631.0375,0.001493381,0.8155462
PC104,1059.5125,0.0014741156,0.81702036
PC105,124.9375,0.0014658741,0.8184862
PC106,255.2375,0.0014503828,0.8199366
PC107,573.3375,0.0014456158,0.82138216
PC108,422.1625,0.0014425026,0.82282466
PC109,218.6,0.0014338657,0.8242585
PC110,573.3375,0.0014241335,0.82568264
PC111,65.05,0.0014178918,0.8271005
PC112,218.6,0.0014154162,0.82851595
PC113,573.3375,0.0013993992,0.82991534
PC114,911.8125,0.0013901164,0.83130544
PC115,187.0375,0.0013784833,0.8326839
PC116,783.7,0.0013724429,0.8340564
PC117,783.7,0.0013638242,0.8354202
PC118,146.325,0.0013602497,0.8367804
PC119,325.175,0.0013525175,0.8381329
PC120,209.9375,0.0013412021,0.83947414
PC121,248.95,0.001326761,0.8408009
PC122,187.0375,0.0013217169,0.8421226
PC123,187.0375,0.0013025118,0.84342515
PC124,187.0375,0.0012950079,0.8447202
PC125,149.1375,0.0012852319,0.84600544
PC126,248.575,0.0012812945,0.84728676
PC127,243.8875,0.0012626203,0.84854937
PC128,187.0375,0.0012579074,0.84980726
PC129,836.5125,0.0012439146,0.85105115
PC130,836.5125,0.0012337477,0.8522849
PC131,248.0625,0.0012266706,0.8535116
PC132,344.3,0.001218103,0.85472965
PC133,255.225,0.0012077348,0.85593736
PC134,248.0875,0.0011900504,0.8571274
PC135,344.3,0.0011839148,0.85831136
PC136,446.425,0.0011773087,0.85948867
PC137,1129.55,0.0011712873,0.86065996
PC138,601.625,0.0011620814,0.861822
PC139,1098.95,0.0011485155,0.86297053
PC140,281.25,0.0011407909,0.8641113
PC141,446.425,0.0011329522,0.86524427
PC142,281.25,0.0011295391,0.86637384
PC143,1104.1125,0.0011198489,0.8674937
PC144,209.9625,0.001108375,0.86860204
PC145,209.9625,0.0010917458,0.86969376
PC146,255.2375,0.0010775211,0.8707713
PC147,519.125,0.0010749885,0.87184626
PC148,519.125,0.0010591309,0.8729054
PC149,56.4,0.001050227,0.8739556
PC150,519.125,0.0010447322,0.87500036
PC151,1098.95,0.0010295946,0.87602997
PC152,1098.95,0.0010258831,0.8770558
PC153,267.925,0.0010161084,0.8780719
PC154,519.125,0.0010064059,0.8790783
PC155,339.2125,0.0009844429,0.88006276
PC156,1132.975,0.00096216396,0.8810249
PC157,142.9875,0.0009448911,0.8819698
PC158,311.15,0.0009277153,0.8828975
PC159,255.225,0.0009199586,0.88381743
PC160,340.2,0.00091899035,0.8847364
PC161,339.2125,0.0009116215,0.885648
PC162,197.9,0.0008963696,0.8865444
PC163,112.9875,0.00087153795,0.88741595
PC164,248.075,0.00086767913,0.8882836
PC165,663.225,0.000852943,0.88913655
PC166,534.05,0.0008445924,0.88998115
PC167,534.05,0.00083750824,0.89081866
PC168,749.7875,0.00082419417,0.89164287
PC169,112.9875,0.0008187366,0.8924616
PC170,534.05,0.0008132907,0.8932749
PC171,311.1875,0.00079964113,0.89407456
PC172,339.2125,0.00079029845,0.89486486
PC173,209.9375,0.0007811725,0.89564604
PC174,311.1875,0.0007759289,0.89642197
PC175,181.9875,0.0007751675,0.8971971
PC176,719.3625,0.000765789,0.8979629
PC177,249.5625,0.0007504569,0.8987134
PC178,325.1625,0.0007495184,0.89946294
PC179,492.8125,0.0007369579,0.9001999
PC180,283.2625,0.00073437917,0.9009343
PC181,678.9,0.00072699855,0.9016613
PC182,297.1375,0.00071418466,0.90237546
PC183,283.25,0.00070418394,0.9030796
PC184,283.275,0.0006977641,0.9037774
PC185,265.1625,0.00068918907,0.9044666
PC186,339.175,0.0006855419,0.90515214
PC187,325.225,0.00067979743,0.90583193
PC188,921.5375,0.0006677233,0.9064997
PC189,326.1875,0.00066605356,0.90716577
PC190,248.075,0.0006551947,0.90782094
PC191,1141.775,0.00065347884,0.90847445
PC192,255.25,0.0006433016,0.90911776
PC193,421.2,0.0006345467,0.9097523
PC194,248.075,0.0006296993,0.91038203
PC195,878.225,0.00062885555,0.91101086
PC196,582.1,0.00062185025,0.9116327
PC197,878.225,0.00061518623,0.9122479
PC198,1102.225,0.00061129156,0.9128592
PC199,325.2,0.0006092628,0.9134685
PC200,255.25,0.00060722255,0.91407573
PC201,283.25,0.0005918073,0.91466755
PC202,283.2625,0.0005894773,0.91525704
PC203,326.1875,0.0005782032,0.91583526
PC204,297.15,0.0005678931,0.9164032
PC205,421.2,0.0005573141,0.9169605
PC206,265.1625,0.00055274094,0.9175132
PC207,283.2875,0.000548261,0.91806144
PC208,246.95,0.00054308155,0.9186045
PC209,248.0875,0.0005387734,0.91914326
PC210,283.2625,0.0005331363,0.9196764
PC211,248.0875,0.00052993005,0.92020637
PC212,821.3875,0.0005265139,0.92073286
PC213,312.175,0.0005189781,0.92125183
PC214,966.625,0.0005157202,0.92176753
PC215,297.15,0.0005022892,0.9222698
PC216,771.15,0.00050149666,0.92277133
PC217,311.15,0.00049719785,0.92326856
PC218,1078.5375,0.0004939449,0.9237625
PC219,248.075,0.00048739483,0.9242499
PC220,521.1375,0.0004843652,0.92473423
PC221,283.275,0.00048116784,0.9252154
PC222,298.1625,0.00047670168,0.92569214
PC223,423.125,0.0004741204,0.92616624
PC224,190.5,0.00046593786,0.92663217
PC225,283.2625,0.0004642886,0.9270964
PC226,331.9,0.00045834208,0.9275548
PC227,422.3875,0.00045445916,0.9280093
PC228,339.225,0.0004484458,0.92845774
PC229,325.2,0.00044179626,0.9288995
PC230,311.1875,0.0004366715,0.9293362
PC231,421.2125,0.00043309754,0.9297693
PC232,201.0375,0.00042946197,0.9301987
PC233,248.0625,0.00042619577,0.9306249
PC234,297.15,0.00042079893,0.9310457
PC235,340.1875,0.0004170518,0.93146276
PC236,800.6625,0.00041359576,0.93187636
PC237,340.1875,0.00040795509,0.9322843
PC238,283.275,0.00040453428,0.93268883
PC239,355.2125,0.00039871808,0.9330875
PC240,152.9125,0.00039562632,0.9334832
PC241,201.0375,0.0003939803,0.93387717
PC242,341.2125,0.00039045265,0.93426764
PC243,564.8875,0.00038610224,0.93465376
PC244,255.225,0.0003847027,0.93503845
PC245,325.2,0.0003818363,0.9354203
PC246,355.2125,0.0003796871,0.93579996
PC247,563.1625,0.00037586308,0.9361758
PC248,341.2125,0.0003739181,0.9365497
PC249,297.175,0.0003683502,0.9369181
PC250,283.2875,0.00036325172,0.9372813
PC251,421.2125,0.00036216102,0.93764347
PC252,355.2125,0.00035593123,0.9379994
PC253,326.1875,0.0003550897,0.9383545
PC254,209.9625,0.0003520105,0.9387065
PC255,181.9875,0.00035056085,0.93905705
PC256,311.1875,0.00034317048,0.9394002
PC257,498.975,0.0003388815,0.93973905
PC258,197.8875,0.00033734177,0.9400764
PC259,326.175,0.00033161262,0.94040805
PC260,283.25,0.00032785174,0.9407359
PC261,283.2875,0.0003257514,0.9410616
PC262,311.1875,0.0003240631,0.9413857
PC263,265.1375,0.00031596498,0.94170165
PC264,421.2125,0.0003105716,0.94201225
PC265,325.2125,0.00030923428,0.9423215
PC266,175.025,0.00030707868,0.94262856
PC267,175.025,0.00030450706,0.9429331
PC268,181.9875,0.00029981544,0.9432329
PC269,325.2,0.00029852503,0.9435314
PC270,1114.0125,0.00029611596,0.9438275
PC271,312.175,0.00029138368,0.9441189
PC272,283.2875,0.00028901387,0.94440794
PC273,175.025,0.00028844763,0.94469637
PC274,175.025,0.00028451523,0.94498086
PC275,175.025,0.00027949057,0.94526035
PC276,175.025,0.00027629954,0.9455367
PC277,265.1625,0.00027383136,0.9458105
PC278,421.2,0.00027244256,0.94608295
PC279,339.2,0.00026695197,0.9463499
PC280,975.15,0.0002654674,0.9466154
PC281,175.025,0.00026249484,0.9468779
PC282,421.2,0.0002582329,0.9471361
PC283,93.45,0.0002546856,0.9473908
PC284,1138.475,0.00025388214,0.94764465
PC285,421.2,0.00025124906,0.9478959
PC286,421.2,0.00024769094,0.9481436
PC287,421.2,0.00024439953,0.948388
PC288,182.0,0.00024330594,0.9486313
PC289,269.075,0.00024211715,0.9488734
PC290,96.975,0.0002393942,0.9491128
PC291,312.1625,0.00023828656,0.9493511
PC292,421.2,0.0002355259,0.9495866
PC293,130.65,0.00023030803,0.9498169
PC294,421.2,0.00022953974,0.9500464
PC295,421.2,0.00022669234,0.9502731
PC296,265.1625,0.00022634168,0.9504994
PC297,421.2,0.0002238391,0.95072323
PC298,297.15,0.00022063937,0.9509439
PC299,353.1875,0.00021983794,0.9511637
PC300,283.275,0.00021660175,0.9513803
PC301,312.1625,0.0002128474,0.95159316
PC302,325.2,0.00021112143,0.9518043
PC303,89.025,0.00020820968,0.9520125
PC304,421.225,0.00020696298,0.9522194
PC305,174.0,0.00020292742,0.9524224
PC306,265.1625,0.00020029457,0.95262265
PC307,312.1625,0.00019852754,0.9528212
PC308,201.0375,0.00019702307,0.9530182
PC309,265.1625,0.00019283747,0.953211
PC310,421.225,0.00018932353,0.9534003
PC311,339.225,0.00018579442,0.9535861
PC312,421.225,0.0001836186,0.95376974
PC313,253.2125,0.00018279896,0.95395255
PC314,421.225,0.00018008474,0.9541326
PC315,421.225,0.00017916733,0.9543118
PC316,174.0,0.0001778753,0.95448965
PC317,421.225,0.00017315608,0.9546628
PC318,209.95,0.00017135864,0.95483416
PC319,265.15,0.00017025358,0.9550044
PC320,421.225,0.00016828359,0.95517266
PC321,421.225,0.00016763715,0.95534027
PC322,146.9875,0.00016475726,0.955505
PC323,421.225,0.00016194435,0.95566696
PC324,265.1625,0.00016107583,0.955828
PC325,421.2,0.00015974234,0.95598775
PC326,256.225,0.00015742544,0.95614517
PC327,227.0,0.00015532377,0.9563005
PC328,265.15,0.00015429629,0.9564548
PC329,126.9,0.00015364704,0.9566085
PC330,421.225,0.00015177643,0.9567602
PC331,181.9875,0.00015074837,0.95691097
PC332,326.1875,0.00014796999,0.95705897
PC333,325.2,0.00014679186,0.9572058
PC334,421.2125,0.00014583749,0.9573516
PC335,248.075,0.0001441933,0.9574958
PC336,181.9875,0.00014281485,0.9576386
PC337,283.2625,0.00013953127,0.95777816
PC338,421.25,0.00013829811,0.95791644
PC339,146.9875,0.00013659979,0.95805305
PC340,181.9875,0.0001354048,0.9581885
PC341,309.175,0.00013381978,0.9583223
PC342,119.95,0.00013300216,0.95845526
PC343,421.2625,0.00013195675,0.9585872
PC344,497.15,0.00013037401,0.9587176
PC345,325.2,0.00013006444,0.95884764
PC346,146.9875,0.00012842052,0.9589761
PC347,194.925,0.0001254049,0.9591015
PC348,325.1875,0.00012403954,0.95922554
PC349,194.925,0.00012333418,0.95934886
PC350,421.25,0.00012166897,0.9594705
PC351,194.925,0.00012013913,0.9595907
PC352,182.0,0.00011946108,0.9597101
PC353,421.25,0.00011784626,0.95982796
PC354,181.9875,0.000115970885,0.95994395
PC355,194.925,0.00011556203,0.9600595
PC356,182.0,0.00011352515,0.9601731
PC357,421.25,0.00011285265,0.9602859
PC358,227.0,0.00011202006,0.9603979
PC359,89.025,0.00011134848,0.96050924
PC360,248.0875,0.0001106147,0.96061987
PC361,421.2625,0.000109383414,0.96072924
PC362,265.15,0.000108545755,0.9608378
PC363,126.9,0.000107584034,0.96094537
PC364,421.2625,0.00010692166,0.9610523
PC365,89.025,0.00010541646,0.96115774
PC366,325.1625,0.000104478095,0.9612622
PC367,96.975,0.000102889455,0.9613651
PC368,89.025,0.00010155763,0.96146667
PC369,422.225,0.00010088592,0.9615676
PC370,421.25,9.9407116e-05,0.961667
PC371,126.9,9.835916e-05,0.96176535
PC372,201.0375,9.796085e-05,0.96186334
PC373,194.925,9.7680124e-05,0.96196103
PC374,126.9,9.697213e-05,0.962058
PC375,209.9625,9.525824e-05,0.96215326
PC376,194.925,9.5125804e-05,0.9622484
PC377,325.1625,9.487827e-05,0.9623433
PC378,174.0125,9.3556795e-05,0.96243685
PC379,297.175,9.2260954e-05,0.9625291
PC380,194.925,9.1813345e-05,0.9626209
PC381,248.075,9.079189e-05,0.9627117
PC382,340.1875,9.0078924e-05,0.96280175
PC383,421.25,8.866315e-05,0.96289045
PC384,297.15,8.802954e-05,0.9629785
PC385,297.1625,8.778497e-05,0.9630663
PC386,421.2375,8.76881e-05,0.96315396
PC387,146.9875,8.686821e-05,0.9632408
PC388,421.25,8.619902e-05,0.963327
PC389,421.25,8.4506966e-05,0.9634115
PC390,339.2,8.435245e-05,0.96349585
PC391,325.2,8.413818e-05,0.96358
PC392,89.025,8.347147e-05,0.96366346
PC393,174.0125,8.3067316e-05,0.96374655
PC394,194.925,8.240953e-05,0.963829
PC395,293.1875,8.199636e-05,0.963911
PC396,194.925,8.156869e-05,0.96399254
PC397,422.2125,8.034736e-05,0.9640729
PC398,311.2,7.9835125e-05,0.9641527
PC399,326.2,7.8728466e-05,0.96423143
PC400,422.2125,7.848009e-05,0.96430993
PC401,422.225,7.813093e-05,0.9643881
PC402,89.025,7.773151e-05,0.9644658
PC403,174.0,7.6675766e-05,0.96454245
PC404,422.225,7.597345e-05,0.96461844
PC405,309.175,7.539187e-05,0.96469384
PC406,421.25,7.521238e-05,0.96476907
