PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,265.1625,0.32391712,0.32391712
PC1,126.9125,0.18303981,0.50695693
PC2,421.2375,0.068431064,0.575388
PC3,303.25,0.058247667,0.6336357
PC4,283.275,0.034165353,0.667801
PC5,187.05,0.032425612,0.70022666
PC6,255.2375,0.021877695,0.7221044
PC7,146.975,0.011266485,0.73337084
PC8,339.2125,0.0077662207,0.7411371
PC9,255.25,0.007179674,0.74831676
PC10,146.975,0.0060244235,0.7543412
PC11,219.1125,0.0035836836,0.75792485
PC12,265.1625,0.0033849494,0.7613098
PC13,421.25,0.0033460914,0.7646559
PC14,147.0,0.0028510427,0.76750696
PC15,265.1625,0.002760999,0.77026796
PC16,311.1875,0.0024176443,0.7726856
PC17,146.975,0.0023248768,0.77501047
PC18,339.2125,0.0021997755,0.77721024
PC19,265.1625,0.002058005,0.77926826
PC20,293.1875,0.0019978501,0.7812661
PC21,174.0125,0.0019399149,0.783206
PC22,339.2125,0.0019089702,0.78511494
PC23,339.2125,0.0018399324,0.7869549
PC24,201.05,0.0017861061,0.788741
PC25,421.25,0.0017166391,0.7904576
PC26,421.25,0.0016742432,0.79213184
PC27,132.875,0.0016459705,0.7937778
PC28,339.2125,0.0015924689,0.7953703
PC29,325.2,0.0015799439,0.7969502
PC30,174.0125,0.001494033,0.7984443
PC31,325.2,0.0014433071,0.7998876
PC32,265.1625,0.0013596297,0.80124724
PC33,311.1875,0.0013237797,0.802571
PC34,311.1875,0.0012969801,0.803868
PC35,522.175,0.0012771965,0.8051452
PC36,293.1875,0.0012569104,0.8064021
PC37,201.05,0.0012399658,0.80764204
PC38,421.25,0.0012092231,0.80885124
PC39,311.1875,0.0011973846,0.81004864
PC40,174.0125,0.0011354765,0.8111841
PC41,201.05,0.0011099544,0.81229407
PC42,325.2,0.0010775734,0.81337166
PC43,255.25,0.001037033,0.8144087
PC44,311.1875,0.0010222747,0.815431
PC45,174.0125,0.0010179231,0.8164489
PC46,161.075,0.0009964748,0.8174454
PC47,256.25,0.0009872329,0.8184326
PC48,170.8375,0.00096395076,0.81939656
PC49,339.225,0.0009546732,0.82035124
PC50,187.0625,0.0009275643,0.8212788
PC51,161.075,0.0009100942,0.8221889
PC52,309.1875,0.0009048742,0.8230938
PC53,172.8375,0.0008939787,0.8239877
PC54,265.15,0.0008760218,0.82486373
PC55,161.075,0.00086214195,0.82572585
PC56,353.2125,0.00085558015,0.8265814
PC57,311.175,0.00084941887,0.82743084
PC58,283.2875,0.00083239604,0.8282632
PC59,339.225,0.00082299986,0.82908624
PC60,255.2375,0.0008172206,0.8299035
PC61,325.1875,0.00081324636,0.8307167
PC62,172.8375,0.0007924487,0.8315092
PC63,265.15,0.00078399415,0.83229315
PC64,172.8375,0.00078176596,0.8330749
PC65,146.9875,0.0007663283,0.83384126
PC66,161.075,0.0007524818,0.8345938
PC67,112.9875,0.0007466526,0.83534044
PC68,89.025,0.0007450621,0.8360855
PC69,360.725,0.0007385645,0.83682406
PC70,174.0125,0.00073258614,0.83755666
PC71,161.075,0.0007294612,0.8382861
PC72,283.2875,0.000718857,0.83900493
PC73,134.875,0.000716888,0.8397218
PC74,326.2,0.0007080682,0.84042984
PC75,132.875,0.00070420787,0.8411341
PC76,132.875,0.00069132756,0.8418254
PC77,293.2,0.0006841966,0.8425096
PC78,174.0125,0.00066995836,0.8431796
PC79,161.075,0.0006665325,0.84384614
PC80,255.25,0.00066049467,0.8445066
PC81,255.2375,0.0006493056,0.84515595
PC82,265.15,0.0006472014,0.84580314
PC83,326.2,0.0006401801,0.8464433
PC84,265.15,0.0006306115,0.8470739
PC85,325.2,0.00062580203,0.8476997
PC86,146.9875,0.000613586,0.8483133
PC87,309.1875,0.0006094154,0.84892267
PC88,161.075,0.0006050192,0.8495277
PC89,311.175,0.0005974179,0.85012513
PC90,170.8375,0.0005956903,0.8507208
PC91,362.725,0.0005896843,0.8513105
PC92,168.85,0.0005840949,0.85189456
PC93,227.2125,0.0005809168,0.85247546
PC94,325.1875,0.00057461177,0.85305005
PC95,326.2,0.00057041954,0.85362047
PC96,339.225,0.0005658681,0.85418636
PC97,132.875,0.0005572657,0.8547436
PC98,265.175,0.0005513775,0.855295
PC99,253.225,0.0005485232,0.85584354
PC100,360.725,0.0005419394,0.85638547
PC101,255.2375,0.0005383795,0.8569239
PC102,293.1875,0.0005346073,0.8574585
PC103,253.225,0.00052760163,0.8579861
PC104,293.1875,0.00052567647,0.85851175
PC105,339.225,0.0005223104,0.85903406
PC106,281.2625,0.00051949586,0.8595536
PC107,311.175,0.0005129544,0.86006653
PC108,265.175,0.00051038637,0.8605769
PC109,134.875,0.00050965766,0.8610866
PC110,265.15,0.0005015485,0.8615882
PC111,297.1625,0.00049497426,0.86208314
PC112,281.2625,0.00048792004,0.86257106
PC113,146.9875,0.00048692618,0.863058
PC114,269.2625,0.000483775,0.8635417
PC115,311.175,0.00047506223,0.8640168
PC116,168.8375,0.00047019465,0.864487
PC117,326.2,0.00046604502,0.86495304
PC118,187.0625,0.0004601849,0.86541325
PC119,309.1875,0.00045727266,0.86587054
PC120,325.1875,0.00045457014,0.8663251
PC121,340.2125,0.00045297365,0.8667781
PC122,174.0125,0.00044836564,0.8672264
PC123,326.2,0.00044102993,0.86766744
PC124,187.0625,0.0004379882,0.8681054
PC125,146.9875,0.00043528774,0.8685407
PC126,281.2625,0.00043342845,0.86897415
PC127,146.9875,0.00042941267,0.86940354
PC128,170.8375,0.0004245227,0.86982805
PC129,311.175,0.00042263613,0.8702507
PC130,187.0625,0.00042021627,0.8706709
PC131,339.225,0.00041711656,0.871088
PC132,311.175,0.0004152273,0.87150323
PC133,172.8375,0.00041121597,0.87191445
PC134,309.1875,0.00040586985,0.8723203
PC135,339.2125,0.0004024216,0.87272274
PC136,187.0625,0.00040201494,0.8731248
PC137,281.2625,0.0004008035,0.87352556
PC138,187.0625,0.00039218515,0.87391776
PC139,311.1875,0.0003884909,0.87430626
PC140,265.15,0.00038733723,0.8746936
PC141,281.2625,0.00038655152,0.8750801
PC142,253.225,0.0003836202,0.8754637
PC143,248.0875,0.0003781788,0.8758419
PC144,187.0625,0.00037559296,0.8762175
PC145,248.9625,0.00037415556,0.8765916
PC146,283.2875,0.00037328593,0.8769649
PC147,283.2875,0.00036968655,0.8773346
PC148,253.225,0.00036635433,0.8777009
PC149,269.2625,0.00036232572,0.87806326
PC150,311.175,0.00036109926,0.87842435
PC151,255.2375,0.0003558859,0.87878025
PC152,255.2375,0.0003545023,0.8791348
PC153,137.05,0.0003485497,0.87948334
PC154,255.2375,0.00034554346,0.8798289
PC155,255.2375,0.00034388434,0.8801727
PC156,255.2375,0.00034325256,0.880516
PC157,269.2625,0.0003407168,0.8808567
PC158,283.2875,0.00033778726,0.8811945
PC159,187.0625,0.000332367,0.8815268
PC160,187.0625,0.00033169423,0.8818585
PC161,187.0625,0.00032884208,0.88218737
PC162,265.15,0.00032606162,0.8825134
PC163,187.0625,0.00032043413,0.88283384
PC164,172.8375,0.0003201594,0.883154
PC165,281.2625,0.00031547752,0.88346946
PC166,293.1875,0.00031106506,0.88378054
PC167,241.225,0.00030965373,0.8840902
PC168,112.9875,0.00030827685,0.88439846
PC169,265.15,0.0003059788,0.8847044
PC170,309.1875,0.00030348919,0.8850079
PC171,187.0625,0.00030094606,0.88530886
PC172,187.0625,0.00029765867,0.8856065
PC173,265.15,0.00029720378,0.8859037
PC174,293.1875,0.0002953765,0.8861991
PC175,311.175,0.00029339443,0.8864925
PC176,293.1875,0.00029085757,0.88678336
PC177,266.1625,0.0002878877,0.88707125
PC178,309.1875,0.00028368135,0.8873549
PC179,297.1625,0.0002806319,0.8876355
PC180,309.1875,0.00027839022,0.88791394
PC181,113.0,0.00027726236,0.8881912
PC182,417.225,0.00027457252,0.8884658
PC183,269.2625,0.00026760253,0.88873345
PC184,255.2375,0.00026659438,0.88900006
PC185,339.225,0.00026455402,0.8892646
PC186,137.05,0.00026260622,0.8895272
PC187,146.9875,0.00026140097,0.8897886
PC188,293.1875,0.00026011196,0.89004874
