PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,311.1625,0.5883811,0.5883811
PC1,146.9625,0.16800421,0.7563853
PC2,146.975,0.033886008,0.79027134
PC3,146.975,0.0060859746,0.79635733
PC4,187.0375,0.0043831407,0.8007405
PC5,96.9625,0.0025505263,0.803291
PC6,96.9625,0.0016959652,0.804987
PC7,325.1875,0.0015920042,0.806579
PC8,311.1625,0.001533454,0.80811244
PC9,146.9625,0.0014280132,0.80954045
PC10,325.1875,0.0012590264,0.8107995
PC11,311.175,0.0011349432,0.8119344
PC12,339.2,0.0010954672,0.8130299
PC13,311.1875,0.0009712398,0.81400114
PC14,311.1875,0.00096047623,0.8149616
PC15,325.175,0.000917868,0.81587946
PC16,339.1875,0.0008291815,0.8167086
PC17,325.2,0.0008015776,0.8175102
PC18,339.1875,0.00075315643,0.81826335
PC19,265.1375,0.0006585656,0.8189219
PC20,255.2375,0.00062747655,0.8195494
PC21,297.15,0.00060494407,0.8201543
PC22,255.2375,0.00057981774,0.82073414
PC23,174.0,0.00056738156,0.8213015
PC24,255.225,0.0005118346,0.82181334
PC25,283.275,0.0005065482,0.82231987
PC26,311.15,0.00049474515,0.8228146
PC27,146.9875,0.0004796452,0.8232942
PC28,325.2125,0.0004717277,0.82376593
PC29,265.15,0.0004477044,0.8242136
PC30,339.225,0.0004407391,0.82465434
PC31,283.275,0.00042675002,0.8250811
PC32,283.2625,0.00042337304,0.8255045
PC33,339.225,0.0003953183,0.8258998
PC34,255.25,0.00039272386,0.8262925
PC35,248.075,0.00038389303,0.8266764
PC36,339.175,0.00037287563,0.8270493
PC37,283.25,0.00035848253,0.8274078
PC38,311.2,0.00035052927,0.8277583
PC39,312.175,0.0003451221,0.8281034
PC40,309.175,0.0003368522,0.82844025
PC41,340.2125,0.00033035458,0.8287706
PC42,297.175,0.00031791214,0.8290885
PC43,174.0,0.00031180374,0.8294003
PC44,248.0875,0.0002979418,0.82969826
PC45,248.0875,0.00029407124,0.82999235
PC46,326.175,0.00028408456,0.8302764
PC47,340.2,0.00028210034,0.83055854
PC48,326.1875,0.00027382365,0.83083236
PC49,297.1375,0.00026780006,0.83110017
PC50,326.2,0.00026429733,0.83136445
PC51,181.9875,0.00025860165,0.8316231
PC52,340.2,0.0002566376,0.83187973
PC53,325.225,0.00025325888,0.832133
PC54,293.1875,0.0002482337,0.83238125
PC55,283.2875,0.00024347473,0.83262473
PC56,312.1625,0.00023875528,0.8328635
PC57,119.95,0.00023675065,0.83310026
PC58,265.175,0.00023321495,0.8333335
PC59,174.0125,0.0002325576,0.83356607
PC60,174.0125,0.00022583356,0.8337919
PC61,339.2375,0.000218734,0.83401066
PC62,187.0375,0.00021193601,0.8342226
PC63,312.1875,0.00021013479,0.8344327
PC64,340.1875,0.00020841772,0.83464116
PC65,182.0,0.00020442657,0.8348456
PC66,309.1625,0.00020225291,0.83504784
PC67,293.175,0.00020055847,0.8352484
PC68,197.9,0.00019713308,0.8354455
PC69,312.1875,0.00019126403,0.8356368
PC70,309.1875,0.00018806144,0.83582485
PC71,353.2,0.00018315611,0.836008
PC72,255.2625,0.00017911039,0.8361871
PC73,340.225,0.00017816214,0.8363653
PC74,340.225,0.00017558096,0.8365409
PC75,255.2625,0.00017231773,0.8367132
PC76,313.175,0.00017078508,0.83688396
PC77,353.2,0.00016954141,0.8370535
PC78,312.2,0.00016694995,0.83722043
PC79,96.975,0.00016324913,0.8373837
PC80,353.2125,0.00016285764,0.8375465
PC81,353.1875,0.00016177208,0.8377083
PC82,255.2625,0.0001587167,0.837867
PC83,353.2125,0.00015766862,0.8380247
PC84,293.1625,0.00015573716,0.8381804
PC85,293.1625,0.00015504862,0.83833545
PC86,312.2,0.00015224771,0.8384877
PC87,248.0625,0.00014958749,0.8386373
PC88,248.0625,0.0001483049,0.8387856
PC89,248.0625,0.00014680024,0.8389324
PC90,298.15,0.00014603272,0.8390784
PC91,170.8875,0.00014436505,0.8392228
PC92,248.0625,0.00014357296,0.8393664
PC93,396.1375,0.00014072408,0.8395071
PC94,309.2,0.00013985707,0.83964694
PC95,337.2125,0.00013862802,0.8397856
PC96,353.225,0.00013760926,0.8399232
PC97,341.1875,0.0001369141,0.8400601
PC98,298.15,0.00013439004,0.8401945
PC99,309.2,0.00013388737,0.8403284
PC100,175.0375,0.00013365892,0.840462
PC101,337.2125,0.00013278487,0.8405948
PC102,341.2125,0.0001317412,0.84072655
PC103,410.1625,0.00013125583,0.8408578
PC104,396.15,0.00013088803,0.8409887
PC105,312.15,0.00013007884,0.84111875
PC106,353.225,0.00012898656,0.84124774
PC107,326.2125,0.00012837283,0.8413761
PC108,266.15,0.00012775582,0.84150386
PC109,175.0375,0.00012649717,0.84163034
PC110,312.15,0.00012605455,0.8417564
PC111,327.1625,0.00012531763,0.8418817
PC112,313.1875,0.00012459612,0.84200627
PC113,337.2,0.00012383625,0.8421301
PC114,327.1875,0.00012324221,0.8422534
PC115,281.25,0.00012281579,0.84237623
PC116,293.2,0.00012221071,0.8424984
PC117,293.2,0.00012135211,0.8426198
PC118,369.125,0.00012017118,0.84273994
PC119,197.925,0.00011988602,0.8428598
PC120,89.0375,0.00011946584,0.84297925
PC121,183.0125,0.000118480515,0.84309775
PC122,170.8875,0.000118273354,0.843216
PC123,284.2625,0.00011779357,0.8433338
PC124,197.925,0.00011747392,0.84345126
PC125,182.0125,0.00011617785,0.84356743
PC126,201.05,0.00011549812,0.84368294
PC127,369.125,0.000114374394,0.8437973
PC128,256.25,0.00011416429,0.84391147
PC129,369.125,0.00011315849,0.8440246
PC130,339.25,0.00011286061,0.84413743
PC131,341.225,0.00011253943,0.84424996
PC132,341.225,0.00011205267,0.844362
PC133,410.175,0.00011140514,0.8444734
PC134,201.05,0.00011112404,0.8445845
PC135,298.1625,0.00011047571,0.844695
PC136,339.25,0.00011006128,0.84480506
PC137,248.5875,0.000109560424,0.8449146
PC138,273.0375,0.00010938517,0.845024
PC139,147.0,0.00010912597,0.8451331
PC140,174.025,0.00010821108,0.8452413
PC141,325.15,0.00010725627,0.84534854
PC142,424.175,0.00010713068,0.84545565
PC143,121.95,0.00010684362,0.8455625
PC144,248.5875,0.00010660036,0.8456691
PC145,341.225,0.00010580028,0.8457749
PC146,424.1875,0.00010568855,0.84588057
PC147,266.1625,0.00010514995,0.8459857
PC148,313.2,0.00010491047,0.8460906
PC149,396.1625,0.000104315506,0.8461949
PC150,266.1625,0.00010391911,0.8462988
PC151,341.2375,0.00010388218,0.8464027
PC152,187.05,0.000103513485,0.84650624
PC153,273.0375,0.000102979466,0.84660923
PC154,424.1625,0.00010251775,0.84671175
PC155,241.075,0.00010201435,0.8468138
PC156,119.9625,0.00010187543,0.84691566
PC157,353.175,0.000101640915,0.8470173
PC158,119.9625,0.00010115059,0.84711844
PC159,147.0,0.00010069438,0.8472191
PC160,353.175,0.00010007633,0.8473192
PC161,396.1625,9.9372584e-05,0.84741855
PC162,383.1375,9.922031e-05,0.8475178
PC163,128.0375,9.884542e-05,0.8476166
PC164,281.2375,9.8772514e-05,0.8477154
PC165,397.2125,9.833184e-05,0.8478137
PC166,397.15,9.815476e-05,0.8479119
PC167,148.9875,9.790249e-05,0.8480098
PC168,255.2125,9.767277e-05,0.8481075
PC169,283.3,9.7292665e-05,0.8482048
PC170,298.1625,9.6831915e-05,0.84830165
PC171,341.2375,9.621233e-05,0.84839785
PC172,337.1875,9.6014504e-05,0.8484939
PC173,197.8875,9.58507e-05,0.8485897
