PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,346.9875,0.45583794,0.45583794
PC1,255.2375,0.13815953,0.5939975
PC2,283.125,0.09697187,0.69096935
PC3,474.6125,0.07748414,0.7684535
PC4,345.9375,0.076836124,0.8452896
PC5,587.8625,0.044447422,0.889737
PC6,700.0875,0.008585769,0.89832276
PC7,147.0375,0.00733462,0.9056574
PC8,339.2,0.0038120553,0.9094695
PC9,255.25,0.0029092573,0.9123787
PC10,255.2375,0.0026432958,0.915022
PC11,311.1875,0.002417424,0.91743946
PC12,255.2375,0.0023880845,0.9198275
PC13,255.2375,0.0022581262,0.92208564
PC14,265.1625,0.0021278125,0.92421347
PC15,325.2,0.0020281838,0.92624164
PC16,311.1875,0.0019551695,0.9281968
PC17,255.25,0.001727102,0.9299239
PC18,265.15,0.001639079,0.93156296
PC19,283.2875,0.0015411433,0.9331041
PC20,265.1625,0.0015195652,0.93462366
PC21,149.05,0.0014040526,0.9360277
PC22,325.1875,0.0013775062,0.9374052
PC23,339.2125,0.0013153903,0.93872064
PC24,146.975,0.0013078307,0.9400285
PC25,265.1625,0.001262205,0.9412907
PC26,325.1875,0.0012108416,0.94250154
PC27,283.275,0.00119797,0.94369954
PC28,339.2125,0.0010953505,0.9447949
PC29,255.2625,0.0010368027,0.9458317
PC30,325.2125,0.0010150879,0.9468468
PC31,265.15,0.0010128428,0.94785964
PC32,265.1625,0.0009711314,0.9488308
PC33,339.2,0.0009289732,0.9497598
PC34,283.275,0.00091192656,0.95067173
PC35,283.2875,0.0008633533,0.9515351
PC36,255.2375,0.00085717486,0.9523923
PC37,146.975,0.0008301018,0.9532224
PC38,265.1625,0.00079205603,0.9540144
PC39,146.975,0.00078459905,0.954799
PC40,311.1875,0.00074338255,0.9555424
PC41,283.275,0.0007397535,0.95628214
PC42,265.15,0.00073148677,0.9570136
PC43,311.175,0.0007028526,0.95771646
PC44,339.225,0.0006907495,0.9584072
PC45,339.2125,0.0006757951,0.959083
PC46,255.25,0.00063454936,0.9597176
PC47,283.2625,0.00062581204,0.96034336
PC48,255.2375,0.0006079277,0.96095127
PC49,283.275,0.00059402565,0.9615453
PC50,339.2,0.0005870037,0.9621323
PC51,283.2625,0.000577915,0.9627102
PC52,339.225,0.0005643637,0.96327454
PC53,311.1625,0.0005417796,0.96381634
PC54,311.175,0.00053528487,0.96435165
PC55,325.1875,0.0005211115,0.9648728
PC56,339.2,0.00051404303,0.9653868
PC57,255.225,0.00051206694,0.9658989
PC58,255.25,0.0005047284,0.9664036
PC59,255.2625,0.0004974673,0.96690106
PC60,174.0125,0.00047948092,0.9673805
PC61,325.2,0.0004732631,0.9678538
PC62,187.05,0.00047138176,0.96832514
PC63,255.2625,0.0004650986,0.96879023
PC64,265.175,0.0004547755,0.969245
PC65,309.1875,0.00044749244,0.9696925
PC66,311.1875,0.00043856312,0.9701311
PC67,311.2,0.00042992237,0.970561
PC68,311.1625,0.00042720797,0.9709882
PC69,339.2125,0.00041904615,0.97140723
PC70,309.175,0.00041787428,0.9718251
PC71,339.2,0.00041517243,0.97224027
PC72,325.2125,0.0004067876,0.9726471
PC73,311.1625,0.00040561508,0.9730527
PC74,256.2375,0.00039894268,0.9734516
PC75,325.2125,0.00039579748,0.9738474
PC76,325.175,0.000392184,0.9742396
PC77,241.225,0.00038792047,0.9746275
PC78,311.2,0.00038463276,0.9750121
PC79,339.225,0.000382412,0.97539455
PC80,241.2125,0.00037828425,0.97577286
PC81,326.2,0.00037527794,0.9761481
PC82,283.25,0.00037306955,0.9765212
PC83,201.05,0.00037102547,0.97689223
PC84,187.05,0.0003680748,0.9772603
PC85,284.275,0.0003673266,0.97762764
PC86,340.2125,0.00036359002,0.9779912
PC87,309.1875,0.00036246626,0.9783537
PC88,284.2875,0.0003608574,0.9787145
PC89,283.25,0.00035597672,0.9790705
PC90,326.1875,0.0003543251,0.97942483
PC91,311.2,0.00035171775,0.97977656
PC92,256.25,0.0003483439,0.9801249
PC93,266.1625,0.00034658253,0.9804715
PC94,279.175,0.00034577743,0.98081726
PC95,293.175,0.00034329455,0.9811606
PC96,339.25,0.00034044223,0.98150104
PC97,297.15,0.00033888893,0.98183995
PC98,309.2,0.00033640253,0.98217636
PC99,339.225,0.0003361325,0.9825125
PC100,312.175,0.00033412536,0.9828466
PC101,309.175,0.00033159545,0.9831782
PC102,284.275,0.00033043898,0.98350865
PC103,269.2625,0.00032848615,0.9838371
PC104,269.2625,0.00032668147,0.9841638
PC105,201.05,0.00032487191,0.98448867
PC106,174.0125,0.0003239505,0.9848126
PC107,293.2,0.00032167046,0.9851343
PC108,309.1875,0.00032018963,0.9854545
PC109,353.2125,0.00031950334,0.985774
PC110,89.0375,0.0003176681,0.9860917
PC111,265.1375,0.0003167324,0.9864084
PC112,293.2,0.00031527493,0.98672366
PC113,281.2625,0.00031186547,0.9870355
PC114,297.15,0.00031062996,0.9873462
