PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,146.975,0.10629779,0.10629779
PC1,146.975,0.08964708,0.19594488
PC2,861.45,0.060340885,0.25628576
PC3,421.2375,0.04911728,0.30540302
PC4,146.9625,0.0314619,0.33686492
PC5,255.0875,0.026941797,0.36380672
PC6,325.1875,0.024086256,0.387893
PC7,311.175,0.021392759,0.40928575
PC8,85.85,0.02102284,0.43030858
PC9,975.8875,0.020688836,0.4509974
PC10,823.4625,0.019474901,0.4704723
PC11,770.475,0.0192622,0.4897345
PC12,823.4625,0.01881147,0.508546
PC13,146.9875,0.018204177,0.52675015
PC14,126.9125,0.017546682,0.5442968
PC15,540.925,0.014577317,0.55887413
PC16,144.4875,0.013240283,0.5721144
PC17,325.2125,0.012718091,0.5848325
PC18,142.9875,0.012051488,0.59688395
PC19,174.05,0.01153693,0.6084209
PC20,564.375,0.011047183,0.6194681
PC21,174.05,0.010620898,0.630089
PC22,398.1625,0.0097948,0.63988376
PC23,269.1,0.009411464,0.6492952
PC24,422.225,0.008620203,0.6579154
PC25,480.025,0.00781923,0.66573465
PC26,279.15,0.007575586,0.6733102
PC27,339.2125,0.0069737253,0.68028396
PC28,311.1625,0.006564472,0.68684846
PC29,311.175,0.0063929274,0.6932414
PC30,311.1625,0.006149437,0.6993908
PC31,126.9125,0.005687359,0.7050782
PC32,339.2125,0.00562705,0.7107052
PC33,126.9125,0.005483497,0.7161887
PC34,309.175,0.0049037705,0.7210925
PC35,293.1875,0.004852051,0.7259446
PC36,126.9125,0.0046703587,0.73061496
PC37,283.2875,0.0044310903,0.735046
PC38,161.0875,0.004295995,0.73934203
PC39,339.2,0.004192326,0.7435344
PC40,283.2875,0.003984955,0.7475193
PC41,265.1625,0.0033550798,0.7508744
PC42,255.2375,0.003187491,0.7540619
PC43,717.475,0.00300212,0.757064
PC44,339.2,0.0029356384,0.75999963
PC45,421.2125,0.002883509,0.7628831
PC46,421.2125,0.0025984927,0.7654816
PC47,146.9625,0.0025126575,0.7679942
PC48,421.25,0.0024333133,0.7704275
PC49,146.9625,0.002297459,0.772725
PC50,446.175,0.002269949,0.7749949
PC51,265.175,0.0022091856,0.7772041
PC52,255.225,0.0021645331,0.77936864
PC53,255.225,0.0021250318,0.78149366
PC54,147.0375,0.002006977,0.7835006
PC55,146.9625,0.0019500649,0.7854507
PC56,255.25,0.0019369863,0.78738767
PC57,146.9625,0.0018370039,0.7892247
PC58,265.175,0.0017627362,0.79098743
PC59,311.175,0.0017307005,0.7927181
PC60,339.2,0.0016413878,0.7943595
PC61,215.0375,0.0015735702,0.79593307
PC62,174.0125,0.0015389196,0.797472
PC63,147.0375,0.0015114393,0.79898345
PC64,339.1875,0.0014635443,0.800447
PC65,265.15,0.001432074,0.80187905
PC66,325.1875,0.0013791036,0.8032582
PC67,265.1625,0.0013372891,0.8045955
PC68,325.1625,0.0013143214,0.8059098
PC69,265.15,0.0012532005,0.807163
PC70,215.0375,0.001216237,0.80837923
PC71,146.9625,0.0011831935,0.80956244
PC72,311.175,0.0011768818,0.81073934
PC73,265.1625,0.0011429823,0.8118823
PC74,187.05,0.0011197894,0.8130021
PC75,215.05,0.0011013523,0.8141035
PC76,146.9875,0.0010861538,0.81518966
PC77,339.2125,0.0010630481,0.8162527
PC78,339.2125,0.0010203156,0.817273
PC79,255.25,0.0010102966,0.8182833
PC80,255.25,0.000998922,0.81928223
PC81,311.175,0.0009895905,0.82027185
PC82,339.2,0.00097361277,0.8212455
PC83,187.05,0.000953701,0.82219917
PC84,187.05,0.0009329269,0.8231321
