PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,283.275,0.08298051,0.08298051
PC1,311.1625,0.06223763,0.14521815
PC2,88.55,0.04411967,0.18933782
PC3,639.1375,0.04239666,0.23173448
PC4,340.175,0.037325043,0.26905954
PC5,255.225,0.028998788,0.29805833
PC6,865.675,0.023216585,0.3212749
PC7,283.2375,0.019832604,0.34110752
PC8,610.8125,0.018921275,0.3600288
PC9,146.975,0.0179842,0.378013
PC10,270.8125,0.015352963,0.39336598
PC11,493.4125,0.014108063,0.40747404
PC12,504.125,0.01352103,0.42099506
PC13,86.1125,0.013177955,0.43417302
PC14,96.925,0.013044122,0.44721714
PC15,112.4625,0.012689976,0.4599071
PC16,325.175,0.010568953,0.47047606
PC17,94.0375,0.009879712,0.48035577
PC18,396.15,0.009497323,0.48985308
PC19,248.0625,0.008959381,0.49881247
PC20,146.9625,0.008259386,0.50707185
PC21,474.6875,0.007977277,0.5150491
PC22,325.1875,0.007502246,0.52255136
PC23,325.175,0.0070160013,0.52956736
PC24,325.1875,0.0066967458,0.5362641
PC25,92.925,0.0066614794,0.5429256
PC26,645.0875,0.0064292573,0.54935485
PC27,465.0875,0.006292411,0.55564725
PC28,339.1875,0.00606321,0.5617105
PC29,146.975,0.005956793,0.56766725
PC30,325.1875,0.0056679524,0.5733352
PC31,339.2125,0.005326532,0.5786617
PC32,311.1625,0.0051089814,0.58377063
PC33,339.2125,0.0048736157,0.58864427
PC34,265.1375,0.0045976853,0.59324193
PC35,340.2,0.004540218,0.59778214
PC36,1056.8625,0.004334817,0.60211694
PC37,146.975,0.0042211222,0.6063381
PC38,265.1375,0.00408924,0.6104273
PC39,311.1625,0.003970873,0.6143982
PC40,311.1875,0.003946423,0.6183446
PC41,339.1875,0.0037743866,0.622119
PC42,339.175,0.0036485018,0.6257675
PC43,112.9875,0.0036108815,0.62937844
PC44,339.1875,0.0035369538,0.6329154
PC45,339.225,0.0034390031,0.6363544
PC46,265.15,0.0034117694,0.63976616
PC47,585.475,0.0033313106,0.64309746
PC48,268.7375,0.0032318898,0.64632934
PC49,513.6625,0.0032257573,0.6495551
PC50,89.025,0.0031654611,0.6527206
PC51,339.225,0.0031232904,0.65584385
PC52,1157.15,0.0030686534,0.6589125
PC53,339.2,0.0030020152,0.66191447
PC54,339.2,0.002946455,0.6648609
PC55,311.1875,0.0028997087,0.6677606
PC56,217.05,0.0028003282,0.67056096
PC57,465.5375,0.0027851828,0.67334616
PC58,311.175,0.0027568087,0.676103
PC59,147.0,0.002711669,0.67881465
PC60,311.175,0.0026266323,0.6814413
PC61,248.075,0.0026037993,0.68404514
PC62,311.1875,0.002582128,0.68662727
PC63,312.175,0.002500414,0.6891277
PC64,265.1625,0.002448274,0.69157594
PC65,339.2,0.0023813073,0.69395727
PC66,297.1625,0.0023468845,0.69630414
PC67,793.2375,0.0022888265,0.69859296
PC68,1111.9875,0.0022638014,0.70085675
PC69,312.175,0.0021918993,0.70304865
PC70,311.175,0.0021711506,0.7052198
PC71,297.15,0.0021345238,0.7073543
PC72,265.1625,0.002100567,0.7094549
PC73,146.9875,0.0020668847,0.7115218
PC74,265.1375,0.0020466843,0.7135685
PC75,297.1625,0.0020173327,0.7155858
PC76,349.875,0.0019823005,0.7175681
PC77,340.2,0.0018967479,0.71946484
PC78,265.15,0.0018758314,0.72134066
PC79,311.15,0.0018506922,0.7231913
PC80,325.175,0.0018044725,0.7249958
PC81,311.175,0.0017490742,0.7267449
PC82,255.2375,0.0017290141,0.7284739
PC83,174.0,0.0017218996,0.7301958
PC84,265.1375,0.0016982494,0.7318941
PC85,283.2625,0.0016929883,0.7335871
PC86,339.1875,0.001657535,0.73524463
PC87,326.2,0.0016458983,0.73689055
PC88,283.25,0.0016123195,0.73850286
PC89,297.1375,0.0016075545,0.7401104
