PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,399.2625,0.11285469,0.11285469
PC1,255.2375,0.07560008,0.18845478
PC2,1006.9625,0.07154441,0.2599992
PC3,421.2375,0.06741421,0.32741338
PC4,325.1875,0.05490387,0.38231725
PC5,916.1,0.022486346,0.4048036
PC6,146.975,0.018507436,0.42331105
PC7,54.8875,0.014891305,0.43820235
PC8,147.0375,0.013393385,0.45159572
PC9,938.275,0.009463404,0.46105912
PC10,283.275,0.008051708,0.46911085
PC11,871.5625,0.00651932,0.47563016
PC12,325.1875,0.004891103,0.48052126
PC13,255.25,0.0043089623,0.48483023
PC14,311.1875,0.004168223,0.48899844
PC15,146.975,0.0036896185,0.49268806
PC16,255.25,0.0035388165,0.49622688
PC17,339.2125,0.0033552884,0.49958217
PC18,311.175,0.0031575786,0.5027397
PC19,339.2,0.0029857305,0.50572544
PC20,283.275,0.0029208544,0.5086463
PC21,283.2625,0.0029179053,0.5115642
PC22,325.2,0.0028636595,0.51442784
PC23,265.1625,0.0027770863,0.51720494
PC24,255.225,0.0025698375,0.5197748
PC25,265.15,0.0024297477,0.5222045
PC26,283.2625,0.0024039715,0.5246085
PC27,325.2125,0.0023282545,0.52693677
PC28,325.175,0.0022561057,0.52919286
PC29,283.2875,0.0021725397,0.5313654
PC30,339.225,0.0021529137,0.5335183
PC31,174.0125,0.0021166112,0.53563493
PC32,255.2375,0.0020540599,0.537689
PC33,255.25,0.0020290678,0.53971803
PC34,255.225,0.001986377,0.5417044
PC35,248.0875,0.0019091448,0.54361355
PC36,265.175,0.0018844162,0.54549795
PC37,265.175,0.0018582785,0.54735625
PC38,325.175,0.0018430382,0.5491993
PC39,255.2625,0.0018365392,0.5510358
PC40,284.275,0.0017919189,0.5528277
PC41,309.175,0.0017764173,0.5546041
PC42,311.2,0.0017673294,0.55637145
PC43,255.2625,0.0017015017,0.5580729
PC44,265.15,0.0016922097,0.55976516
PC45,255.225,0.0016706964,0.5614359
PC46,339.225,0.0016355771,0.5630714
PC47,174.0125,0.0016095716,0.564681
PC48,312.175,0.0015973527,0.56627834
PC49,311.2,0.0015760327,0.56785434
PC50,146.9875,0.0015672102,0.5694215
PC51,325.225,0.0015484673,0.57097
PC52,255.2625,0.0015246999,0.5724947
PC53,340.2125,0.0015128886,0.5740076
PC54,297.15,0.0015044658,0.57551205
PC55,293.1875,0.0014721846,0.5769842
PC56,265.175,0.0014646444,0.5784489
PC57,297.175,0.001451646,0.57990056
PC58,293.1875,0.0014329506,0.5813335
PC59,174.0125,0.0014220261,0.58275557
PC60,201.05,0.0014050625,0.5841606
PC61,283.2875,0.0013908946,0.5855515
PC62,89.025,0.0013784512,0.58693
PC63,339.2375,0.0013748901,0.5883049
PC64,297.175,0.0013509671,0.5896558
PC65,311.2,0.0013422967,0.5909981
PC66,312.175,0.0013340253,0.5923321
PC67,201.05,0.0013128767,0.593645
PC68,309.175,0.0012934271,0.5949384
PC69,126.9125,0.0012912634,0.5962297
PC70,89.025,0.001285591,0.5975153
PC71,255.225,0.0012737083,0.598789
PC72,309.1875,0.0012673505,0.60005635
PC73,265.175,0.0012549509,0.6013113
PC74,339.2375,0.0012487841,0.6025601
PC75,339.2375,0.0012441784,0.6038043
PC76,283.25,0.0012322553,0.60503656
PC77,146.9625,0.0012213886,0.6062579
PC78,293.175,0.0012088607,0.60746676
PC79,146.9875,0.0012015009,0.60866827
PC80,283.3,0.0011938454,0.6098621
PC81,339.225,0.0011897713,0.61105186
PC82,340.2125,0.001179746,0.6122316
PC83,146.9875,0.0011735465,0.61340517
PC84,201.05,0.001162872,0.61456805
PC85,311.2,0.0011542245,0.6157223
PC86,339.2375,0.0011447942,0.61686707
PC87,297.15,0.0011297205,0.6179968
PC88,326.2,0.0011233519,0.6191202
PC89,174.0,0.0011105041,0.6202307
PC90,293.175,0.00110052,0.6213312
PC91,265.15,0.0010944495,0.6224257
PC92,146.9875,0.001090435,0.6235161
PC93,255.2625,0.0010863923,0.6246025
PC94,297.15,0.0010818691,0.6256844
PC95,309.1875,0.0010748014,0.6267592
PC96,297.1625,0.0010661125,0.62782526
PC97,248.0875,0.0010629443,0.6288882
PC98,339.1875,0.0010562636,0.62994444
PC99,255.2625,0.0010514851,0.6309959
PC100,175.0375,0.0010434032,0.6320393
PC101,326.1875,0.0010384545,0.63307774
PC102,297.1625,0.0010317832,0.6341095
PC103,137.0375,0.0010248858,0.6351344
PC104,146.9625,0.0010196635,0.63615406
PC105,248.0875,0.0010068921,0.63716096
PC106,201.0375,0.0010016916,0.6381627
PC107,293.2,0.0009947402,0.6391574
PC108,339.1875,0.0009882756,0.6401457
PC109,309.2,0.000984323,0.64113003
PC110,146.9625,0.0009818879,0.6421119
PC111,297.1625,0.0009782693,0.6430902
PC112,312.1875,0.0009712007,0.6440614
PC113,284.275,0.00096821383,0.6450296
PC114,283.3,0.00095859,0.64598817
PC115,146.9625,0.00094901887,0.6469372
PC116,279.175,0.0009458155,0.647883
PC117,201.0375,0.0009399084,0.6488229
PC118,312.175,0.000935134,0.64975804
PC119,255.225,0.0009314527,0.6506895
PC120,146.9875,0.00092842756,0.6516179
PC121,126.9125,0.0009229811,0.65254086
PC122,174.0125,0.00091578485,0.6534566
PC123,248.075,0.0009091451,0.6543658
PC124,174.025,0.000904012,0.6552698
PC125,265.175,0.00090062094,0.6561704
PC126,248.075,0.0008896637,0.6570601
PC127,201.05,0.00088914734,0.6579492
PC128,255.2625,0.00088568527,0.6588349
PC129,325.175,0.00087975786,0.65971464
PC130,256.25,0.00087802287,0.6605927
PC131,339.25,0.00086480385,0.6614575
PC132,174.0125,0.0008626738,0.66232014
PC133,201.0375,0.00085484725,0.663175
PC134,137.05,0.0008471276,0.6640221
PC135,312.175,0.0008422257,0.6648643
PC136,89.025,0.00083362387,0.66569793
PC137,297.15,0.0008265211,0.66652447
PC138,201.0375,0.00082362146,0.6673481
