PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,303.25,0.5268448,0.5268448
PC1,255.2375,0.12519294,0.65203774
PC2,303.25,0.038014706,0.69005245
PC3,255.25,0.009576548,0.699629
PC4,303.2375,0.005300831,0.7049298
PC5,325.2,0.0030942536,0.7080241
PC6,265.1625,0.0024168864,0.710441
PC7,201.05,0.0018316924,0.7122727
PC8,265.1625,0.0016495964,0.7139223
PC9,174.0125,0.0013957882,0.7153181
PC10,351.0375,0.00119032,0.7165084
PC11,201.05,0.0010937157,0.71760213
PC12,311.1875,0.00093386584,0.718536
PC13,325.2,0.00087553647,0.71941155
PC14,339.2125,0.00084487814,0.72025645
PC15,174.0125,0.00079586275,0.7210523
PC16,281.2625,0.00070945575,0.72176176
PC17,265.1625,0.00068632554,0.7224481
PC18,255.2375,0.0006594556,0.7231076
PC19,283.275,0.0005996121,0.7237072
PC20,146.9875,0.00051548146,0.72422266
PC21,311.175,0.00049149635,0.72471416
PC22,146.975,0.0004749655,0.72518915
PC23,309.1875,0.0004550375,0.7256442
PC24,147.0,0.00042465108,0.7260688
PC25,339.225,0.00041405475,0.72648287
PC26,309.1875,0.00040541874,0.7268883
PC27,325.2125,0.00038743892,0.7272757
PC28,293.1875,0.00037269178,0.72764844
PC29,89.0375,0.00036111719,0.7280096
PC30,201.0375,0.00035319984,0.7283628
PC31,241.2375,0.00034803918,0.72871083
PC32,283.2875,0.0003409022,0.7290517
PC33,227.2125,0.00033733557,0.7293891
PC34,256.25,0.0003263031,0.72971535
PC35,269.2625,0.00032426353,0.7300396
PC36,353.225,0.00032251418,0.7303621
PC37,297.175,0.0003172629,0.7306794
PC38,297.175,0.0003074674,0.73098683
PC39,253.225,0.00029872637,0.7312856
PC40,241.225,0.00029687645,0.73158246
PC41,293.2,0.00029520324,0.7318777
PC42,293.2,0.00028633547,0.732164
PC43,241.225,0.0002791464,0.73244315
PC44,353.2125,0.000273188,0.7327163
PC45,326.2,0.00026772072,0.73298407
PC46,309.2,0.0002641932,0.73324823
PC47,128.05,0.0002564763,0.7335047
PC48,89.025,0.000251032,0.73375577
PC49,137.05,0.00024867433,0.73400444
PC50,253.2375,0.0002451091,0.73424953
PC51,297.1625,0.00024071735,0.7344903
PC52,281.25,0.0002389561,0.73472923
PC53,148.9875,0.0002335272,0.73496276
PC54,137.05,0.00022837761,0.73519117
PC55,172.8375,0.00022708574,0.73541826
PC56,234.9875,0.00022539089,0.7356436
PC57,312.1875,0.00022052736,0.73586416
PC58,234.9875,0.0002192889,0.73608345
PC59,340.2125,0.00021509842,0.73629856
PC60,337.225,0.00021002155,0.7365086
PC61,266.1625,0.00020309607,0.7367117
PC62,337.225,0.00020045509,0.73691213
PC63,309.175,0.00019893325,0.7371111
PC64,337.2125,0.00019717906,0.73730826
PC65,340.225,0.0001950616,0.73750335
PC66,266.1625,0.00019241788,0.73769575
PC67,311.2,0.00019157393,0.7378873
PC68,201.0625,0.00018954929,0.73807687
PC69,168.85,0.00018679735,0.73826367
PC70,397.25,0.00018601997,0.7384497
PC71,170.85,0.00018387531,0.7386336
PC72,201.0625,0.00018192912,0.7388155
PC73,174.025,0.00017807388,0.7389936
PC74,145.0625,0.00017498474,0.7391686
PC75,168.85,0.00017330432,0.7393419
PC76,187.1125,0.00017221484,0.7395141
PC77,309.175,0.00017090244,0.739685
PC78,168.85,0.00016782685,0.73985285
PC79,128.0375,0.0001637136,0.7400166
PC80,326.2125,0.00016334251,0.7401799
PC81,397.2375,0.00016208857,0.74034196
PC82,326.2125,0.00016078584,0.7405028
PC83,313.2,0.000159694,0.74066246
PC84,119.95,0.00015856355,0.740821
PC85,119.95,0.0001564509,0.74097747
PC86,397.2375,0.00015522967,0.7411327
PC87,381.25,0.00015413809,0.7412868
PC88,182.925,0.0001521263,0.7414389
PC89,284.275,0.0001508956,0.74158984
PC90,381.25,0.0001499744,0.7417398
PC91,367.2625,0.00014888734,0.7418887
PC92,284.2875,0.00014765245,0.74203634
PC93,180.925,0.00014604074,0.7421824
PC94,267.25,0.00014549906,0.74232787
PC95,162.9625,0.00014467507,0.7424725
PC96,310.1875,0.00014378883,0.7426163
PC97,240.0625,0.00014334128,0.74275964
PC98,327.2,0.00014267537,0.74290234
PC99,367.2625,0.00014209167,0.74304444
PC100,183.025,0.0001408835,0.74318534
PC101,312.2,0.00014070432,0.74332607
PC102,377.1,0.00013903754,0.7434651
PC103,183.025,0.00013890609,0.743604
PC104,227.225,0.00013854899,0.7437425
PC105,441.275,0.00013805958,0.74388057
PC106,240.0625,0.00013656574,0.7440171
PC107,367.375,0.00013620373,0.7441533
PC108,377.1,0.00013600882,0.74428934
PC109,315.2,0.0001348331,0.74442416
PC110,267.25,0.00013480085,0.744559
PC111,180.9375,0.00013436854,0.74469334
PC112,202.05,0.00013352868,0.74482685
PC113,282.2625,0.00013308824,0.74495995
PC114,168.8375,0.00013285989,0.7450928
PC115,321.225,0.00013259648,0.7452254
PC116,327.2,0.00013161116,0.74535704
PC117,183.0125,0.00013094362,0.745488
PC118,315.2,0.00013075194,0.74561876
PC119,312.175,0.00013051552,0.7457493
PC120,138.025,0.00013000351,0.7458793
PC121,441.275,0.00012929739,0.7460086
PC122,248.0875,0.00012886993,0.74613744
PC123,341.2375,0.00012810959,0.74626553
PC124,397.35,0.00012769508,0.7463932
PC125,173.1,0.00012754266,0.74652076
PC126,321.225,0.00012639044,0.7466471
PC127,304.25,0.00012623593,0.74677336
PC128,152.925,0.0001258643,0.74689925
PC129,339.2375,0.00012560369,0.74702483
PC130,215.05,0.00012495334,0.74714977
PC131,171.15,0.00012413802,0.7472739
PC132,171.15,0.00012374864,0.74739766
PC133,173.1,0.00012343984,0.7475211
PC134,189.9875,0.00012280668,0.7476439
PC135,269.25,0.00012245752,0.7477663
PC136,298.175,0.00012232739,0.7478886
PC137,269.275,0.00012171125,0.74801034
PC138,149.0,0.00012137029,0.7481317
PC139,186.925,0.00012108634,0.74825275
PC140,267.1625,0.00012075582,0.7483735
PC141,341.2125,0.00012041823,0.7484939
PC142,186.925,0.00012002531,0.74861395
PC143,341.2125,0.00011975451,0.7487337
PC144,381.2375,0.000119248,0.74885297
PC145,173.1,0.00011881884,0.74897176
PC146,186.0,0.00011855598,0.7490903
PC147,267.1625,0.000118127224,0.74920845
PC148,149.0,0.00011789246,0.74932635
PC149,279.175,0.00011766317,0.749444
PC150,279.175,0.00011755229,0.74956155
PC151,313.1875,0.00011708215,0.7496786
PC152,236.9875,0.000116965326,0.74979556
PC153,279.175,0.000116776486,0.7499123
PC154,425.275,0.0001163426,0.75002867
PC155,171.1125,0.0001160228,0.7501447
PC156,186.925,0.00011592941,0.75026065
PC157,236.9875,0.00011568566,0.75037634
PC158,269.25,0.00011518163,0.7504915
PC159,186.0,0.00011508316,0.7506066
PC160,425.3875,0.00011461484,0.7507212
PC161,173.0875,0.00011434511,0.75083554
PC162,341.225,0.00011386383,0.7509494
PC163,425.275,0.0001137526,0.7510631
PC164,235.0,0.00011356303,0.75117666
PC165,298.175,0.0001133483,0.75129
PC166,254.2375,0.00011324176,0.7514033
PC167,170.9,0.00011296631,0.7515162
PC168,313.1875,0.00011276247,0.751629
PC169,171.1125,0.00011265011,0.75174165
PC170,383.1625,0.0001123545,0.751854
PC171,465.325,0.000112278816,0.7519663
PC172,171.1125,0.00011192894,0.75207824
PC173,354.225,0.00011165166,0.7521899
PC174,173.1,0.00011135777,0.7523012
PC175,341.225,0.000111037836,0.75241226
PC176,236.9875,0.00011069477,0.75252295
PC177,242.2375,0.00011052673,0.75263345
PC178,224.9,0.000110420995,0.7527439
PC179,340.2375,0.000110250345,0.75285417
PC180,313.175,0.00011013307,0.7529643
PC181,338.225,0.00010998026,0.7530743
PC182,239.2125,0.00010976103,0.753184
PC183,423.2,0.00010947636,0.7532935
PC184,113.0,0.00010923577,0.75340277
PC185,224.9,0.00010913329,0.7535119
PC186,338.225,0.00010900618,0.7536209
PC187,325.225,0.00010887489,0.7537298
PC188,354.225,0.00010877671,0.7538386
PC189,331.275,0.0001086631,0.75394726
PC190,242.2375,0.00010848712,0.75405574
PC191,282.275,0.00010838413,0.7541641
PC192,383.3375,0.00010818489,0.7542723
PC193,331.275,0.0001078608,0.75438017
PC194,235.0,0.00010781346,0.754488
PC195,242.2375,0.0001076644,0.75459564
PC196,369.1375,0.00010757464,0.7547032
PC197,248.1,0.000107375316,0.7548106
PC198,188.925,0.00010721618,0.7549178
PC199,794.5625,0.000106828535,0.7550246
PC200,217.0375,0.00010670551,0.7551313
PC201,794.575,0.00010662811,0.75523794
PC202,313.175,0.00010639325,0.75534433
PC203,215.0375,0.000106221756,0.75545055
PC204,239.2125,0.000106118656,0.75555664
PC205,187.1,0.00010595697,0.7556626
PC206,225.0125,0.00010592216,0.75576854
PC207,325.025,0.00010566483,0.7558742
PC208,224.95,0.00010563806,0.75597984
PC209,233.1625,0.000105593565,0.75608546
PC210,207.95,0.000105419356,0.7561909
PC211,236.975,0.000105292005,0.7562962
PC212,279.1875,0.000105036874,0.75640124
PC213,397.175,0.00010484714,0.7565061
PC214,170.9,0.000104772575,0.7566109
PC215,224.95,0.000104647406,0.75671554
PC216,369.15,0.00010451037,0.75682
PC217,397.175,0.00010447797,0.7569245
PC218,186.0125,0.00010434224,0.7570289
PC219,431.1625,0.00010416531,0.75713307
PC220,353.2375,0.00010399276,0.7572371
PC221,190.9625,0.00010384829,0.7573409
PC222,239.2125,0.000103740684,0.7574446
PC223,337.2375,0.00010362094,0.7575482
PC224,794.5625,0.00010351309,0.75765175
PC225,331.275,0.00010322343,0.757755
PC226,383.3375,0.00010308157,0.75785804
PC227,354.225,0.00010297276,0.75796103
PC228,397.3375,0.00010278347,0.7580638
PC229,164.85,0.00010273825,0.75816655
PC230,248.1,0.0001026164,0.7582692
PC231,310.2,0.0001025782,0.7583718
PC232,381.4,0.000102453705,0.75847423
PC233,235.0,0.000102342936,0.7585766
PC234,381.3875,0.00010232022,0.7586789
PC235,794.5625,0.00010212764,0.758781
PC236,465.3125,0.000101990096,0.758883
PC237,325.025,0.000101963415,0.758985
PC238,299.2,0.00010176326,0.7590867
PC239,217.0375,0.00010174831,0.7591885
PC240,227.2,0.000101587386,0.75929004
PC241,354.225,0.00010144736,0.7593915
PC242,162.85,0.000101383426,0.7594929
PC243,794.5625,0.000101163736,0.759594
PC244,129.025,0.000101123725,0.7596952
PC245,369.325,0.000100987985,0.75979614
PC246,379.1,0.00010095526,0.7598971
PC247,162.85,0.00010088741,0.759998
PC248,383.2375,0.00010068607,0.7600987
PC249,325.225,0.000100649384,0.76019937
PC250,126.9,0.00010058683,0.7603
PC251,217.05,0.00010047456,0.7604005
PC252,794.5625,0.000100403384,0.76050085
PC253,157.1375,0.000100350524,0.7606012
PC254,227.2,0.00010026015,0.7607015
PC255,256.2375,0.00010009869,0.76080155
PC256,175.0125,9.9937075e-05,0.7609015
PC257,225.2,9.992929e-05,0.76100147
PC258,788.5625,9.982013e-05,0.7611013
PC259,293.2125,9.971869e-05,0.761201
PC260,381.2625,9.958086e-05,0.7613006
PC261,299.2,9.952478e-05,0.76140016
PC262,323.125,9.9449266e-05,0.7614996
PC263,228.2125,9.933963e-05,0.76159894
PC264,256.2375,9.921969e-05,0.7616982
PC265,157.1375,9.9176665e-05,0.76179737
PC266,377.1875,9.9100485e-05,0.7618965
PC267,794.575,9.8992314e-05,0.7619955
PC268,228.225,9.890664e-05,0.7620944
PC269,441.2875,9.887583e-05,0.76219326
PC270,381.2625,9.8814606e-05,0.7622921
PC271,279.1875,9.875316e-05,0.76239085
PC272,294.1875,9.852705e-05,0.7624894
PC273,365.25,9.8449775e-05,0.76258785
PC274,145.075,9.831704e-05,0.76268613
PC275,750.5625,9.82155e-05,0.76278436
PC276,267.2375,9.817117e-05,0.76288253
PC277,437.2125,9.8154356e-05,0.7629807
PC278,383.325,9.8060824e-05,0.76307875
PC279,299.2,9.800061e-05,0.76317674
PC280,323.2375,9.791201e-05,0.76327467
PC281,162.85,9.78553e-05,0.76337254
PC282,133.925,9.772341e-05,0.7634703
PC283,267.2375,9.759229e-05,0.76356786
PC284,269.225,9.7514094e-05,0.7636654
PC285,224.9,9.7477845e-05,0.76376283
PC286,252.9875,9.741505e-05,0.7638602
PC287,750.5625,9.733112e-05,0.76395756
PC288,299.2,9.725876e-05,0.76405483
PC289,485.3,9.722442e-05,0.76415205
PC290,217.0625,9.71711e-05,0.7642492
PC291,198.9375,9.710829e-05,0.7643463
PC292,283.2625,9.700964e-05,0.76444334
PC293,228.2125,9.69949e-05,0.7645403
PC294,327.1875,9.685373e-05,0.7646372
PC295,313.0625,9.6744916e-05,0.7647339
PC296,207.025,9.6711265e-05,0.76483065
PC297,441.2625,9.6521646e-05,0.76492715
PC298,186.0125,9.642263e-05,0.7650236
PC299,271.2375,9.641442e-05,0.76512
PC300,292.95,9.634106e-05,0.76521635
PC301,794.5625,9.631219e-05,0.7653127
PC302,297.2625,9.625982e-05,0.76540893
PC303,157.1375,9.617608e-05,0.76550514
PC304,423.1875,9.6081705e-05,0.7656012
PC305,292.95,9.6058706e-05,0.7656973
PC306,794.5625,9.5954485e-05,0.76579326
PC307,365.2625,9.588752e-05,0.76588917
PC308,325.225,9.58236e-05,0.765985
PC309,397.2625,9.5763695e-05,0.7660808
PC310,311.3125,9.567536e-05,0.76617646
PC311,398.25,9.5612595e-05,0.76627207
