PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,681.125,0.080002666,0.080002666
PC1,935.3125,0.06152039,0.14152306
PC2,339.1875,0.035828784,0.17735185
PC3,337.1875,0.028331533,0.20568338
PC4,735.8,0.025568541,0.23125193
PC5,452.0125,0.023225334,0.25447726
PC6,371.05,0.022286236,0.2767635
PC7,1132.725,0.021353666,0.29811716
PC8,269.075,0.019020608,0.31713778
PC9,174.0,0.018284915,0.3354227
PC10,311.1625,0.016843662,0.35226637
PC11,909.65,0.014794149,0.3670605
PC12,724.15,0.013565868,0.38062638
PC13,138.0125,0.012906484,0.39353287
PC14,928.525,0.012710221,0.4062431
PC15,998.7625,0.012361767,0.41860485
PC16,311.15,0.0121279,0.43073276
PC17,733.775,0.011262812,0.44199556
PC18,733.775,0.011085866,0.45308143
PC19,265.125,0.010289751,0.4633712
PC20,265.125,0.010130467,0.47350165
PC21,146.975,0.009731847,0.4832335
PC22,255.225,0.009138277,0.4923718
PC23,523.125,0.008959965,0.50133175
PC24,82.7375,0.0081076715,0.5094394
PC25,311.1875,0.008058559,0.51749796
PC26,603.2875,0.007970523,0.52546847
PC27,1091.7125,0.0077965437,0.533265
PC28,96.9625,0.0074637835,0.5407288
PC29,197.9,0.007259164,0.547988
PC30,339.175,0.0070201354,0.5550081
PC31,1184.6375,0.0067651235,0.56177324
PC32,1184.6375,0.0067153387,0.5684886
PC33,405.5125,0.0065580416,0.57504666
PC34,730.9,0.0065398198,0.5815865
PC35,112.9875,0.0064464393,0.5880329
PC36,246.9375,0.0063952315,0.5944281
PC37,112.9875,0.006272782,0.6007009
PC38,589.2375,0.006188904,0.60688984
PC39,339.175,0.0060439035,0.61293375
PC40,707.975,0.00567436,0.6186081
PC41,453.875,0.0053779036,0.623986
PC42,371.1,0.0052512535,0.62923723
PC43,309.175,0.005228645,0.6344659
PC44,326.1625,0.005193338,0.6396592
PC45,780.3625,0.00509161,0.64475083
PC46,340.1875,0.005031989,0.64978284
PC47,402.8875,0.0049987044,0.6547815
PC48,371.1,0.004933304,0.6597148
PC49,248.075,0.0047623436,0.66447717
PC50,593.1,0.004701852,0.669179
PC51,723.125,0.004482862,0.6736619
PC52,723.125,0.0044591646,0.67812103
PC53,417.2125,0.004405822,0.6825268
PC54,417.2125,0.004326489,0.6868533
PC55,748.2875,0.004307542,0.69116086
PC56,917.0875,0.0042801383,0.695441
PC57,417.2125,0.004265708,0.69970673
PC58,234.05,0.0041764374,0.7038832
PC59,248.075,0.004057835,0.707941
PC60,248.075,0.00398045,0.71192145
PC61,353.1875,0.0038615654,0.715783
PC62,742.9,0.0037649313,0.7195479
PC63,840.35,0.0036865764,0.7232345
PC64,293.2,0.0035572106,0.7267917
PC65,293.2,0.0035189448,0.7303106
PC66,347.0,0.0035001906,0.7338108
PC67,687.5375,0.0034472912,0.7372581
PC68,815.7375,0.0032902155,0.7405483
PC69,273.125,0.0032360868,0.7437844
PC70,293.1875,0.0031826189,0.746967
PC71,261.9625,0.003013679,0.7499807
PC72,835.5375,0.0030002508,0.75298095
PC73,824.025,0.0029284868,0.75590944
PC74,126.9,0.002838443,0.7587479
PC75,480.6,0.0028216415,0.7615695
PC76,148.6,0.002752822,0.76432234
PC77,480.6,0.0026741624,0.7669965
PC78,298.15,0.0026038843,0.7696004
PC79,976.55,0.0025169675,0.7721174
PC80,325.1625,0.0024897016,0.77460706
PC81,457.3375,0.002468478,0.7770755
PC82,325.1875,0.0024066912,0.77948225
PC83,309.15,0.0023736241,0.7818559
PC84,708.725,0.0023409117,0.7841968
PC85,976.55,0.0022959036,0.7864927
PC86,325.1625,0.0022854533,0.7887782
PC87,311.175,0.002244986,0.7910232
PC88,339.2125,0.0022161815,0.79323936
PC89,255.2375,0.0021915433,0.7954309
PC90,383.175,0.0021741595,0.79760504
PC91,323.1,0.0021061085,0.79971117
PC92,323.1,0.0020686637,0.8017798
PC93,146.9625,0.002058084,0.8038379
PC94,256.2625,0.0020301377,0.805868
PC95,1022.9625,0.0019984061,0.80786645
PC96,1191.3875,0.001963414,0.8098299
PC97,1022.9625,0.0019257736,0.81175566
PC98,126.65,0.0019234949,0.81367916
PC99,1024.7625,0.0018768901,0.81555605
PC100,1041.425,0.0018376232,0.81739366
PC101,975.375,0.0018345186,0.8192282
PC102,1024.7625,0.001804094,0.8210323
PC103,1041.425,0.0017437761,0.8227761
PC104,265.1625,0.0017199557,0.82449603
PC105,59.9,0.0016819692,0.826178
PC106,1024.7625,0.0016567353,0.8278347
PC107,181.9875,0.001643551,0.82947826
PC108,265.175,0.0015953174,0.8310736
PC109,733.0375,0.0015581354,0.8326317
PC110,1153.6125,0.0015325715,0.83416426
PC111,283.2875,0.0015240221,0.8356883
PC112,59.9,0.0014972013,0.8371855
PC113,354.875,0.0014714389,0.83865696
PC114,354.875,0.0014280481,0.840085
PC115,243.9,0.0014203032,0.84150535
PC116,354.875,0.0014016607,0.842907
PC117,133.9875,0.0013921722,0.8442992
PC118,283.2625,0.0013651117,0.8456643
PC119,197.975,0.00132319,0.8469875
PC120,339.2,0.0013027005,0.8482902
PC121,265.1625,0.0012839234,0.84957415
PC122,489.95,0.0012626416,0.8508368
PC123,265.1625,0.0012518351,0.85208863
PC124,297.15,0.0012464428,0.8533351
PC125,339.2125,0.0011931567,0.85452825
PC126,311.1375,0.0011826872,0.8557109
PC127,992.25,0.0011737933,0.8568847
PC128,265.175,0.0011546236,0.8580393
PC129,312.175,0.001135463,0.8591748
PC130,265.1625,0.0011203213,0.8602951
PC131,265.1625,0.0011134482,0.8614086
PC132,313.175,0.001092145,0.8625007
PC133,1104.3875,0.0010895384,0.86359024
PC134,577.95,0.0010870134,0.86467725
PC135,313.175,0.0010687595,0.865746
