PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,126.9125,0.67400944,0.67400944
PC1,126.9125,0.14392981,0.8179393
PC2,421.2375,0.085219085,0.90315837
PC3,187.05,0.014105909,0.9172643
PC4,265.1625,0.0075342893,0.92479855
PC5,187.05,0.005653403,0.9304519
PC6,187.05,0.0050437027,0.9354956
PC7,297.1625,0.004608046,0.94010365
PC8,243.9125,0.0036992144,0.9438029
PC9,325.1875,0.0033339637,0.9471369
PC10,339.2125,0.003267634,0.9504045
PC11,243.9125,0.0029126308,0.95331717
PC12,248.0875,0.0025936202,0.9559108
PC13,187.05,0.002388964,0.95829976
PC14,283.275,0.0021793908,0.96047914
PC15,265.1625,0.0020185146,0.96249765
PC16,283.275,0.0019197376,0.9644174
PC17,248.0875,0.0018139597,0.96623135
PC18,248.0875,0.0017334505,0.96796477
PC19,248.0875,0.0016530239,0.9696178
PC20,248.0875,0.0015794974,0.9711973
PC21,248.0875,0.0014194385,0.97261673
PC22,283.275,0.0014143266,0.97403103
PC23,421.2375,0.0012768607,0.9753079
PC24,146.975,0.0010775402,0.9763854
PC25,360.725,0.00096370734,0.9773491
PC26,360.725,0.0009059431,0.97825503
PC27,246.9625,0.00080801477,0.97906303
PC28,146.975,0.0007748979,0.97983795
PC29,360.725,0.0007007883,0.9805387
PC30,146.975,0.0006091419,0.9811479
PC31,255.2375,0.0005880625,0.98173594
PC32,421.25,0.0005531278,0.9822891
PC33,161.075,0.00048824883,0.9827773
PC34,421.25,0.00047953098,0.9832568
PC35,161.075,0.00042820955,0.983685
PC36,246.9625,0.00040213298,0.98408717
PC37,246.9625,0.00036477632,0.98445195
PC38,421.225,0.00031416866,0.9847661
PC39,246.9625,0.00026223337,0.9850284
PC40,161.075,0.00024193368,0.9852703
PC41,161.075,0.00022458745,0.9854949
PC42,325.2,0.00020556284,0.9857005
PC43,325.1875,0.000192017,0.98589253
PC44,421.25,0.00017747057,0.98607
PC45,421.25,0.00016354311,0.98623353
PC46,297.1625,0.0001440901,0.9863776
PC47,255.25,0.0001420806,0.9865197
PC48,311.1875,0.00013291472,0.9866526
PC49,311.1875,0.0001253697,0.98677796
PC50,339.2125,0.00011222485,0.9868902
PC51,309.1875,0.000109901164,0.9870001
PC52,293.1875,0.000107741114,0.9871079
PC53,339.2125,0.000104849634,0.9872127
PC54,255.2375,0.00010172129,0.98731446
PC55,421.225,9.916433e-05,0.98741364
PC56,421.225,9.426961e-05,0.98750794
PC57,309.1875,9.292073e-05,0.98760086
PC58,339.2125,9.09526e-05,0.9876918
PC59,339.225,8.813509e-05,0.98778
PC60,293.1875,8.724393e-05,0.98786724
PC61,309.1875,8.522107e-05,0.9879525
PC62,303.25,8.2942126e-05,0.98803544
PC63,265.1625,8.275722e-05,0.9881182
PC64,325.2,7.984892e-05,0.98819804
PC65,255.25,7.788821e-05,0.98827595
PC66,339.2125,7.556958e-05,0.9883515
PC67,421.225,7.427273e-05,0.9884258
PC68,174.0125,7.0901835e-05,0.9884967
PC69,312.1875,7.036514e-05,0.9885671
PC70,265.15,6.791277e-05,0.988635
PC71,255.2375,6.590592e-05,0.9887009
PC72,255.2375,6.55974e-05,0.98876655
PC73,309.1875,6.3943684e-05,0.9888305
PC74,325.2,6.302872e-05,0.9888935
PC75,146.975,6.0544568e-05,0.98895407
PC76,325.2,5.868116e-05,0.9890128
PC77,339.2125,5.776084e-05,0.98907053
PC78,325.2,5.6115616e-05,0.9891266
PC79,146.975,5.40547e-05,0.9891807
PC80,311.175,5.2752635e-05,0.98923343
PC81,303.25,5.202168e-05,0.98928547
PC82,246.9625,5.0022143e-05,0.9893355
PC83,309.1875,4.8964204e-05,0.9893844
PC84,325.1875,4.8298964e-05,0.9894327
PC85,311.175,4.7302103e-05,0.98948
PC86,227.0125,4.6492478e-05,0.9895265
PC87,311.175,4.5779092e-05,0.9895723
PC88,309.1875,4.537075e-05,0.98961765
PC89,311.175,4.3975764e-05,0.98966163
PC90,293.1875,4.3170712e-05,0.9897048
PC91,666.075,4.2810818e-05,0.9897476
PC92,325.1875,4.2111737e-05,0.9897897
PC93,311.175,4.084401e-05,0.98983055
PC94,297.1625,4.0550367e-05,0.9898711
PC95,309.1875,3.9486855e-05,0.98991054
PC96,172.8375,3.881895e-05,0.98994935
PC97,309.1875,3.8513484e-05,0.98998785
PC98,265.15,3.8273763e-05,0.9900261
PC99,309.1875,3.7835693e-05,0.99006397
PC100,311.175,3.7774793e-05,0.99010175
PC101,293.1875,3.706379e-05,0.9901388
PC102,326.2,3.643617e-05,0.99017525
PC103,201.0375,3.6160745e-05,0.9902114
PC104,353.2125,3.537151e-05,0.9902468
PC105,297.1625,3.4700737e-05,0.99028146
PC106,168.8375,3.448883e-05,0.990316
PC107,219.1125,3.4228495e-05,0.9903502
PC108,255.2375,3.364992e-05,0.99038386
PC109,297.175,3.3226515e-05,0.99041706
PC110,174.0125,3.314864e-05,0.9904502
PC111,326.2,3.2875487e-05,0.9904831
PC112,265.15,3.246985e-05,0.9905156
PC113,170.8375,3.206493e-05,0.99054766
PC114,293.1875,3.1508007e-05,0.9905792
PC115,201.05,3.1383883e-05,0.9906106
PC116,227.2125,3.11246e-05,0.9906417
PC117,293.2,3.0677256e-05,0.9906724
PC118,309.1875,3.0311021e-05,0.99070275
PC119,256.25,3.0113852e-05,0.99073285
PC120,241.2375,2.9888917e-05,0.9907627
PC121,340.2125,2.96543e-05,0.9907924
PC122,326.2,2.9509536e-05,0.9908219
PC123,265.15,2.9197156e-05,0.9908511
PC124,256.25,2.8868864e-05,0.99087995
