PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,146.975,0.21109144,0.21109144
PC1,126.9125,0.09123301,0.30232444
PC2,146.975,0.05559124,0.3579157
PC3,174.05,0.03106009,0.3889758
PC4,646.975,0.0251707,0.4141465
PC5,1171.275,0.022039426,0.43618593
PC6,174.05,0.020607434,0.45679337
PC7,187.05,0.017783375,0.47457674
PC8,187.05,0.015885707,0.49046245
PC9,146.975,0.013206677,0.50366914
PC10,529.0375,0.012374343,0.5160435
PC11,174.0125,0.011535316,0.5275788
PC12,201.125,0.011157287,0.53873605
PC13,174.0125,0.010323952,0.54906
PC14,297.1375,0.009739117,0.5587991
PC15,174.0375,0.008912818,0.5677119
PC16,146.975,0.008311672,0.5760236
PC17,1145.1125,0.007835174,0.5838587
PC18,146.9875,0.0074228165,0.59128153
PC19,265.1625,0.0073215547,0.59860307
PC20,311.175,0.007221064,0.6058241
PC21,283.2625,0.0069818883,0.612806
PC22,955.8,0.0067172437,0.6195233
PC23,174.0,0.006520954,0.6260442
PC24,265.15,0.0063308803,0.6323751
PC25,187.05,0.0060492763,0.6384244
PC26,93.0625,0.0059996615,0.6444241
PC27,421.225,0.0058115316,0.6502356
PC28,421.225,0.0050911554,0.6553267
PC29,255.2375,0.0047040978,0.66003084
PC30,325.1875,0.0040822853,0.6641131
PC31,339.2125,0.003924557,0.66803765
PC32,311.1875,0.00386553,0.6719032
PC33,201.125,0.003662454,0.67556566
PC34,311.1625,0.0035503667,0.679116
PC35,311.175,0.0031112419,0.68222725
PC36,146.9875,0.0029465319,0.6851738
PC37,325.1875,0.002926209,0.68810004
PC38,201.125,0.002804445,0.6909045
PC39,325.2,0.0027289859,0.6936335
PC40,146.9625,0.0026065547,0.69624007
PC41,339.2125,0.0025567708,0.6987968
PC42,325.175,0.0024711832,0.701268
PC43,201.0375,0.0024399615,0.703708
PC44,146.9625,0.0023947856,0.7061028
PC45,325.2,0.002363649,0.7084664
PC46,147.0,0.0022746732,0.7107411
PC47,174.0,0.0022692047,0.7130103
PC48,325.1875,0.0021651837,0.7151755
PC49,339.2,0.002134977,0.7173105
PC50,174.0125,0.00208496,0.71939546
PC51,265.15,0.0020528857,0.72144836
PC52,325.1875,0.0019711622,0.72341955
PC53,174.0,0.0019355606,0.7253551
PC54,146.9625,0.0018866963,0.7272418
PC55,174.0,0.0018350283,0.72907686
PC56,174.0,0.0017649116,0.73084176
PC57,174.0375,0.0016871867,0.7325289
PC58,146.9625,0.0015590199,0.73408794
PC59,311.1875,0.0015493126,0.73563725
PC60,175.025,0.0014588005,0.7370961
PC61,146.9875,0.0014330046,0.7385291
PC62,265.1625,0.0013949075,0.739924
PC63,174.0125,0.0013851705,0.74130917
PC64,421.2375,0.0013745202,0.7426837
PC65,311.15,0.0013606967,0.7440444
PC66,174.0375,0.0013157408,0.74536014
PC67,146.9875,0.0012729042,0.74663305
PC68,339.2125,0.0012592018,0.74789226
PC69,339.2,0.001244937,0.7491372
PC70,174.0375,0.0012124312,0.75034964
PC71,146.9625,0.0012030521,0.7515527
PC72,89.025,0.0011844191,0.7527371
PC73,175.0375,0.0011728032,0.7539099
PC74,175.025,0.0011339427,0.7550438
PC75,187.0375,0.0011134447,0.7561573
PC76,89.025,0.0010500994,0.7572074
PC77,325.1875,0.0010360588,0.75824344
PC78,175.025,0.0010080495,0.7592515
PC79,175.025,0.0009852166,0.7602367
PC80,325.2125,0.0009424324,0.7611791
PC81,175.0375,0.0009213448,0.76210046
