PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,311.1625,0.59378046,0.59378046
PC1,96.9625,0.030050136,0.6238306
PC2,146.9625,0.019521039,0.6433517
PC3,96.9625,0.013460046,0.6568117
PC4,391.25,0.008322545,0.66513425
PC5,96.9625,0.004021489,0.6691557
PC6,96.9625,0.0037567778,0.6729125
PC7,311.1625,0.003085424,0.6759979
PC8,311.1625,0.0028520834,0.67885
PC9,325.175,0.0021141344,0.6809641
PC10,325.1875,0.0019540759,0.6829182
PC11,89.025,0.0018392147,0.6847574
PC12,146.975,0.0018014944,0.6865589
PC13,339.1875,0.00168959,0.6882485
PC14,339.2,0.0015954056,0.6898439
PC15,325.1625,0.0015532094,0.69139713
PC16,339.2125,0.0013774107,0.69277453
PC17,265.1375,0.0013508389,0.69412535
PC18,255.225,0.0012879972,0.69541335
PC19,339.2125,0.0012469927,0.69666034
PC20,311.1875,0.0011863892,0.6978467
PC21,255.2375,0.0011575759,0.6990043
PC22,297.15,0.0010633306,0.70006764
PC23,325.2,0.0009609412,0.7010286
PC24,325.2,0.00093686086,0.70196545
PC25,339.175,0.0008697741,0.7028352
PC26,248.075,0.00082870503,0.7036639
PC27,181.9875,0.00079527707,0.7044592
PC28,265.15,0.00075745437,0.70521665
PC29,283.275,0.0007312161,0.7059479
PC30,297.1375,0.0007156632,0.70666355
PC31,174.0,0.00068293174,0.7073465
PC32,326.175,0.0006785576,0.70802504
PC33,297.1375,0.000636751,0.7086618
PC34,248.075,0.0006087606,0.70927054
PC35,326.175,0.00059364416,0.7098642
PC36,265.1625,0.00057586364,0.71044004
PC37,312.175,0.00055891136,0.71099895
PC38,325.2125,0.000543531,0.7115425
PC39,340.2,0.0005415495,0.71208405
PC40,197.9,0.0005215303,0.7126056
PC41,339.225,0.000506015,0.71311164
PC42,312.1625,0.0004907771,0.7136024
PC43,312.1625,0.0004771436,0.71407956
PC44,297.1625,0.00047388865,0.7145535
PC45,309.175,0.0004618514,0.71501535
PC46,340.1875,0.0004583341,0.7154737
PC47,311.1375,0.00045389644,0.7159276
PC48,248.0625,0.00043967162,0.71636724
PC49,248.0625,0.00043300464,0.7168003
PC50,340.2125,0.00042276672,0.71722305
PC51,325.15,0.00042034333,0.7176434
PC52,326.1875,0.00041539725,0.71805876
PC53,309.175,0.00040916886,0.71846795
PC54,325.15,0.0004028946,0.7188708
PC55,312.15,0.00039424226,0.71926504
PC56,309.1625,0.00038983734,0.71965486
PC57,248.0875,0.0003832716,0.7200381
PC58,146.9875,0.00037607795,0.7204142
PC59,197.9125,0.00037093044,0.72078514
PC60,297.175,0.00036852923,0.7211537
PC61,197.8875,0.0003615432,0.72151524
PC62,265.125,0.0003559429,0.7218712
PC63,326.2,0.00034813685,0.72221935
PC64,326.2,0.0003454089,0.72256476
PC65,293.1625,0.0003416661,0.7229064
PC66,197.9125,0.0003383897,0.7232448
PC67,119.95,0.00033343286,0.7235782
PC68,311.2,0.0003295515,0.72390777
