PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,325.1875,0.13174903,0.13174903
PC1,1121.3,0.115300894,0.24704993
PC2,238.65,0.053444486,0.3004944
PC3,451.3125,0.04556647,0.34606087
PC4,147.0375,0.04347979,0.38954067
PC5,1041.2125,0.034985907,0.42452657
PC6,146.975,0.02615868,0.45068526
PC7,209.9625,0.015380838,0.4660661
PC8,255.2375,0.010105249,0.47617134
PC9,283.275,0.008104451,0.4842758
PC10,255.25,0.0076956945,0.4919715
PC11,339.2125,0.0069688368,0.49894032
PC12,311.1625,0.0060642217,0.5050045
PC13,339.2125,0.0058640856,0.5108686
PC14,325.2,0.0056518163,0.51652044
PC15,283.275,0.0051708776,0.5216913
PC16,325.1875,0.005001721,0.52669305
PC17,283.275,0.0048387637,0.5315318
PC18,339.2125,0.004655369,0.5361872
PC19,255.25,0.0044288486,0.54061604
PC20,311.175,0.00412782,0.54474384
PC21,311.1625,0.004017376,0.5487612
PC22,265.1625,0.003968638,0.55272985
PC23,283.2625,0.003868872,0.5565987
PC24,325.2,0.0037065,0.56030524
PC25,283.275,0.0036660351,0.5639713
PC26,146.975,0.0034882708,0.5674595
PC27,283.275,0.0033570987,0.57081664
PC28,325.2,0.0032936758,0.5741103
PC29,265.175,0.0032476468,0.57735795
PC30,325.175,0.003143235,0.5805012
PC31,339.225,0.0030621893,0.5835634
PC32,325.2,0.002981902,0.5865453
PC33,147.05,0.002903917,0.5894492
PC34,146.9875,0.0028433553,0.5922926
PC35,311.1875,0.0027935205,0.5950861
PC36,265.175,0.002724529,0.5978106
PC37,283.2625,0.0027011882,0.6005118
PC38,265.15,0.002663818,0.6031756
PC39,126.9125,0.002626544,0.6058021
PC40,325.2125,0.0025063977,0.6083085
PC41,325.2125,0.0024548287,0.6107633
PC42,339.225,0.0023846794,0.613148
PC43,325.175,0.0023740851,0.6155221
PC44,126.9125,0.0022921134,0.6178142
PC45,325.175,0.0022712483,0.6200854
PC46,126.9125,0.0022417905,0.6223272
PC47,146.9875,0.0022315779,0.6245588
PC48,311.175,0.0021652316,0.62672406
PC49,339.1875,0.0021407907,0.6288649
PC50,174.0,0.0020948823,0.63095975
PC51,255.2625,0.0020730004,0.63303274
PC52,283.2875,0.002019559,0.6350523
PC53,146.9875,0.0020109254,0.63706326
PC54,174.0125,0.0019715934,0.63903487
PC55,255.225,0.001963806,0.64099866
PC56,201.0375,0.0019247042,0.64292336
PC57,265.1375,0.0019220243,0.64484537
PC58,265.175,0.0019018616,0.64674723
PC59,126.9125,0.0018794335,0.6486267
PC60,255.225,0.0018634282,0.6504901
PC61,265.1875,0.0018351201,0.6523252
PC62,146.9875,0.0017905227,0.65411574
PC63,89.025,0.0017859668,0.65590173
PC64,201.0375,0.0017687071,0.65767044
PC65,265.15,0.0017563275,0.65942675
PC66,146.9875,0.0017214188,0.6611482
PC67,297.15,0.0017059803,0.6628542
PC68,340.2,0.0016977265,0.6645519
PC69,339.25,0.0016780165,0.6662299
PC70,256.25,0.0016605761,0.6678905
PC71,309.175,0.0016479624,0.66953844
PC72,339.25,0.0016401337,0.6711786
PC73,146.9875,0.0016218339,0.6728004
PC74,201.0375,0.0016123652,0.6744128
PC75,325.225,0.0015954562,0.6760082
PC76,89.025,0.001583214,0.67759144
PC77,279.1625,0.001562761,0.6791542
PC78,339.1875,0.0015534711,0.6807077
PC79,339.1875,0.0015439476,0.68225163
PC80,89.025,0.0015369055,0.68378854
PC81,187.05,0.0015228898,0.68531144
PC82,265.175,0.0015118851,0.6868233
PC83,297.1625,0.0014981262,0.6883214
PC84,174.0125,0.0014794369,0.68980086
PC85,284.275,0.0014597813,0.69126064
PC86,339.2,0.0014519654,0.6927126
PC87,283.3,0.0014325762,0.6941452
PC88,340.225,0.0014260606,0.69557124
PC89,312.175,0.0014148311,0.6969861
PC90,311.2,0.0013888997,0.698375
PC91,174.0125,0.0013764437,0.69975144
PC92,279.2375,0.0013654063,0.70111686
PC93,283.2625,0.0013493691,0.70246625
PC94,326.2,0.0013423874,0.70380867
PC95,284.2875,0.0013369326,0.7051456
PC96,255.2625,0.0013295637,0.70647514
PC97,174.0125,0.0013084497,0.7077836
PC98,255.225,0.001287416,0.709071
PC99,284.275,0.0012740651,0.71034503
PC100,297.175,0.001247595,0.7115926
PC101,325.2,0.0012427574,0.7128354
PC102,340.2125,0.0012279504,0.71406335
PC103,303.05,0.0011969598,0.7152603
PC104,146.975,0.0011874655,0.7164478
PC105,126.9125,0.0011674786,0.71761525
PC106,126.9125,0.0011474123,0.71876264
PC107,126.9125,0.0011224035,0.71988505
PC108,126.9125,0.0011053992,0.7209905
PC109,325.2,0.001071204,0.7220617
PC110,265.1625,0.0010550118,0.7231167
PC111,407.1125,0.0010278808,0.7241446
PC112,311.1875,0.0009767895,0.7251214
PC113,283.2625,0.0009509641,0.7260724
PC114,146.9875,0.0009377279,0.7270101
PC115,311.175,0.00089659466,0.72790664
PC116,311.2,0.00086917524,0.7287758
PC117,201.0375,0.0008553147,0.7296311
PC118,325.2,0.0008371647,0.7304683
PC119,146.9875,0.000819654,0.73128796
PC120,187.05,0.00079378794,0.7320818
PC121,311.2,0.0007804328,0.7328622
PC122,255.2625,0.0007727473,0.73363495
PC123,265.15,0.000760577,0.7343955
PC124,174.0,0.0007428755,0.73513836
PC125,311.1625,0.0007414184,0.7358798
PC126,174.0125,0.00073036115,0.7366101
PC127,293.1875,0.0007077163,0.73731786
PC128,293.1875,0.0006999424,0.7380178
PC129,339.2375,0.0006935646,0.73871136
PC130,283.2875,0.0006798327,0.7393912
PC131,201.0375,0.0006772181,0.74006844
PC132,265.1375,0.0006632106,0.74073166
PC133,325.225,0.00066102133,0.7413927
PC134,265.175,0.0006493361,0.742042
PC135,174.0,0.0006400578,0.74268204
PC136,293.1875,0.00063508865,0.7433171
PC137,339.225,0.0006167144,0.74393386
PC138,339.1875,0.0006111372,0.744545
PC139,297.15,0.00060407945,0.7451491
PC140,309.175,0.00059863337,0.7457477
PC141,265.1375,0.00059356843,0.7463412
PC142,146.9625,0.000587421,0.74692863
PC143,265.175,0.00058408786,0.7475127
PC144,201.05,0.0005805332,0.74809325
PC145,340.2125,0.0005772685,0.7486705
PC146,283.3,0.0005718556,0.74924237
PC147,201.05,0.0005649515,0.7498073
PC148,340.2,0.00055905833,0.75036633
PC149,326.1875,0.0005518675,0.7509182
PC150,284.2875,0.00054893544,0.75146717
PC151,297.175,0.00054339255,0.7520106
PC152,297.175,0.00053510955,0.7525457
PC153,147.0,0.0005336828,0.7530794
PC154,297.175,0.0005272774,0.7536067
PC155,312.175,0.00052442105,0.7541311
PC156,309.1875,0.0005223603,0.75465345
PC157,339.2375,0.0005176733,0.7551711
PC158,89.025,0.00051232113,0.7556834
PC159,297.175,0.0005078653,0.7561913
PC160,256.2375,0.00050646,0.7566978
PC161,256.2375,0.0005052561,0.75720304
PC162,293.175,0.00050445984,0.7577075
PC163,283.3,0.0004996652,0.75820714
PC164,89.025,0.0004947926,0.7587019
PC165,293.175,0.0004932409,0.75919515
PC166,309.175,0.00048920343,0.7596843
PC167,89.0375,0.00048533388,0.7601697
PC168,313.2,0.00048391605,0.7606536
PC169,161.0625,0.0004807204,0.7611343
PC170,293.2,0.0004782693,0.7616126
PC171,265.1875,0.0004779226,0.7620905
PC172,284.275,0.00047520112,0.76256573
PC173,201.0625,0.00047084843,0.7630366
PC174,174.025,0.00046698347,0.7635036
PC175,311.2125,0.0004652617,0.7639689
PC176,311.2125,0.0004608357,0.76442975
PC177,256.2625,0.00045936817,0.7648891
PC178,147.0,0.0004573704,0.76534647
PC179,325.2125,0.00045557602,0.765802
PC180,161.075,0.00045317685,0.7662552
PC181,311.2125,0.00045125926,0.76670647
PC182,312.175,0.00044961926,0.76715606
PC183,309.175,0.00044743856,0.7676035
PC184,174.025,0.00044583573,0.76804936
PC185,353.2125,0.00044249117,0.76849186
PC186,326.1875,0.0004416727,0.76893353
PC187,174.025,0.0004385948,0.7693721
PC188,309.2,0.00043730182,0.7698094
PC189,313.2,0.0004363624,0.7702458
PC190,327.1875,0.0004358737,0.7706817
PC191,187.1125,0.00043418436,0.77111584
PC192,283.3,0.0004319593,0.7715478
PC193,283.3,0.0004307187,0.7719785
PC194,312.1875,0.0004298197,0.7724083
PC195,89.0375,0.00042731944,0.7728356
PC196,256.2375,0.00042549227,0.77326113
PC197,201.0625,0.00042526916,0.7736864
PC198,174.025,0.0004246565,0.7741111
PC199,137.0375,0.00042063883,0.7745317
PC200,325.2125,0.0004190299,0.77495074
PC201,248.075,0.00041806756,0.7753688
PC202,326.1875,0.0004153442,0.77578413
PC203,284.2625,0.00041504423,0.77619916
PC204,283.3,0.00041205648,0.7766112
PC205,340.225,0.00041058782,0.7770218
PC206,119.95,0.00040904843,0.7774309
PC207,269.2625,0.00040803116,0.77783895
PC208,128.0375,0.00040705848,0.778246
PC209,283.3,0.00040441647,0.7786504
PC210,174.025,0.0004037847,0.77905416
PC211,174.025,0.0004021373,0.7794563
PC212,227.2,0.0004012814,0.7798576
PC213,187.1125,0.00040014312,0.7802577
PC214,284.2875,0.00039817172,0.78065586
PC215,309.2,0.00039779497,0.78105366
PC216,241.225,0.000395005,0.78144866
PC217,89.025,0.00039391493,0.7818426
PC218,201.0625,0.00039189897,0.7822345
PC219,183.025,0.00038982267,0.7826243
PC220,187.1125,0.00038834824,0.7830126
PC221,312.2,0.0003875242,0.7834002
PC222,255.275,0.0003861854,0.78378636
PC223,147.025,0.00038520715,0.7841716
PC224,241.225,0.0003832993,0.7845549
PC225,201.05,0.0003821528,0.784937
PC226,293.2,0.000381911,0.7853189
PC227,89.0375,0.00038097313,0.7856999
PC228,119.95,0.00037805954,0.786078
PC229,283.3,0.00037613828,0.78645414
PC230,266.1625,0.00037595697,0.7868301
PC231,201.0625,0.0003741614,0.78720427
PC232,337.2,0.0003732541,0.7875775
PC233,293.175,0.00037220772,0.78794974
PC234,293.2,0.0003706881,0.7883204
