PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,255.2375,0.17696851,0.17696851
PC1,255.225,0.08438484,0.26135337
PC2,255.2375,0.023863416,0.28521678
PC3,600.525,0.00952482,0.2947416
PC4,325.1875,0.0053962837,0.30013788
PC5,255.2375,0.004744608,0.3048825
PC6,325.1875,0.0044890996,0.3093716
PC7,339.2125,0.004024237,0.31339583
PC8,311.1625,0.0037013995,0.31709722
PC9,339.2,0.0034595747,0.3205568
PC10,255.25,0.0033977816,0.32395458
PC11,311.175,0.003180785,0.32713535
PC12,311.1875,0.0030100676,0.33014542
PC13,283.2625,0.0028854627,0.33303088
PC14,146.975,0.0027164451,0.33574733
PC15,325.2,0.002566329,0.33831367
PC16,255.225,0.0024197602,0.34073344
PC17,325.175,0.0023635097,0.34309694
PC18,283.2875,0.002231727,0.34532866
PC19,146.9875,0.002157805,0.34748647
PC20,146.9875,0.0021267536,0.34961322
PC21,339.225,0.0019548663,0.35156807
PC22,174.0125,0.0018498087,0.35341787
PC23,325.2125,0.0017982144,0.3552161
PC24,255.2625,0.0016857502,0.35690182
PC25,255.2625,0.0016302778,0.3585321
PC26,146.9625,0.0015735873,0.3601057
PC27,283.25,0.001492311,0.361598
PC28,297.15,0.0014765956,0.3630746
PC29,201.05,0.001432259,0.36450687
PC30,340.2125,0.0013839912,0.36589086
PC31,265.15,0.0013762536,0.3672671
PC32,311.2,0.0013025018,0.3685696
PC33,325.225,0.0012863881,0.369856
PC34,326.2,0.0012359453,0.37109193
PC35,339.2375,0.0011998992,0.37229183
PC36,325.225,0.0011758878,0.3734677
PC37,284.275,0.001157147,0.37462485
PC38,284.275,0.0011148286,0.37573966
PC39,312.175,0.0010915361,0.3768312
PC40,325.225,0.0010727581,0.37790397
PC41,265.1375,0.001042372,0.37894633
PC42,265.1375,0.0010301245,0.37997645
PC43,340.2,0.0010049689,0.38098142
PC44,256.25,0.0009988814,0.3819803
PC45,309.175,0.0009840471,0.38296434
PC46,297.175,0.0009595186,0.38392386
PC47,326.1875,0.0009380258,0.3848619
PC48,265.175,0.0009336784,0.38579556
PC49,297.175,0.0009290743,0.38672465
PC50,147.0,0.000898672,0.3876233
PC51,309.175,0.0008933638,0.38851666
PC52,248.075,0.0008795487,0.38939622
PC53,265.175,0.0008726621,0.3902689
PC54,293.1875,0.00086367194,0.39113256
PC55,313.2,0.00084922113,0.39198178
PC56,256.2375,0.0008338689,0.39281565
PC57,119.95,0.0008156427,0.39363128
PC58,340.225,0.00080157083,0.39443284
PC59,119.95,0.00079456624,0.3952274
PC60,128.0375,0.0007922712,0.39601967
PC61,311.2125,0.00078656845,0.39680624
PC62,89.0375,0.00077643176,0.39758268
PC63,284.2625,0.0007687074,0.3983514
PC64,377.0875,0.0007458556,0.39909726
PC65,340.225,0.00074037013,0.39983764
PC66,312.1875,0.00072996353,0.40056762
PC67,201.0625,0.0007273508,0.40129498
PC68,339.25,0.0007197666,0.40201473
PC69,309.1875,0.00071640935,0.40273115
PC70,341.2125,0.0007100337,0.4034412
PC71,313.1875,0.0007065423,0.40414774
PC72,326.175,0.0006919035,0.40483963
PC73,293.175,0.0006917833,0.4055314
PC74,148.9875,0.0006801957,0.4062116
PC75,293.175,0.0006776814,0.4068893
PC76,367.25,0.0006714596,0.40756074
PC77,341.2375,0.00066378445,0.40822452
PC78,312.1625,0.000658699,0.4088832
PC79,337.2125,0.00065509434,0.4095383
PC80,325.1625,0.00064816856,0.41018647
PC81,312.1625,0.00064376375,0.41083023
PC82,312.1625,0.00063905877,0.41146928
PC83,256.2625,0.0006383391,0.41210762
PC84,313.175,0.0006318696,0.4127395
PC85,313.1875,0.000629782,0.41336927
PC86,326.2125,0.0006252059,0.41399446
PC87,128.05,0.0006213849,0.41461584
PC88,256.225,0.0006200597,0.4152359
PC89,353.2125,0.0006149809,0.41585088
PC90,241.2125,0.00061141595,0.4164623
PC91,337.2125,0.00060869096,0.41707098
PC92,377.075,0.0006042365,0.41767523
PC93,256.2625,0.00060364325,0.41827887
PC94,313.175,0.00059779506,0.41887668
PC95,353.2,0.0005961485,0.4194728
PC96,241.225,0.00059215544,0.42006496
PC97,377.1125,0.0005888077,0.42065376
PC98,377.075,0.0005835697,0.42123732
PC99,241.2125,0.0005829043,0.42182022
PC100,377.075,0.0005810748,0.4224013
PC101,341.2,0.0005749435,0.42297626
PC102,341.2,0.000573535,0.4235498
PC103,227.2,0.0005717298,0.42412153
PC104,227.2,0.0005700218,0.42469156
PC105,241.2125,0.0005678829,0.42525944
PC106,227.2,0.0005636326,0.42582306
PC107,269.25,0.000559257,0.42638233
PC108,341.2,0.00055574405,0.4269381
PC109,255.275,0.00055382267,0.4274919
PC110,252.9875,0.0005521111,0.42804402
PC111,377.1125,0.0005488798,0.4285929
PC112,284.3,0.0005475947,0.42914048
PC113,248.1,0.0005444811,0.42968497
PC114,309.1625,0.00054230035,0.43022728
PC115,600.525,0.0005409572,0.43076825
PC116,284.3,0.00053948566,0.43130773
PC117,269.2625,0.0005354747,0.43184322
PC118,187.1,0.0005342551,0.4323775
PC119,369.125,0.00053095235,0.43290845
PC120,341.1875,0.0005305714,0.43343902
PC121,269.25,0.00052803796,0.43396705
PC122,340.1875,0.00052770664,0.43449476
PC123,309.1625,0.000526116,0.4350209
PC124,252.975,0.0005230141,0.4355439
PC125,269.25,0.0005206621,0.43606457
PC126,241.2375,0.0005185462,0.43658313
PC127,284.3,0.0005181276,0.43710124
PC128,283.3125,0.00051579985,0.43761703
PC129,519.15,0.00051524513,0.4381323
PC130,187.1,0.0005138679,0.43864617
PC131,326.225,0.00051283056,0.439159
PC132,340.1875,0.0005114151,0.4396704
PC133,266.1625,0.0005091048,0.44017953
PC134,241.2375,0.00050794496,0.44068748
PC135,183.0125,0.0005055839,0.44119307
PC136,252.9875,0.0005053861,0.44169846
PC137,189.975,0.000503669,0.44220212
PC138,92.9375,0.0005014849,0.4427036
PC139,340.1875,0.0005007529,0.44320434
PC140,187.1125,0.0004994794,0.44370383
PC141,183.0125,0.00049910013,0.44420293
PC142,297.1375,0.0004986889,0.4447016
PC143,279.175,0.0004941148,0.44519573
PC144,367.2375,0.00049333804,0.44568908
PC145,327.1875,0.0004926045,0.44618168
PC146,187.1125,0.00049046695,0.44667214
PC147,152.925,0.0004892028,0.44716135
PC148,395.275,0.0004881022,0.44764945
PC149,241.2375,0.00048729556,0.44813675
PC150,187.1125,0.00048513818,0.4486219
PC151,341.1875,0.000484757,0.44910666
PC152,368.25,0.00048403404,0.44959068
PC153,367.2625,0.00048297012,0.45007366
PC154,265.1875,0.0004819055,0.45055556
PC155,217.0125,0.00048102328,0.45103657
PC156,313.1625,0.0004799457,0.4515165
PC157,395.275,0.0004788713,0.45199537
PC158,297.1875,0.00047847058,0.45247385
PC159,252.9875,0.00047787122,0.45295173
PC160,397.1625,0.00047570048,0.45342743
PC161,241.075,0.0004754267,0.45390287
PC162,92.9375,0.00047372564,0.4543766
PC163,353.1875,0.00047281792,0.45484942
PC164,269.2625,0.0004716269,0.45532104
PC165,519.15,0.00047074837,0.4557918
PC166,383.15,0.0004700585,0.45626187
PC167,369.125,0.00046895377,0.4567308
PC168,353.1875,0.00046848983,0.4571993
PC169,187.1125,0.00046769762,0.457667
PC170,119.9625,0.00046693542,0.45813394
PC171,279.1625,0.00046656778,0.4586005
PC172,340.1875,0.00046492773,0.4590654
PC173,313.2125,0.0004644556,0.45952988
PC174,189.975,0.0004633377,0.4599932
PC175,241.075,0.00046265102,0.46045586
PC176,369.1375,0.0004610649,0.46091694
PC177,121.95,0.00045987236,0.46137682
PC178,298.1625,0.00045973135,0.46183655
PC179,225.95,0.00045804246,0.46229458
PC180,397.2375,0.00045761146,0.4627522
PC181,395.2875,0.00045646058,0.46320865
PC182,248.1125,0.00045609986,0.46366474
PC183,134.0,0.0004555864,0.46412033
PC184,298.1625,0.00045524593,0.4645756
PC185,431.1375,0.00045394828,0.46502954
PC186,337.2,0.00045250895,0.46548206
PC187,189.975,0.00045201374,0.46593407
PC188,327.175,0.00045068932,0.46638477
PC189,137.0375,0.00045040337,0.46683517
PC190,215.0375,0.0004500961,0.46728528
PC191,298.175,0.0004487032,0.46773398
PC192,148.975,0.00044728225,0.46818125
PC193,279.175,0.00044703865,0.4686283
PC194,327.175,0.00044587787,0.46907416
PC195,137.0375,0.0004451967,0.46951935
PC196,180.925,0.00044389023,0.46996322
PC197,315.2,0.00044350096,0.4704067
PC198,341.1875,0.00044309482,0.4708498
PC199,519.1375,0.00044245925,0.47129226
PC200,369.125,0.00044175918,0.47173402
PC201,353.1875,0.00044083528,0.47217485
PC202,241.075,0.0004403493,0.4726152
PC203,337.2,0.00043935346,0.47305456
PC204,281.2375,0.00043857563,0.47349313
PC205,152.925,0.00043742376,0.47393057
PC206,369.1375,0.0004369386,0.4743675
PC207,519.175,0.00043643915,0.47480392
PC208,397.1625,0.00043574776,0.47523966
PC209,293.2125,0.00043534028,0.47567502
PC210,313.1625,0.0004339988,0.47610903
PC211,121.95,0.00043320516,0.47654223
PC212,341.1125,0.00043287588,0.4769751
PC213,145.05,0.00043228536,0.4774074
PC214,161.0625,0.00043169825,0.47783908
PC215,368.2375,0.0004315791,0.47827065
PC216,182.0,0.00043118547,0.47870183
PC217,279.175,0.0004301402,0.47913197
