PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,421.225,0.07968113,0.07968113
PC1,674.3125,0.0736594,0.15334052
PC2,764.4875,0.07358168,0.2269222
PC3,146.975,0.04505565,0.27197784
PC4,146.975,0.027652897,0.29963073
PC5,520.0,0.025215581,0.32484633
PC6,549.8125,0.024970341,0.34981668
PC7,679.4,0.02102525,0.37084192
PC8,243.2,0.019381322,0.39022323
PC9,93.0375,0.019365607,0.40958884
PC10,325.2,0.016109059,0.4256979
PC11,1020.4375,0.01587714,0.44157502
PC12,284.2625,0.015326333,0.45690134
PC13,441.175,0.014874895,0.47177625
PC14,1107.5875,0.014841979,0.48661822
PC15,579.9875,0.013150932,0.49976915
PC16,316.125,0.012755557,0.5125247
PC17,339.2125,0.012215214,0.5247399
PC18,505.9125,0.011894081,0.536634
PC19,325.175,0.011514952,0.548149
PC20,190.9375,0.011465354,0.55961436
PC21,235.3625,0.010548756,0.57016313
PC22,817.825,0.0102649685,0.5804281
PC23,79.0125,0.010079756,0.59050786
PC24,378.175,0.01005092,0.60055876
PC25,509.0625,0.009733698,0.61029243
PC26,1028.9875,0.009698936,0.61999136
PC27,297.15,0.009608374,0.62959975
PC28,673.6,0.009241278,0.63884103
PC29,285.2125,0.009081898,0.64792293
PC30,285.2125,0.008866418,0.65678936
PC31,564.9375,0.008653362,0.6654427
PC32,986.7,0.00820657,0.67364925
PC33,243.1125,0.008023766,0.681673
PC34,185.0,0.007890818,0.6895638
PC35,632.05,0.007405163,0.696969
PC36,627.5875,0.0071396735,0.70410866
PC37,265.0875,0.0068862434,0.7109949
PC38,265.0875,0.006842902,0.7178378
PC39,799.4875,0.005812579,0.7236504
PC40,265.1375,0.005284319,0.7289347
PC41,424.1625,0.005131464,0.7340662
PC42,464.0375,0.005080437,0.73914665
PC43,311.1625,0.0049657533,0.74411243
PC44,311.175,0.0045030187,0.74861544
PC45,880.4625,0.004470777,0.7530862
PC46,339.2,0.004243114,0.75732934
PC47,126.9125,0.00414333,0.7614727
PC48,899.2375,0.0038858517,0.76535857
PC49,126.9125,0.003853223,0.76921177
