PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,255.25,0.4232688,0.4232688
PC1,126.9125,0.13286836,0.55613714
PC2,187.05,0.081865005,0.63800216
PC3,421.25,0.035872936,0.6738751
PC4,281.2625,0.027601874,0.701477
PC5,209.9625,0.01611382,0.7175908
PC6,283.275,0.010299626,0.72789043
PC7,201.05,0.009104654,0.7369951
PC8,283.2875,0.0053850748,0.7423802
PC9,283.2875,0.005167645,0.74754786
PC10,255.2375,0.0041406923,0.75168854
PC11,174.0125,0.0035612436,0.7552498
PC12,209.9625,0.003457753,0.7587075
PC13,256.25,0.0026553362,0.76136285
PC14,325.2,0.0025764105,0.76393926
PC15,325.2,0.0024869526,0.7664262
PC16,339.2125,0.0024694004,0.7688956
PC17,284.2875,0.0022606805,0.7711563
PC18,284.275,0.0021529929,0.7733093
PC19,281.2625,0.0021089886,0.7754183
PC20,339.2125,0.0020955973,0.77751386
PC21,297.175,0.0019638801,0.7794777
PC22,187.0625,0.001901688,0.7813794
PC23,284.275,0.0018833028,0.7832627
PC24,241.2375,0.0018009513,0.7850637
PC25,339.225,0.0017424169,0.7868061
PC26,248.0875,0.0017213868,0.7885275
PC27,187.0625,0.0016926072,0.7902201
PC28,311.175,0.0016662994,0.7918864
PC29,325.1875,0.001651072,0.79353744
PC30,309.1875,0.0015917668,0.7951292
PC31,243.9125,0.0015774558,0.7967066
PC32,256.2625,0.0015651692,0.7982718
PC33,293.1875,0.0015251818,0.79979694
PC34,241.225,0.0015164622,0.8013134
PC35,339.225,0.0014890534,0.80280244
PC36,248.0875,0.0014768576,0.8042793
PC37,325.1875,0.0014618831,0.8057412
PC38,187.0625,0.0014328809,0.8071741
PC39,227.2125,0.0014096826,0.8085838
PC40,313.2,0.0013908684,0.8099747
PC41,293.2,0.00138248,0.81135714
PC42,89.0375,0.0013554684,0.8127126
PC43,309.1875,0.0013528911,0.8140655
PC44,269.2625,0.0013254198,0.81539094
PC45,257.25,0.0013139091,0.81670487
PC46,325.2125,0.0013046368,0.8180095
PC47,256.2625,0.001296558,0.8193061
PC48,241.2375,0.0012851831,0.8205913
PC49,303.25,0.0012727834,0.82186407
PC50,170.8375,0.0012644598,0.8231285
PC51,187.0625,0.0012375725,0.8243661
PC52,325.1875,0.0012353655,0.82560146
PC53,266.1625,0.0012283524,0.8268298
PC54,326.2,0.0012190589,0.8280488
PC55,255.2625,0.0012081722,0.829257
PC56,326.2125,0.0011950573,0.8304521
PC57,89.0375,0.0011859981,0.8316381
PC58,187.0625,0.0011644402,0.83280253
