PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,255.2375,0.24217933,0.24217933
PC1,255.225,0.074608594,0.31678793
PC2,255.2375,0.0196259,0.33641383
PC3,325.1875,0.005437532,0.34185135
PC4,255.2375,0.004505213,0.34635657
PC5,325.1875,0.0041902224,0.3505468
PC6,339.2125,0.0036810439,0.35422784
PC7,255.25,0.003501712,0.35772955
PC8,283.2625,0.003063367,0.36079293
PC9,339.2,0.0030492574,0.3638422
PC10,311.175,0.0028024425,0.36664462
PC11,311.1875,0.0026576843,0.3693023
PC12,146.975,0.0026079812,0.37191027
PC13,325.2,0.0025364738,0.37444675
PC14,283.2875,0.0023225502,0.3767693
PC15,283.2875,0.0021918667,0.37896118
PC16,174.0,0.0019782973,0.38093948
PC17,339.225,0.0018775587,0.38281703
PC18,339.1875,0.0018198928,0.3846369
PC19,146.9875,0.0016999756,0.3863369
PC20,255.2625,0.0016643361,0.38800123
PC21,339.225,0.0016184574,0.38961968
PC22,325.2125,0.0015680072,0.3911877
PC23,146.9625,0.0014745028,0.3926622
PC24,174.0125,0.00143715,0.39409935
PC25,201.0375,0.0014019334,0.3955013
PC26,340.2125,0.0013383767,0.39683965
PC27,340.2125,0.0013218124,0.39816147
PC28,265.1625,0.0012274229,0.39938888
PC29,265.15,0.0012024695,0.40059134
PC30,297.15,0.0011880596,0.4017794
PC31,311.2,0.0011380869,0.4029175
PC32,325.225,0.001110617,0.40402812
PC33,339.2375,0.0010518751,0.40508
PC34,201.05,0.0010241967,0.40610418
PC35,326.2,0.0010064255,0.4071106
PC36,201.05,0.0009857215,0.4080963
PC37,89.025,0.00097273133,0.40906903
PC38,326.2,0.00095400633,0.41002303
PC39,312.175,0.00094492204,0.41096795
PC40,297.1625,0.000930011,0.41189796
PC41,283.3,0.000905984,0.41280395
PC42,248.0875,0.000883098,0.41368705
PC43,265.1375,0.0008714589,0.4145585
PC44,265.1375,0.00084110204,0.4153996
PC45,340.2,0.0008277277,0.41622734
PC46,297.175,0.0008222681,0.41704962
PC47,309.175,0.00080545584,0.41785508
