PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,421.25,0.39501634,0.39501634
PC1,255.25,0.27041915,0.6654355
PC2,126.9125,0.08333436,0.7487699
PC3,126.9125,0.014799022,0.7635689
PC4,421.2625,0.008584888,0.7721538
PC5,227.0125,0.0071121743,0.77926594
PC6,421.2625,0.0060087224,0.7852747
PC7,187.0625,0.0040277494,0.7893024
PC8,255.25,0.0031813122,0.79248375
PC9,265.1625,0.0022941541,0.7947779
PC10,201.05,0.0017297416,0.79650766
PC11,126.925,0.0016179762,0.7981256
PC12,113.0,0.0014651454,0.79959077
PC13,248.1,0.0013476292,0.80093837
PC14,325.2125,0.0011868529,0.8021252
PC15,219.125,0.0011848565,0.8033101
PC16,283.275,0.0011503062,0.8044604
PC17,265.1625,0.0010418283,0.80550224
PC18,255.2625,0.0009971047,0.80649936
PC19,255.2625,0.000925199,0.80742455
PC20,325.2125,0.00091409707,0.80833864
PC21,339.225,0.0008783667,0.80921704
PC22,325.2,0.0008598549,0.8100769
PC23,283.275,0.0008551696,0.81093204
PC24,241.2375,0.000817713,0.81174976
PC25,325.2125,0.00079566124,0.8125454
PC26,297.175,0.00077959057,0.813325
PC27,353.225,0.0007458445,0.8140708
PC28,170.85,0.00071902236,0.81478983
PC29,421.2375,0.00070675474,0.81549656
PC30,201.05,0.00069776067,0.8161943
PC31,241.2375,0.0006793238,0.8168736
PC32,309.2,0.0006747629,0.8175484
PC33,227.2125,0.0006556419,0.81820405
PC34,227.2125,0.00064253673,0.8188466
PC35,422.25,0.0006351287,0.81948173
PC36,311.2,0.0006256955,0.8201074
PC37,293.2,0.0006173115,0.8207247
PC38,293.2,0.0006080564,0.82133275
PC39,339.2125,0.0006047497,0.8219375
PC40,146.975,0.0005941227,0.82253164
PC41,422.2625,0.00058463693,0.8231163
PC42,353.225,0.0005783089,0.8236946
PC43,147.0,0.0005718076,0.8242664
PC44,339.225,0.0005651418,0.82483155
PC45,325.2,0.0005577422,0.82538927
PC46,325.2125,0.00055623404,0.8259455
PC47,311.2,0.00054874696,0.8264942
PC48,293.2,0.00054546795,0.82703966
PC49,256.25,0.0005209773,0.82756066
PC50,96.975,0.0005151675,0.8280758
PC51,421.2375,0.0005092085,0.828585
PC52,297.175,0.000503839,0.82908887
PC53,170.85,0.0004982406,0.8295871
PC54,256.25,0.00049388525,0.830081
PC55,147.0,0.0004903784,0.83057135
PC56,311.2,0.00047896002,0.83105034
PC57,325.2,0.00047547548,0.8315258
PC58,256.25,0.00047136506,0.83199716
PC59,339.2125,0.00046374006,0.8324609
PC60,284.2875,0.00046111573,0.832922
PC61,256.2625,0.00045152995,0.8333735
PC62,147.0,0.00044892135,0.8338224
PC63,255.2375,0.00044671382,0.83426917
PC64,215.05,0.00044588465,0.83471507
PC65,255.2375,0.00044151998,0.83515656
PC66,421.2375,0.00043592043,0.8355925
PC67,422.25,0.00043038928,0.8360229
PC68,96.975,0.00042657423,0.8364495
PC69,146.975,0.0004227605,0.8368723
PC70,256.2625,0.0004181313,0.8372904
PC71,170.85,0.000414791,0.8377052
PC72,269.2625,0.00041200884,0.8381172
PC73,353.225,0.00040807913,0.83852524
PC74,311.2,0.0004069588,0.8389322
