PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,281.2625,0.4545969,0.4545969
PC1,255.2375,0.13906777,0.59366465
PC2,281.2625,0.051998477,0.64566314
PC3,572.5,0.020066468,0.6657296
PC4,281.25,0.01137214,0.67710173
PC5,201.05,0.008693551,0.6857953
PC6,255.25,0.005652252,0.69144756
PC7,187.05,0.003831776,0.69527936
PC8,201.05,0.0029030514,0.6981824
PC9,255.25,0.0023990695,0.7005815
PC10,311.1875,0.0017222529,0.70230377
PC11,146.975,0.001482083,0.70378584
PC12,265.1625,0.0012488441,0.7050347
PC13,174.0125,0.0011999563,0.70623463
PC14,146.975,0.0010546818,0.70728934
PC15,255.2375,0.0009949362,0.70828426
PC16,325.2,0.0009741022,0.7092584
PC17,339.2125,0.00089448754,0.71015286
PC18,283.275,0.0007847459,0.7109376
PC19,255.2375,0.0007414153,0.71167904
PC20,201.0375,0.0006621708,0.7123412
PC21,146.9875,0.00060781284,0.712949
PC22,146.9875,0.0005543984,0.71350336
PC23,311.175,0.00054794986,0.7140513
PC24,311.175,0.00052965526,0.71458095
PC25,147.0,0.000501528,0.71508247
PC26,89.0375,0.00046413703,0.7155466
PC27,309.1875,0.00045585528,0.71600246
PC28,309.1875,0.00044659656,0.7164491
PC29,283.2875,0.00043934508,0.7168884
PC30,147.0,0.0004357207,0.71732414
PC31,293.1875,0.0004141634,0.71773833
PC32,293.1875,0.00039210572,0.7181304
PC33,293.1875,0.0003838163,0.7185142
PC34,241.2375,0.0003742759,0.71888846
PC35,256.25,0.00037112564,0.71925956
PC36,256.25,0.00035314108,0.7196127
PC37,269.2625,0.00035019143,0.7199629
PC38,265.175,0.00034779718,0.7203107
PC39,253.225,0.0003432211,0.7206539
PC40,353.2125,0.000329562,0.72098345
PC41,269.2625,0.00032339507,0.72130686
PC42,265.15,0.0003171248,0.72162396
PC43,89.025,0.00031185203,0.7219358
PC44,241.225,0.0003092149,0.72224504
PC45,326.2,0.00030437476,0.72254944
PC46,327.25,0.00030216068,0.7228516
PC47,265.175,0.00029067192,0.72314227
PC48,326.2,0.00028992217,0.7234322
PC49,293.2,0.0002866021,0.72371876
PC50,128.05,0.0002818838,0.72400063
PC51,148.9875,0.00027889793,0.7242795
PC52,326.2,0.00027247553,0.724552
PC53,281.275,0.0002684309,0.72482044
PC54,297.1625,0.00025882508,0.72507924
PC55,265.15,0.00025364323,0.72533286
PC56,253.2375,0.00024858664,0.72558147
PC57,234.9875,0.00024380701,0.72582525
PC58,340.2125,0.00024208207,0.7260673
PC59,137.05,0.00023722039,0.72630453
PC60,201.0625,0.00023445529,0.726539
PC61,137.05,0.0002326662,0.72677165
PC62,312.1875,0.00022913505,0.7270008
PC63,172.8375,0.00022436185,0.7272251
PC64,337.2125,0.00022249794,0.7274476
PC65,201.0625,0.00021815798,0.7276658
PC66,255.2625,0.00021547689,0.72788125
PC67,337.2125,0.00020960346,0.7280909
PC68,255.2625,0.0002079092,0.7282988
PC69,266.1625,0.00020401772,0.7285028
PC70,340.225,0.0002021202,0.7287049
PC71,337.225,0.00020063751,0.72890556
