PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,126.9125,0.33902118,0.33902118
PC1,421.25,0.23128173,0.5703029
PC2,187.05,0.051063426,0.6213663
PC3,248.975,0.028883353,0.65024966
PC4,187.05,0.02382277,0.67407244
PC5,187.05,0.009378064,0.6834505
PC6,339.2125,0.00761324,0.69106376
PC7,248.975,0.006891068,0.69795483
PC8,209.9625,0.0058542313,0.7038091
PC9,243.9125,0.005431413,0.7092405
PC10,421.2375,0.004590728,0.71383125
PC11,248.975,0.0045746537,0.7184059
PC12,421.2375,0.0044746096,0.7228805
PC13,421.2375,0.0043266006,0.72720706
PC14,265.1625,0.0041417764,0.7313488
PC15,175.0375,0.003994307,0.7353431
PC16,339.2125,0.0037653302,0.73910844
PC17,243.9125,0.0037479121,0.7428564
PC18,283.2875,0.0036270823,0.74648345
PC19,325.2125,0.0035455218,0.75002897
PC20,325.2,0.0035328758,0.75356185
PC21,265.1625,0.0033833028,0.75694513
PC22,201.05,0.0033603057,0.76030546
PC23,265.1625,0.00333377,0.7636392
PC24,187.0625,0.003306182,0.7669454
PC25,146.975,0.0031882809,0.7701337
PC26,112.9875,0.0031097871,0.7732435
PC27,174.0125,0.0030748604,0.7763184
PC28,283.275,0.0030295553,0.77934796
PC29,325.2,0.0029897038,0.78233767
PC30,248.9875,0.0029197538,0.7852574
PC31,283.275,0.002854367,0.78811175
PC32,197.975,0.0028151395,0.7909269
PC33,265.1625,0.002737238,0.7936641
PC34,311.1875,0.0027180035,0.7963821
PC35,112.9875,0.0027026047,0.7990847
PC36,283.275,0.0026566328,0.80174136
PC37,201.05,0.0026364313,0.8043778
PC38,113.0,0.0025756264,0.80695343
PC39,175.0375,0.0025298349,0.8094833
PC40,201.05,0.002463608,0.81194687
PC41,175.0375,0.0024248885,0.81437176
PC42,325.2,0.002392491,0.81676424
PC43,311.1875,0.002331128,0.8190954
PC44,197.975,0.002310096,0.8214055
PC45,265.1625,0.0022995903,0.8237051
PC46,113.0,0.002234835,0.8259399
PC47,201.05,0.0022216963,0.8281616
PC48,384.9625,0.002193536,0.8303551
PC49,175.0375,0.002176593,0.8325317
PC50,325.2,0.0021362023,0.8346679
PC51,248.9625,0.0021216255,0.83678955
PC52,311.175,0.002115944,0.8389055
PC53,161.075,0.0020784887,0.840984
PC54,309.2,0.0020550722,0.84303904
PC55,209.9625,0.002043341,0.8450824
PC56,255.25,0.0020053382,0.84708774
PC57,112.9875,0.0019672741,0.849055
PC58,175.0375,0.0019167456,0.85097176
PC59,170.85,0.0018910138,0.8528628
PC60,325.1875,0.001855744,0.8547185
PC61,245.9125,0.0018248016,0.8565433
PC62,183.0125,0.0018007872,0.8583441
PC63,325.2,0.0017816465,0.8601257
PC64,170.85,0.0017442357,0.86186993
PC65,473.325,0.0016971506,0.86356705
PC66,339.225,0.0016109175,0.865178
PC67,187.0625,0.0015764337,0.8667544
PC68,175.0375,0.0015453398,0.8682997
PC69,325.2,0.0015212478,0.86982095
PC70,175.0375,0.0014709601,0.87129194
PC71,255.25,0.0013281418,0.8726201
PC72,384.95,0.0012533993,0.87387353
PC73,175.0375,0.001180911,0.8750544
PC74,161.075,0.0011481605,0.8762026
PC75,201.05,0.0011165885,0.87731916
PC76,201.05,0.0010758882,0.878395
PC77,172.8375,0.0009879137,0.8793829
