PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,147.0125,0.046412006,0.046412006
PC1,1176.8125,0.046255186,0.09266719
PC2,635.175,0.04593179,0.13859898
PC3,255.2375,0.043721575,0.18232055
PC4,968.275,0.033750087,0.21607064
PC5,632.375,0.033205517,0.24927616
PC6,313.2125,0.03163792,0.28091407
PC7,221.0125,0.030562451,0.31147653
PC8,100.575,0.024151515,0.33562803
PC9,241.0875,0.023057971,0.358686
PC10,340.2125,0.022705028,0.38139102
PC11,764.3,0.021986019,0.40337703
PC12,860.8875,0.021047924,0.42442495
PC13,1079.0,0.020469492,0.44489443
PC14,373.0625,0.020065475,0.46495992
PC15,899.5375,0.019375067,0.48433498
PC16,989.7625,0.018855745,0.5031907
PC17,712.0375,0.018541569,0.5217323
PC18,817.7,0.018294249,0.54002655
PC19,209.1625,0.01653959,0.5565661
PC20,911.425,0.016257476,0.5728236
PC21,202.125,0.014897982,0.5877216
PC22,355.05,0.014358229,0.6020798
PC23,207.025,0.0141888205,0.61626863
PC24,491.8875,0.013967135,0.6302358
PC25,562.125,0.0131767895,0.6434126
PC26,562.125,0.012696068,0.6561087
PC27,297.175,0.01251433,0.66862303
PC28,560.3,0.0117466925,0.68036973
PC29,311.2125,0.011602088,0.69197184
PC30,386.375,0.011378643,0.7033505
PC31,1037.0625,0.0108587565,0.71420926
PC32,585.125,0.010670009,0.72487926
PC33,597.275,0.010214686,0.73509395
PC34,339.2375,0.010117454,0.7452114
PC35,770.1625,0.009644932,0.75485635
PC36,905.9625,0.009522323,0.76437867
PC37,776.2125,0.00949678,0.7738755
PC38,412.9625,0.009116776,0.78299224
PC39,766.125,0.008501712,0.79149395
PC40,334.025,0.008321241,0.7998152
PC41,1020.55,0.008186599,0.80800176
PC42,799.7875,0.007812811,0.81581455
PC43,477.2125,0.007693397,0.82350796
PC44,325.2,0.0073487116,0.8308567
PC45,155.15,0.007067753,0.8379244
PC46,143.0875,0.0069512357,0.84487563
PC47,143.0875,0.006738218,0.8516139
PC48,284.275,0.006556355,0.8581702
PC49,458.2625,0.0060987985,0.864269
PC50,230.45,0.0055813766,0.8698504
PC51,56.3,0.005544378,0.87539476
PC52,153.875,0.0051878686,0.88058263
PC53,349.9875,0.0051570856,0.88573974
PC54,928.1,0.0050359927,0.89077574
PC55,309.2,0.0048679146,0.89564365
PC56,264.9875,0.0045616273,0.90020525
PC57,144.9375,0.0045062387,0.9047115
PC58,907.225,0.0042658434,0.9089773
PC59,907.225,0.004196548,0.91317385
PC60,1035.3,0.0041458914,0.9173198
PC61,1083.3375,0.0034211995,0.92074096
PC62,777.65,0.0027646022,0.92350554
PC63,469.275,0.002664747,0.9261703
PC64,1195.9625,0.0024957205,0.928666
PC65,146.975,0.0023375864,0.9310036
PC66,622.8,0.0022474593,0.933251
PC67,1071.05,0.002045251,0.9352963
PC68,146.975,0.0019118993,0.9372082
PC69,1033.8875,0.0018328291,0.939041
PC70,241.225,0.0015933231,0.94063437
PC71,540.8125,0.0014124316,0.9420468
