PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,255.25,0.31686476,0.31686476
PC1,421.25,0.300139,0.6170038
PC2,265.1625,0.064997695,0.6820015
PC3,126.9125,0.043929357,0.7259308
PC4,283.2875,0.012165887,0.7380967
PC5,187.0625,0.009344731,0.7474415
PC6,666.1,0.006428138,0.7538696
PC7,666.1,0.0059493035,0.7598189
PC8,265.175,0.005304296,0.7651232
PC9,421.2625,0.0040982454,0.7692214
PC10,265.1625,0.0031806608,0.7724021
PC11,113.0,0.0024831332,0.77488524
PC12,283.275,0.0020789818,0.77696425
PC13,113.0,0.0016974187,0.77866167
PC14,146.975,0.0014694665,0.78013116
PC15,221.1,0.0014326418,0.7815638
PC16,221.1,0.0014201404,0.78298396
PC17,221.1,0.0013538431,0.7843378
PC18,255.2625,0.001232613,0.78557044
PC19,255.2625,0.0011557321,0.7867262
PC20,241.2375,0.0011305955,0.78785676
PC21,146.975,0.001069477,0.78892624
PC22,219.125,0.0010618608,0.7899881
PC23,146.975,0.0009965076,0.79098463
PC24,241.2375,0.0009615349,0.7919462
PC25,248.1,0.0009502197,0.7928964
PC26,241.2375,0.000931524,0.7938279
PC27,325.2,0.0009272016,0.7947551
PC28,339.225,0.0009042278,0.7956593
PC29,201.05,0.00085379573,0.7965131
PC30,241.2375,0.0008306762,0.79734373
PC31,309.2,0.0008226049,0.79816633
PC32,311.2,0.00081833836,0.79898465
PC33,201.05,0.0007930481,0.7997777
PC34,297.175,0.0007904365,0.8005681
PC35,248.1,0.0007809972,0.8013491
PC36,174.0125,0.0007746307,0.8021237
PC37,256.2625,0.0007616808,0.8028854
PC38,128.05,0.00076006824,0.8036455
PC39,339.2125,0.0007510242,0.8043965
PC40,297.175,0.0007432839,0.8051398
PC41,96.975,0.00072874717,0.8058685
PC42,421.2375,0.0007236147,0.8065921
PC43,353.225,0.00071400055,0.8073061
PC44,297.175,0.0007092827,0.8080154
PC45,421.2375,0.00070070557,0.8087161
PC46,339.2125,0.0006971786,0.8094133
PC47,256.2625,0.0006951714,0.8101085
PC48,284.2875,0.00068410207,0.81079257
PC49,256.25,0.00067983154,0.8114724
PC50,311.2,0.0006744249,0.81214684
PC51,297.175,0.0006710459,0.8128179
PC52,353.225,0.0006656186,0.8134835
PC53,293.2,0.0006538248,0.8141373
PC54,284.2875,0.0006498168,0.8147871
PC55,309.2,0.0006487188,0.8154358
PC56,128.05,0.0006423625,0.8160782
PC57,219.125,0.00063413574,0.8167123
PC58,293.2,0.00062916515,0.8173415
PC59,339.225,0.0006263286,0.81796783
PC60,421.275,0.0006203996,0.81858826
PC61,253.2375,0.00061875675,0.819207
PC62,256.25,0.0006135477,0.8198206
PC63,126.925,0.0006100487,0.82043064
PC64,339.225,0.0006077872,0.8210384
PC65,256.2625,0.0006052508,0.82164365
PC66,309.1875,0.0006008298,0.82224447
PC67,422.2625,0.0005955103,0.82284
PC68,128.05,0.0005904649,0.8234304
PC69,255.2375,0.00058656593,0.824017
PC70,241.2375,0.00058419403,0.8246012
PC71,339.2375,0.0005817835,0.825183
PC72,126.925,0.0005762136,0.8257592
PC73,421.2375,0.0005728636,0.82633203
PC74,293.2,0.0005647147,0.8268967
PC75,284.2875,0.000562105,0.82745886
PC76,219.125,0.0005570897,0.8280159
PC77,126.925,0.00055394275,0.8285699
PC78,353.225,0.00054942234,0.8291193
PC79,281.2625,0.000548428,0.82966775
PC80,284.2875,0.00054679636,0.83021456
PC81,421.275,0.0005402761,0.8307548
PC82,89.0375,0.0005387357,0.8312935
PC83,256.25,0.0005353989,0.83182895
PC84,340.225,0.00052677334,0.83235574
PC85,126.925,0.0005262559,0.832882
PC86,312.2,0.0005254123,0.8334074
PC87,227.2125,0.0005210288,0.8339284
PC88,146.9875,0.00051711226,0.83444554
PC89,256.25,0.0005155577,0.8349611
PC90,256.2625,0.0005143164,0.83547544
PC91,170.85,0.0005090286,0.83598447
PC92,256.2625,0.0005072642,0.8364917
PC93,422.25,0.00050441554,0.83699614
PC94,421.275,0.00050152955,0.83749765
PC95,422.25,0.0004986101,0.83799624
PC96,284.2875,0.0004936387,0.8384899
PC97,284.2875,0.0004925378,0.8389824
PC98,293.1875,0.00049056567,0.83947295
PC99,227.2125,0.0004898973,0.83996284
PC100,255.2375,0.00048639256,0.8404492
PC101,422.25,0.00048399836,0.8409332
PC102,284.2875,0.000482718,0.84141594
PC103,126.925,0.00048144904,0.84189737
PC104,279.1875,0.00047769543,0.84237504
PC105,325.2,0.00047516378,0.8428502
PC106,421.275,0.00047256576,0.84332275
PC107,309.1875,0.00046812027,0.8437909
PC108,422.25,0.00046624502,0.8442571
PC109,309.1875,0.00046479746,0.8447219
PC110,279.1875,0.00046024466,0.8451822
PC111,519.1875,0.00045970074,0.84564185
PC112,340.225,0.0004570903,0.84609896
PC113,137.05,0.00045354935,0.8465525
PC114,309.1875,0.00045061397,0.8470031
PC115,256.2625,0.00044822053,0.8474513
PC116,293.1875,0.00044691275,0.84789824
PC117,422.2625,0.00044281525,0.84834105
PC118,283.3,0.00044156035,0.8487826
PC119,1003.425,0.0004404353,0.849223
PC120,421.275,0.00043783223,0.8496609
PC121,309.1875,0.0004361425,0.850097
PC122,421.275,0.00043479717,0.8505318
PC123,311.2,0.00043094892,0.85096276
PC124,172.8375,0.000430809,0.8513936
PC125,279.1875,0.00042976276,0.85182333
PC126,309.1875,0.00042587324,0.8522492
PC127,227.2125,0.0004238211,0.85267305
PC128,421.275,0.0004224077,0.8530955
PC129,227.225,0.00041953276,0.853515
PC130,168.85,0.00041913358,0.85393417
PC131,279.1875,0.0004180298,0.8543522
PC132,256.2625,0.000415853,0.85476804
PC133,311.2,0.00041344366,0.85518146
PC134,255.2375,0.0004131762,0.85559464
PC135,173.1,0.00040915693,0.8560038
PC136,269.2625,0.0004071991,0.85641104
PC137,256.25,0.00040545146,0.8568165
PC138,94.9875,0.00040447383,0.85722095
PC139,281.2625,0.00040329422,0.85762423
PC140,269.2625,0.00040248263,0.85802674
PC141,145.0625,0.00039833414,0.8584251
PC142,255.2375,0.00039743603,0.8588225
PC143,293.2,0.00039577376,0.8592183
PC144,284.2875,0.00039562338,0.8596139
PC145,421.275,0.000392665,0.8600066
PC146,137.05,0.00039198546,0.86039853
PC147,421.2375,0.0003906337,0.8607892
PC148,126.925,0.00038861771,0.8611778
PC149,256.25,0.00038715845,0.86156493
PC150,147.0,0.00038485666,0.8619498
PC151,293.2,0.0003837337,0.86233354
PC152,215.05,0.00038226225,0.8627158
PC153,337.225,0.00037904325,0.8630948
PC154,187.1125,0.00037870268,0.86347353
PC155,311.2,0.0003769301,0.8638505
PC156,89.0375,0.0003752944,0.86422575
PC157,137.05,0.00037363425,0.8645994
PC158,284.2875,0.00037289519,0.8649723
PC159,421.275,0.00037006722,0.8653424
PC160,422.2625,0.0003684474,0.86571085
PC161,256.25,0.00036824966,0.8660791
PC162,269.2625,0.0003665571,0.86644566
PC163,256.2625,0.00036507534,0.86681074
PC164,422.25,0.0003626265,0.8671734
PC165,227.225,0.0003620037,0.86753535
PC166,311.175,0.0003615177,0.86789685
PC167,256.25,0.00035838629,0.86825526
PC168,174.025,0.00035517817,0.86861044
