PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,255.25,0.5589582,0.5589582
PC1,283.2875,0.11660908,0.67556727
PC2,303.25,0.0439136,0.7194809
PC3,255.2625,0.020679317,0.74016017
PC4,265.175,0.009930347,0.75009054
PC5,600.55,0.0054995166,0.7555901
PC6,281.275,0.0033953981,0.75898546
PC7,201.05,0.0021095728,0.76109505
PC8,281.275,0.0019035165,0.7629986
PC9,265.175,0.001843456,0.76484203
PC10,283.2875,0.001680118,0.76652217
PC11,413.275,0.0012026231,0.7677248
PC12,255.25,0.0011283978,0.7688532
PC13,255.2625,0.0009788044,0.769832
PC14,255.2625,0.00092905347,0.7707611
PC15,413.275,0.00080203085,0.7715631
PC16,311.1875,0.0007118957,0.77227503
PC17,325.2125,0.00069523696,0.77297026
PC18,146.9875,0.00067480834,0.77364504
PC19,339.225,0.0006312663,0.7742763
PC20,147.0,0.00057537877,0.7748517
PC21,309.2,0.000536046,0.7753877
PC22,241.2375,0.0005233674,0.7759111
PC23,309.2,0.00049776526,0.77640885
PC24,201.0625,0.00047878947,0.77688766
PC25,201.0625,0.0004763533,0.777364
PC26,265.1625,0.00047126357,0.77783525
PC27,325.2,0.00043937156,0.7782746
PC28,293.2,0.00042164358,0.77869624
PC29,174.0125,0.00040900626,0.77910525
PC30,174.0125,0.0003978998,0.77950317
PC31,201.0625,0.0003872311,0.7798904
PC32,353.225,0.00037267015,0.78026307
PC33,256.2625,0.00035953225,0.7806226
PC34,325.2,0.00035506525,0.78097767
PC35,253.2375,0.00034655817,0.7813242
PC36,293.2,0.0003392143,0.7816634
PC37,339.2375,0.00032924165,0.7819927
PC38,297.175,0.00032273354,0.78231543
PC39,227.225,0.00030782822,0.7826233
PC40,227.225,0.00030178326,0.78292507
PC41,325.225,0.00029045236,0.7832155
PC42,293.2125,0.00028819483,0.7835037
PC43,283.275,0.00028426104,0.78378797
PC44,293.2125,0.0002716805,0.78405964
PC45,325.225,0.0002693192,0.78432894
PC46,128.05,0.00026495405,0.7845939
PC47,235.0,0.00025937892,0.7848533
PC48,146.975,0.0002520557,0.78510535
PC49,269.275,0.00024689594,0.78535223
PC50,269.2625,0.00024299228,0.78559524
PC51,281.2625,0.00023837543,0.7858336
PC52,187.1125,0.00023787415,0.7860715
PC53,281.2625,0.00023398647,0.7863055
PC54,339.2125,0.0002300137,0.7865355
PC55,283.3,0.00022639292,0.7867619
PC56,312.2,0.00022335335,0.7869852
PC57,326.2125,0.00022131077,0.78720653
PC58,168.85,0.0002165886,0.78742313
PC59,227.2125,0.00021609956,0.78763926
PC60,256.25,0.0002128488,0.7878521
PC61,397.2625,0.000211769,0.7880639
PC62,256.25,0.00021115589,0.78827506
PC63,367.3875,0.00020736962,0.7884824
PC64,377.1125,0.0002034294,0.78868586
PC65,215.05,0.00020233856,0.7888882
PC66,241.25,0.00019982502,0.7890881
PC67,266.175,0.0001967364,0.7892848
PC68,337.2375,0.00019571693,0.78948057
PC69,337.2375,0.00019410386,0.7896747
PC70,284.2875,0.00019297445,0.7898677
PC71,340.2375,0.00019230449,0.79006
PC72,266.175,0.00019182712,0.7902518
PC73,377.1125,0.00019057836,0.79044235
PC74,149.0,0.0001876726,0.79063004
PC75,353.2375,0.00018624832,0.7908163
PC76,337.225,0.00018487952,0.7910012
PC77,353.2375,0.00018215964,0.79118335
PC78,149.0,0.00018115329,0.7913645
PC79,340.225,0.00018014348,0.7915446
PC80,309.1875,0.00017716277,0.79172176
PC81,209.9625,0.00017608804,0.79189783
PC82,340.2375,0.00017378353,0.79207164
PC83,119.9625,0.00017191161,0.79224354
PC84,215.05,0.00017046451,0.792414
PC85,284.3,0.00016932137,0.79258335
PC86,381.2625,0.00016903052,0.7927524
PC87,282.275,0.00016757169,0.79291993
PC88,145.0625,0.00016660638,0.7930865
PC89,282.275,0.00016516088,0.7932517
PC90,183.025,0.00016400535,0.7934157
PC91,234.9875,0.00016336775,0.7935791
PC92,148.9875,0.00016219004,0.7937413
PC93,381.2625,0.00016202698,0.7939033
