PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,126.9125,0.35089335,0.35089335
PC1,126.9125,0.20601572,0.5569091
PC2,265.1625,0.08830148,0.64521056
PC3,146.975,0.051799584,0.69701016
PC4,146.975,0.034021787,0.73103195
PC5,146.975,0.03218224,0.7632142
PC6,255.25,0.024880033,0.7880942
PC7,311.175,0.023669358,0.8117636
PC8,94.9375,0.017260173,0.8290238
PC9,755.4,0.015785988,0.8448098
PC10,340.2125,0.012568186,0.85737795
PC11,146.975,0.009423552,0.8668015
PC12,187.05,0.009080953,0.87588245
PC13,187.05,0.0052875504,0.88117
PC14,121.3,0.005110563,0.88628054
PC15,571.2375,0.004994783,0.89127535
PC16,112.9875,0.0045618755,0.89583725
PC17,421.25,0.0040244153,0.89986163
PC18,421.25,0.0034353281,0.90329695
PC19,298.175,0.0027621104,0.9060591
PC20,219.1125,0.0021277843,0.90818685
PC21,283.275,0.0016412229,0.90982807
PC22,360.725,0.0015731703,0.9114012
PC23,297.175,0.0014113792,0.9128126
PC24,297.175,0.0011765365,0.9139891
PC25,161.075,0.0009789703,0.9149681
PC26,161.075,0.0008179986,0.9157861
PC27,172.8375,0.00075184065,0.91653794
PC28,170.8375,0.0007209972,0.9172589
PC29,281.2625,0.0005924795,0.9178514
PC30,174.0125,0.0005606469,0.918412
PC31,161.075,0.0005466724,0.9189587
PC32,161.075,0.0004674464,0.91942614
PC33,339.2125,0.00042603794,0.9198522
PC34,325.2,0.00039031982,0.9202425
PC35,339.225,0.00036783214,0.9206103
PC36,283.275,0.00034140729,0.9209517
PC37,265.175,0.00032896906,0.9212807
PC38,137.05,0.00029745253,0.9215781
PC39,255.25,0.00028855368,0.92186666
PC40,339.225,0.00026214877,0.9221288
PC41,309.1875,0.00025861562,0.9223874
PC42,309.1875,0.00024945167,0.92263687
PC43,311.175,0.00024626468,0.92288315
PC44,325.2125,0.0002390795,0.9231222
PC45,325.2125,0.00023252766,0.92335474
PC46,309.1875,0.00022996157,0.9235847
PC47,309.2,0.00022851299,0.9238132
PC48,293.1875,0.00021836445,0.9240316
PC49,325.2125,0.00021538133,0.92424697
PC50,137.05,0.00021394764,0.9244609
PC51,255.2375,0.00021181969,0.9246727
PC52,339.225,0.00021123119,0.92488396
PC53,201.05,0.00020764355,0.9250916
PC54,266.1625,0.00020614579,0.9252978
PC55,309.1875,0.00019943021,0.92549723
PC56,325.2125,0.00019795254,0.9256952
PC57,293.2,0.00019612322,0.9258913
PC58,325.2125,0.00019454256,0.9260858
PC59,187.0625,0.00018862107,0.9262745
PC60,293.1875,0.0001853515,0.92645985
PC61,666.0875,0.00017891404,0.9266388
PC62,293.2,0.00017689005,0.9268157
PC63,325.1875,0.00017291715,0.9269886
PC64,255.2375,0.00016939788,0.927158
PC65,293.2,0.00016608894,0.9273241
PC66,89.0375,0.00016413837,0.92748827
PC67,266.1625,0.00016345091,0.9276517
PC68,293.1875,0.0001593903,0.9278111
PC69,241.2375,0.00015894785,0.92797005
PC70,325.2125,0.00015713286,0.92812717
PC71,269.2625,0.00015438067,0.92828155
PC72,265.175,0.00015227965,0.92843384
PC73,309.2,0.00015080781,0.92858464
PC74,146.9875,0.0001484981,0.9287331
PC75,248.975,0.00014736279,0.92888045
PC76,309.1875,0.00014329147,0.92902374
PC77,248.975,0.00013987404,0.92916363
PC78,293.2,0.00013818919,0.9293018
PC79,309.2,0.00013492408,0.92943674
PC80,183.0125,0.00013329476,0.92957
PC81,311.175,0.00013209197,0.9297021
PC82,255.2375,0.00012841827,0.92983055
PC83,311.175,0.00012668657,0.9299572
PC84,325.1875,0.00012466559,0.9300819
PC85,255.2375,0.00012276921,0.9302047
PC86,326.2,0.00012248672,0.9303272
PC87,146.9875,0.00012003674,0.9304472
PC88,146.9875,0.00011828688,0.93056554
PC89,353.225,0.00011712638,0.93068266
PC90,325.1875,0.00011521498,0.9307979
PC91,201.05,0.00011419993,0.9309121
PC92,293.2,0.00011276368,0.93102485
PC93,353.225,0.00011200357,0.93113685
PC94,309.2,0.00011096399,0.93124783
PC95,309.2,0.00010892763,0.9313568
PC96,303.25,0.00010769997,0.9314645
PC97,146.9875,0.00010648572,0.931571
PC98,112.9875,0.00010570088,0.9316767
PC99,309.2,0.000104192666,0.9317809
PC100,187.0625,0.00010322625,0.9318841
PC101,281.2625,0.00010205682,0.93198615
PC102,326.2,0.000101087535,0.93208724
PC103,326.2,9.887357e-05,0.9321861
PC104,183.0125,9.8656776e-05,0.9322848
PC105,112.9875,9.828479e-05,0.93238306
PC106,353.2125,9.668362e-05,0.93247974
PC107,172.8375,9.562828e-05,0.93257535
PC108,297.1625,9.52621e-05,0.9326706
PC109,241.2375,9.467067e-05,0.93276525
PC110,353.225,9.2940645e-05,0.93285817
PC111,326.2,9.1966496e-05,0.93295014
PC112,112.9875,9.0943206e-05,0.9330411
PC113,183.0125,9.0410125e-05,0.9331315
PC114,297.1625,8.962593e-05,0.93322116
PC115,340.225,8.842866e-05,0.9333096
PC116,266.1625,8.7599634e-05,0.93339723
PC117,253.225,8.688777e-05,0.93348414
PC118,241.2375,8.62249e-05,0.9335704
PC119,227.2125,8.5158325e-05,0.93365556
PC120,187.1125,8.4517225e-05,0.9337401
PC121,147.0,8.409276e-05,0.9338242
PC122,266.1625,8.357571e-05,0.93390775
PC123,174.8375,8.310036e-05,0.93399084
PC124,269.2625,8.2085724e-05,0.9340729
PC125,266.1625,8.1341335e-05,0.9341543
PC126,337.225,8.097981e-05,0.9342353
PC127,227.2125,8.067084e-05,0.9343159
PC128,353.225,8.0070815e-05,0.93439597
PC129,297.1625,7.968591e-05,0.93447566
PC130,168.85,7.817058e-05,0.9345538
PC131,353.225,7.809641e-05,0.9346319
PC132,170.85,7.742444e-05,0.9347093
PC133,256.25,7.6913e-05,0.9347862
PC134,269.2625,7.6066455e-05,0.93486226
PC135,312.1875,7.567973e-05,0.93493795
PC136,227.2125,7.481562e-05,0.93501276
PC137,337.225,7.436554e-05,0.93508714
PC138,265.15,7.393707e-05,0.93516105
PC139,337.225,7.323589e-05,0.9352343
PC140,147.0,7.27705e-05,0.9353071
PC141,241.225,7.23284e-05,0.9353794
PC142,297.1625,7.199956e-05,0.9354514
PC143,266.1625,7.160291e-05,0.935523
PC144,227.2125,7.1120616e-05,0.9355941
PC145,353.225,7.055973e-05,0.93566465
PC146,174.05,7.0199945e-05,0.93573487
PC147,340.2125,7.008963e-05,0.93580496
PC148,340.225,6.939104e-05,0.93587434
PC149,241.225,6.925929e-05,0.9359436
PC150,253.2375,6.82466e-05,0.93601185
PC151,267.25,6.777089e-05,0.9360796
PC152,170.8375,6.755927e-05,0.93614715
PC153,183.025,6.731234e-05,0.93621445
PC154,137.0375,6.686466e-05,0.9362813
PC155,227.2125,6.680647e-05,0.93634814
PC156,170.85,6.6535446e-05,0.93641466
PC157,183.0125,6.584542e-05,0.9364805
PC158,138.025,6.559374e-05,0.9365461
PC159,255.2625,6.5485976e-05,0.9366116
PC160,337.2125,6.4992135e-05,0.93667656
PC161,253.2375,6.4869055e-05,0.9367414
PC162,187.1125,6.4454805e-05,0.93680584
PC163,169.0,6.407195e-05,0.9368699
PC164,89.0375,6.376265e-05,0.9369337
PC165,126.925,6.3304804e-05,0.936997
PC166,337.2125,6.269813e-05,0.9370597
PC167,337.225,6.229721e-05,0.937122
PC168,241.225,6.198996e-05,0.937184
PC169,253.2375,6.16056e-05,0.9372456
PC170,253.225,6.145245e-05,0.93730706
PC171,311.2,6.126137e-05,0.93736833
PC172,337.225,6.084162e-05,0.9374292
PC173,311.2,6.0295446e-05,0.9374895
PC174,340.225,6.0188457e-05,0.9375497
PC175,147.0,5.9854123e-05,0.93760955
PC176,397.25,5.9722417e-05,0.9376693
PC177,340.2125,5.9270496e-05,0.9377285
PC178,353.2125,5.9268157e-05,0.9377878
PC179,340.225,5.9117676e-05,0.9378469
PC180,337.225,5.8715854e-05,0.9379056
PC181,241.225,5.8433474e-05,0.937964
PC182,340.2125,5.8120124e-05,0.93802214
PC183,353.225,5.7718877e-05,0.93807983
PC184,241.225,5.7620546e-05,0.9381375
PC185,89.0375,5.7234538e-05,0.9381947
PC186,340.2125,5.669565e-05,0.9382514
PC187,160.075,5.6691348e-05,0.93830806
PC188,326.2125,5.6525558e-05,0.93836457
PC189,281.275,5.6208683e-05,0.9384208
PC190,89.0375,5.6081706e-05,0.93847686
PC191,267.25,5.5888067e-05,0.93853277
PC192,168.8375,5.5240333e-05,0.938588
