PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,1095.1625,0.03234306,0.03234306
PC1,896.0125,0.030213553,0.06255661
PC2,255.2375,0.029211098,0.091767706
PC3,146.9875,0.026765833,0.11853354
PC4,570.775,0.026128488,0.14466202
PC5,570.775,0.025501326,0.17016335
PC6,1050.875,0.02388936,0.19405271
PC7,145.275,0.022621376,0.21667409
PC8,145.275,0.022087906,0.23876199
PC9,993.0,0.021001887,0.25976387
PC10,757.225,0.020914294,0.28067815
PC11,504.125,0.020756459,0.3014346
PC12,345.8375,0.02050382,0.32193843
PC13,378.1625,0.018607536,0.34054595
PC14,564.15,0.018111482,0.35865742
PC15,571.075,0.017763598,0.376421
PC16,1114.925,0.01764844,0.39406943
PC17,575.6625,0.017461922,0.41153136
PC18,284.275,0.017362842,0.4288942
PC19,368.9875,0.017197136,0.44609132
PC20,648.9875,0.016706845,0.46279818
PC21,907.05,0.016402105,0.47920027
PC22,78.125,0.016040107,0.4952404
PC23,78.125,0.015773667,0.51101404
PC24,984.575,0.0154342465,0.5264483
PC25,139.5125,0.015265628,0.54171395
PC26,331.125,0.014881944,0.5565959
PC27,1024.6625,0.014738252,0.5713342
PC28,726.8625,0.014661454,0.5859956
PC29,64.7375,0.014320492,0.6003161
PC30,57.475,0.013882594,0.6141987
PC31,57.475,0.013472123,0.6276708
PC32,77.5625,0.013066376,0.6407372
PC33,649.0875,0.012364047,0.6531012
PC34,129.55,0.012187784,0.665289
PC35,477.1,0.011810851,0.6770998
PC36,897.4875,0.011763621,0.68886346
PC37,542.05,0.011472571,0.70033604
PC38,129.55,0.011268625,0.71160465
PC39,1083.45,0.011155537,0.7227602
PC40,1083.45,0.010833507,0.7335937
PC41,201.05,0.010410917,0.7440046
PC42,337.2,0.009804116,0.75380874
PC43,649.7375,0.009682722,0.76349145
PC44,661.5375,0.009326258,0.77281773
PC45,69.875,0.009198296,0.78201604
PC46,70.775,0.009079678,0.79109573
PC47,613.3875,0.008685604,0.7997813
PC48,283.2625,0.00853186,0.8083132
PC49,239.075,0.008197153,0.8165103
PC50,395.4,0.007849301,0.8243596
PC51,339.2,0.006885056,0.83124465
PC52,1081.0,0.006792857,0.8380375
PC53,54.175,0.006734169,0.8447717
PC54,257.1625,0.0060645835,0.8508363
PC55,339.2,0.0057840096,0.8566203
PC56,325.175,0.005166808,0.86178714
PC57,1082.025,0.004832489,0.86661965
PC58,774.825,0.0046417983,0.8712614
PC59,416.1375,0.0040811477,0.87534255
PC60,93.3875,0.0039674216,0.87930995
PC61,959.9125,0.0038625882,0.8831725
PC62,88.35,0.0036269228,0.88679945
PC63,859.65,0.0034104655,0.8902099
PC64,422.175,0.0033616885,0.8935716
PC65,219.0375,0.003327716,0.89689934
PC66,88.9875,0.0028522103,0.89975154
PC67,146.975,0.002679513,0.9024311
PC68,146.975,0.0026040643,0.90503514
PC69,325.2,0.0024602956,0.90749544
PC70,202.85,0.0022725977,0.90976804
PC71,533.45,0.0019236968,0.9116917
PC72,876.975,0.0018116694,0.9135034
PC73,202.95,0.0015675707,0.91507095
PC74,255.2375,0.0014774246,0.9165484
PC75,283.275,0.0012117256,0.9177601
PC76,255.25,0.00084609084,0.91860616
PC77,325.1875,0.0008409747,0.9194471
PC78,265.1625,0.0007860771,0.9202332
PC79,283.275,0.00077578827,0.921009
PC80,202.9375,0.0007523656,0.9217614
PC81,325.1875,0.0007447241,0.9225061
PC82,265.1625,0.00071480405,0.9232209
PC83,311.175,0.00068534375,0.9239062
PC84,339.225,0.0006619629,0.9245682
PC85,311.1625,0.0006347587,0.9252029
PC86,325.2125,0.00061184005,0.92581475
