PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,997.95,0.09007402,0.09007402
PC1,146.975,0.056184445,0.14625846
PC2,542.85,0.039820544,0.186079
PC3,1190.2125,0.034453582,0.22053258
PC4,234.575,0.031149685,0.25168228
PC5,146.9625,0.028026767,0.27970904
PC6,85.7875,0.026684796,0.30639383
PC7,341.5875,0.019188683,0.3255825
PC8,438.8875,0.01846684,0.34404933
PC9,146.9625,0.017269224,0.36131856
PC10,798.525,0.014739803,0.37605837
PC11,297.175,0.013641417,0.3896998
PC12,1134.575,0.013459673,0.40315947
PC13,629.6375,0.012595588,0.41575506
PC14,392.0,0.012018919,0.42777398
PC15,266.1625,0.011805867,0.43957984
PC16,334.1375,0.011709203,0.45128906
PC17,146.975,0.011156717,0.46244577
PC18,146.9625,0.0097775785,0.47222334
PC19,458.8,0.0095692,0.48179254
PC20,1004.6375,0.00916299,0.49095553
PC21,1056.275,0.00891043,0.49986595
PC22,311.175,0.008543772,0.50840974
PC23,61.5875,0.008272068,0.5166818
PC24,311.175,0.008184096,0.52486587
PC25,1021.2625,0.008080154,0.532946
PC26,1054.6375,0.007887417,0.5408334
PC27,248.6,0.007599163,0.5484326
PC28,339.1875,0.0071742665,0.55560684
PC29,179.05,0.0068890806,0.56249595
PC30,149.0625,0.0066441135,0.5691401
PC31,421.2375,0.0064851707,0.57562524
PC32,149.0625,0.0063410173,0.5819663
PC33,147.0375,0.006040682,0.588007
PC34,147.0375,0.0058932067,0.5939002
PC35,339.1875,0.005828372,0.5997286
PC36,846.9625,0.0056975395,0.60542613
PC37,73.1875,0.00548128,0.61090744
PC38,172.6625,0.0053359615,0.6162434
PC39,1074.4875,0.0051807067,0.62142414
PC40,258.9875,0.005155967,0.6265801
PC41,325.1875,0.005074951,0.6316551
PC42,928.0,0.0049647517,0.63661987
PC43,1074.4875,0.004883084,0.641503
PC44,265.1375,0.004661449,0.6461644
PC45,1143.075,0.0046055233,0.65076995
PC46,147.0375,0.0044835503,0.65525347
PC47,258.025,0.0043639108,0.65961736
PC48,339.2,0.0042680446,0.6638854
PC49,112.9875,0.0040412326,0.66792667
PC50,501.9625,0.0039856634,0.6719123
PC51,838.3125,0.0038988723,0.6758112
PC52,421.225,0.0038446675,0.67965585
PC53,340.0125,0.0037755684,0.68343145
PC54,881.2375,0.0037300035,0.68716145
PC55,1135.65,0.0036605285,0.69082195
PC56,1135.65,0.0035835952,0.69440556
PC57,325.1875,0.0035152845,0.69792086
PC58,116.725,0.0034896305,0.7014105
PC59,89.2,0.0034554922,0.704866
PC60,128.1125,0.003340099,0.7082061
PC61,128.1125,0.0032727444,0.7114789
PC62,297.15,0.0032372708,0.71471614
PC63,340.2125,0.0032087895,0.71792495
PC64,116.725,0.0031862683,0.72111124
PC65,266.1375,0.0030971398,0.72420835
PC66,266.1375,0.0030540663,0.72726244
PC67,253.35,0.0030130448,0.7302755
PC68,421.2375,0.0029951562,0.73327065
PC69,311.1625,0.00286756,0.7361382
PC70,311.1875,0.002805317,0.7389435
PC71,856.5125,0.002776195,0.7417197
PC72,573.0625,0.002698477,0.7444182
PC73,311.1625,0.0026120425,0.74703026
PC74,311.1625,0.002605298,0.7496356
PC75,612.975,0.0025501742,0.75218576
PC76,80.4,0.0025051069,0.7546909
PC77,769.6,0.0024827705,0.75717366
PC78,265.15,0.0024414952,0.7596151
PC79,796.8875,0.002405947,0.76202106
PC80,187.0375,0.0023214535,0.76434255
PC81,326.2,0.0023139317,0.76665646
PC82,563.45,0.0022253643,0.7688818
PC83,146.9875,0.0021822066,0.771064
PC84,146.9875,0.00216116,0.7732251
PC85,146.9875,0.0021161917,0.77534133
PC86,187.05,0.0020604227,0.77740175
PC87,265.15,0.0020214086,0.7794232
PC88,187.05,0.0019714057,0.7813946
PC89,747.0125,0.001950973,0.7833456
PC90,89.025,0.0019094466,0.785255
PC91,958.025,0.0018837329,0.78713876
PC92,339.2125,0.0018287075,0.7889675
PC93,278.025,0.0017872845,0.7907548
PC94,265.1625,0.0017260687,0.7924809
PC95,85.5125,0.0016746614,0.79415554
PC96,85.5125,0.0016303696,0.7957859
PC97,53.725,0.0016225975,0.7974085
PC98,89.025,0.0015763099,0.7989848
PC99,255.2375,0.0015404167,0.80052525
PC100,311.1625,0.0014831179,0.8020084
PC101,325.2,0.0014253326,0.8034337
