PC,Peak,explained_variance_ratio,explained_variance_ratio_cumsum
PC0,201.0375,0.3026171,0.3026171
PC1,255.225,0.071388915,0.37400603
PC2,255.2375,0.023604047,0.39761007
PC3,283.275,0.010959398,0.40856946
PC4,325.1875,0.003915782,0.41248524
PC5,255.2375,0.0036373646,0.41612262
PC6,339.2125,0.0034008308,0.41952345
PC7,201.0375,0.0032977946,0.42282125
PC8,255.25,0.00297952,0.42580077
PC9,311.175,0.0028866488,0.42868742
PC10,339.2,0.0025193426,0.43120676
PC11,311.1625,0.002491265,0.43369803
PC12,311.175,0.00237172,0.43606976
PC13,311.1875,0.0022239808,0.43829373
PC14,283.2625,0.0021658104,0.44045955
PC15,325.2,0.0021081602,0.4425677
PC16,325.2,0.0019182205,0.44448593
PC17,325.175,0.0018284573,0.4463144
PC18,283.2875,0.0017431438,0.44805753
PC19,174.0,0.0017026303,0.44976017
PC20,339.1875,0.0015728185,0.451333
PC21,146.9875,0.0015303987,0.4528634
PC22,339.225,0.0014611889,0.45432457
PC23,201.05,0.0014486279,0.4557732
PC24,325.2125,0.0013617824,0.457135
PC25,255.2625,0.0012702962,0.4584053
PC26,265.1625,0.0012541702,0.45965946
PC27,174.0125,0.0012135702,0.46087304
PC28,283.25,0.0011409854,0.46201402
PC29,666.0625,0.0011062403,0.46312025
PC30,89.025,0.0010835537,0.4642038
PC31,340.2125,0.0010584409,0.46526223
PC32,146.9625,0.001038897,0.46630114
PC33,297.15,0.0010064789,0.46730763
PC34,311.2,0.0009776411,0.46828526
PC35,265.15,0.00096704776,0.46925232
PC36,311.2,0.0009432534,0.47019556
PC37,325.225,0.000889618,0.4710852
PC38,339.2375,0.00087883446,0.47196403
PC39,297.1625,0.0008311402,0.47279516
PC40,297.1625,0.00081757084,0.47361273
PC41,284.275,0.00080216007,0.47441489
PC42,312.175,0.00078025856,0.47519514
PC43,326.2,0.0007711352,0.47596627
PC44,326.2,0.000752317,0.4767186
PC45,265.1375,0.0007264526,0.47744507
PC46,256.25,0.00070769887,0.47815275
PC47,340.2,0.00068709336,0.47883984
PC48,297.175,0.00068207865,0.47952193
PC49,309.175,0.00066887966,0.4801908
PC50,297.175,0.0006670894,0.4808579
PC51,340.2,0.0006547756,0.4815127
PC52,326.1875,0.00064109155,0.48215377
PC53,326.1875,0.00063284714,0.48278663
PC54,265.175,0.00062408316,0.48341072
PC55,201.0625,0.0006168588,0.48402756
PC56,174.025,0.0006093155,0.48463687
PC57,293.1875,0.00060319714,0.48524007
PC58,256.2375,0.0005897434,0.48582983
PC59,248.0875,0.00058454374,0.48641437
PC60,147.0,0.00057305896,0.48698744
PC61,311.2125,0.0005435976,0.48753104
PC62,311.2125,0.00053822703,0.48806927
PC63,340.225,0.0005368374,0.4886061
PC64,128.0375,0.0005237105,0.4891298
PC65,313.2,0.000518927,0.48964873
PC66,128.0375,0.00050527026,0.490154
PC67,119.95,0.00050438574,0.49065837
PC68,312.1875,0.00049553043,0.4911539
PC69,309.1875,0.0004926481,0.49164656
PC70,187.0375,0.0004860295,0.49213257
PC71,339.25,0.00047551416,0.4926081
PC72,341.2125,0.00046740114,0.4930755
PC73,367.25,0.00046322396,0.4935387
PC74,377.0875,0.0004552713,0.49399397
PC75,341.225,0.00045321634,0.49444717
PC76,148.9875,0.0004447231,0.49489188
PC77,326.175,0.00044286018,0.49533474
PC78,309.1875,0.00044007995,0.49577484
PC79,313.1875,0.00043462223,0.49620947
PC80,326.175,0.00042880402,0.49663827
PC81,293.175,0.00042478504,0.49706304
PC82,309.1875,0.00042299804,0.49748603
PC83,284.2875,0.0004187447,0.49790478
PC84,353.2125,0.00041380682,0.49831858
PC85,353.2,0.00041025487,0.49872884
PC86,293.175,0.00040912064,0.49913797
PC87,313.1875,0.00040704198,0.499545
PC88,312.1625,0.0004019684,0.49994698
PC89,313.175,0.00039991335,0.5003469
PC90,377.1,0.00039705855,0.500744
PC91,325.1625,0.00039542248,0.5011394
PC92,256.2625,0.00039152248,0.50153095
PC93,227.2,0.00039042346,0.50192136
PC94,128.05,0.0003892861,0.50231063
PC95,128.05,0.00038458855,0.5026952
PC96,312.2,0.00038169156,0.5030769
PC97,227.2125,0.00037803844,0.5034549
PC98,312.1625,0.00037651,0.50383145
PC99,256.225,0.00037223074,0.5042037
PC100,340.2375,0.00036971085,0.5045734
PC101,309.2,0.00036762696,0.50494105
PC102,337.2125,0.0003650701,0.5053061
PC103,187.0625,0.00036231213,0.50566846
PC104,241.225,0.00036031345,0.5060288
PC105,241.225,0.00035865357,0.5063874
PC106,377.1125,0.00035591432,0.5067433
PC107,340.2375,0.00035479435,0.5070981
PC108,217.0125,0.00034952923,0.5074476
PC109,327.2,0.00034803717,0.50779563
PC110,281.275,0.0003449868,0.5081406
PC111,255.275,0.0003433242,0.50848395
PC112,309.1625,0.000340574,0.5088245
PC113,377.1125,0.00033759983,0.5091621
PC114,269.25,0.0003340693,0.5094962
PC115,341.2,0.00033249668,0.5098287
PC116,279.1625,0.00032943752,0.5101581
PC117,248.1,0.00032744746,0.5104856
PC118,241.2375,0.00032379877,0.51080936
PC119,327.2,0.00032272725,0.51113206
PC120,297.1875,0.00032188484,0.5114539
PC121,327.1875,0.00032048722,0.5117744
PC122,187.1,0.00031882274,0.51209325
PC123,279.1625,0.0003168864,0.5124101
PC124,293.2,0.00031497233,0.51272506
PC125,293.2,0.0003145853,0.51303965
PC126,284.3,0.00031311947,0.51335275
PC127,183.0125,0.0003110425,0.51366377
PC128,367.2375,0.00030800438,0.51397175
PC129,241.2375,0.00030797473,0.5142797
PC130,269.2625,0.00030658056,0.5145863
PC131,252.975,0.00030510523,0.51489145
PC132,309.1625,0.00030240012,0.5151938
PC133,327.1875,0.0003007355,0.5154946
PC134,339.175,0.00029945222,0.51579404
PC135,162.9625,0.00029888665,0.5160929
PC136,284.3,0.00029758044,0.5163905
PC137,283.3125,0.00029662446,0.51668715
PC138,395.275,0.00029469337,0.51698184
PC139,253.225,0.00029395157,0.5172758
PC140,353.1875,0.0002926964,0.5175685
PC141,341.1875,0.00028976594,0.51785827
PC142,367.2625,0.00028874367,0.518147
PC143,395.2875,0.0002873331,0.51843435
PC144,183.025,0.00028683685,0.51872116
PC145,269.2625,0.00028582365,0.51900697
PC146,313.2125,0.0002852189,0.5192922
PC147,119.9625,0.0002831118,0.5195753
PC148,431.1375,0.00028219647,0.51985747
PC149,162.95,0.0002811384,0.5201386
PC150,794.525,0.00027997018,0.5204186
PC151,395.275,0.00027907037,0.52069765
PC152,266.15,0.00027818003,0.5209758
PC153,297.1375,0.00027773736,0.5212536
PC154,337.2,0.00027653752,0.52153015
PC155,367.2625,0.00027605097,0.5218062
PC156,369.125,0.00027580446,0.522082
PC157,266.15,0.00027397234,0.5223559
PC158,137.0375,0.00027312967,0.522629
PC159,183.025,0.0002711985,0.5229002
PC160,121.95,0.00027011332,0.52317035
PC161,326.225,0.00026957388,0.52343994
PC162,162.95,0.00026927463,0.52370924
PC163,368.25,0.00026785635,0.5239771
PC164,225.95,0.000267328,0.5242444
PC165,152.925,0.00026657988,0.524511
PC166,368.25,0.00026612153,0.5247771
PC167,369.125,0.00026399377,0.5250411
PC168,293.2125,0.0002636723,0.5253048
PC169,283.3125,0.00026241416,0.52556723
PC170,265.1875,0.00026159402,0.52582884
PC171,341.25,0.00026134055,0.5260902
PC172,397.225,0.00026104227,0.5263513
PC173,248.1125,0.00026003903,0.5266113
PC174,340.25,0.00025945136,0.5268708
PC175,379.1,0.0002583939,0.5271292
PC176,379.1,0.00025724014,0.5273864
PC177,397.225,0.00025646947,0.5276429
PC178,368.25,0.00025610195,0.527899
PC179,293.2125,0.00025534935,0.5281544
PC180,325.2375,0.00025463183,0.528409
PC181,341.1125,0.00025419216,0.5286632
PC182,119.9625,0.00025270073,0.52891594
PC183,265.1875,0.00025264878,0.5291686
PC184,186.05,0.0002522461,0.52942085
PC185,265.1875,0.00025099108,0.52967185
PC186,326.225,0.00025072793,0.5299226
PC187,121.95,0.00024974573,0.53017235
PC188,327.175,0.00024952853,0.53042185
PC189,431.1375,0.00024837223,0.5306702
PC190,266.15,0.000247571,0.5309178
PC191,151.0375,0.00024717787,0.531165
PC192,241.075,0.00024619713,0.53141123
PC193,395.275,0.00024573496,0.531657
PC194,341.1125,0.00024492168,0.5319019
PC195,253.2125,0.00024457384,0.53214645
PC196,145.05,0.0002443481,0.5323908
PC197,315.1875,0.00024388569,0.5326347
PC198,341.1125,0.00024377387,0.53287846
PC199,397.2375,0.00024269412,0.53312117
PC200,227.225,0.00024219776,0.53336334
PC201,227.225,0.00024168896,0.53360504
PC202,248.5875,0.00024107908,0.53384614
PC203,298.15,0.00024063834,0.53408676
PC204,173.0875,0.0002401324,0.5343269
PC205,315.1875,0.00023955455,0.53456646
PC206,202.0375,0.00023921388,0.53480566
PC207,327.175,0.00023894166,0.5350446
PC208,383.1375,0.00023808585,0.5352827
PC209,215.0375,0.00023760101,0.53552026
PC210,368.2625,0.00023722599,0.5357575
PC211,379.0875,0.00023678334,0.5359943
PC212,353.2375,0.00023664748,0.5362309
PC213,182.0,0.00023627374,0.5364672
PC214,423.1875,0.00023556351,0.53670275
PC215,202.05,0.00023488395,0.53693765
PC216,202.05,0.00023450036,0.53717214
PC217,180.925,0.00023353122,0.53740567
PC218,96.9625,0.00023271698,0.53763837
PC219,298.175,0.00023243847,0.5378708
PC220,315.1875,0.00023200932,0.5381028
PC221,397.175,0.00023155467,0.53833437
PC222,134.0,0.00023107894,0.53856546
PC223,397.15,0.00023075507,0.5387962
PC224,327.175,0.00023015052,0.5390263
PC225,298.15,0.00022970731,0.53925604
PC226,279.175,0.00022957486,0.53948563
PC227,343.225,0.00022915842,0.5397148
PC228,180.925,0.00022862657,0.53994346
PC229,369.1375,0.0002284471,0.5401719
PC230,225.9375,0.00022813473,0.5404
PC231,519.1375,0.00022784194,0.5406279
PC232,298.15,0.00022746548,0.54085535
PC233,280.0125,0.00022722123,0.54108256
PC234,313.225,0.00022680321,0.54130936
PC235,397.175,0.00022618432,0.54153556
PC236,92.9375,0.00022586156,0.5417614
PC237,437.2,0.0002253548,0.54198676
PC238,180.925,0.00022508905,0.54221183
PC239,227.225,0.00022453116,0.54243636
PC240,383.1375,0.00022418443,0.54266053
PC241,379.075,0.00022343035,0.542884
PC242,397.2125,0.00022332504,0.54310733
PC243,377.125,0.00022313654,0.5433305
PC244,253.0,0.00022300548,0.5435535
PC245,397.175,0.00022252335,0.543776
PC246,369.1375,0.00022204682,0.543998
PC247,161.075,0.00022181837,0.5442198
PC248,198.925,0.00022145308,0.5444412
PC249,149.0,0.0002211919,0.5446624
PC250,368.2625,0.00022086472,0.54488325
PC251,383.15,0.00022047838,0.5451037
PC252,329.1625,0.00022014896,0.54532385
PC253,253.0,0.00021940327,0.54554325
PC254,171.1,0.00021934026,0.5457626
PC255,96.9625,0.00021890011,0.5459815
PC256,182.0,0.00021872619,0.5462003
PC257,337.1875,0.00021814286,0.5464184
PC258,181.9875,0.00021808872,0.5466365
PC259,369.1375,0.00021771122,0.54685426
PC260,368.2625,0.00021733929,0.5470716
PC261,423.1875,0.00021707723,0.54728866
PC262,225.9375,0.00021668882,0.5475053
PC263,794.5625,0.00021627711,0.5477216
PC264,207.0125,0.00021597829,0.54793763
PC265,379.0875,0.00021555732,0.54815316
PC266,379.075,0.0002152441,0.5483684
PC267,279.2375,0.00021491082,0.5485833
PC268,149.0,0.0002147228,0.548798
PC269,149.0,0.00021462828,0.54901266
PC270,379.0875,0.00021415371,0.5492268
PC271,201.075,0.0002138917,0.54944074
PC272,424.175,0.00021366095,0.5496544
PC273,280.0,0.00021330664,0.54986775
PC274,404.1,0.00021300279,0.5500808
PC275,357.2125,0.00021265452,0.55029345
PC276,198.925,0.00021250162,0.55050594
PC277,225.9625,0.00021236758,0.5507183
PC278,794.5375,0.00021200175,0.5509303
PC279,365.2625,0.00021170665,0.55114204
PC280,337.225,0.00021153348,0.5513536
PC281,795.5875,0.00021110006,0.5515647
PC282,171.1125,0.00021059815,0.5517753
PC283,357.2,0.00021042436,0.5519857
PC284,207.0125,0.00021009035,0.5521958
PC285,149.0,0.0002100203,0.55240583
PC286,207.025,0.00020933681,0.55261517
PC287,92.9375,0.00020929013,0.55282444
PC288,309.2125,0.00020892927,0.55303335
PC289,381.25,0.00020889398,0.55324227
PC290,535.125,0.00020856918,0.5534508
PC291,343.2125,0.00020830044,0.55365914
PC292,182.0,0.00020797556,0.5538671
PC293,423.175,0.00020765715,0.55407476
PC294,149.0,0.00020753688,0.5542823
PC295,181.9875,0.00020733917,0.5544897
PC296,885.55,0.0002070728,0.55469674
